,city counts of 0.2 cutoff rate,city ounts of 0.3 cutoff rate,ValidCityCounts,AverageNArate,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Rice', 'Common/Coarse')",32,40,90,0.445555556,0.21,0.33,,,0.17,,0.18,0.23,0.29,0.79,,0.09,,0.98,,,0.35,,0.81,0.78,0.05,0.04,0.47,,0.99,0.86,0.09,0.08,0.13,0.98,,0.34,0.09,0.02,0.27,0.44,0.71,0.08,0.21,,0.97,0.98,,0.07,0.07,0.56,0.94,,0.15,0.71,0.1,0.04,0.91,0.98,0.48,0.1,,0.52,0.13,,0.07,,0.42,0.2,,0.02,0.31,0.99,0.27,0.99,0.09,0.02,0.09,0.42,,0.61,0.32,0.98,,,0.02,,,0.98,,0.69,0.36,,,0.09,0.04,,0.84,0.1,0.97,0.98,0.96,0.03,0.77,0.42,0.17,0.6,0.03,0.75,0.83,,0.83,0.77,0.99,0.41,0.97,,0.67,0.02,0.32,0.27,0.56,,0.09
"('Potato', 'FAQ')",32,40,90,0.452777778,0.22,0.46,,,0.18,0.99,0.19,0.24,0.29,0.79,,0.1,0.98,,,,0.35,,0.89,0.78,0.06,0.05,0.47,,0.98,0.84,0.1,0.07,0.15,0.98,,0.59,0.11,0.03,0.27,0.44,0.71,0.09,0.22,,0.97,0.98,,0.08,0.07,0.57,0.95,,0.16,0.71,0.12,0.06,0.42,0.99,0.47,0.12,,0.54,0.13,,0.08,,0.42,0.2,,0.03,0.32,,0.23,,0.09,0.02,0.1,0.42,0.97,0.61,0.33,,0.98,0.98,0.02,,,0.98,,0.7,0.75,,,0.1,0.04,0.98,0.84,0.1,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.03,0.75,0.83,,0.83,0.77,,0.41,0.97,,0.67,0.03,0.33,0.27,0.58,,0.09
"('Moong', 'Split')",32,39,83,0.40746988,0.22,0.46,,,0.17,,0.2,0.23,0.3,0.79,,0.13,,,,,0.35,,0.88,0.78,0.05,0.05,0.47,,,0.86,0.09,0.07,0.15,,,0.59,0.09,0.02,0.27,0.45,0.71,0.08,0.21,,0.97,0.98,,0.07,0.07,0.56,0.95,,0.15,0.71,0.1,0.04,0.41,,0.45,0.11,,0.53,0.13,0.97,0.07,,0.42,0.2,,0.06,0.32,,0.18,,0.09,0.03,0.09,0.42,,0.61,0.32,,,,0.02,,,0.98,,0.69,0.75,,,0.1,0.04,0.98,0.84,0.1,0.97,,0.96,0.03,0.77,0.42,0.19,0.6,0.03,0.76,0.83,,0.83,0.77,,0.41,0.97,,0.67,0.17,0.33,0.27,0.57,,0.09
"('Onion', 'FAQ')",32,39,86,0.430348837,0.23,0.46,,,0.18,0.97,0.19,0.24,0.3,0.79,,0.14,,,,,0.36,,0.89,0.78,0.06,0.06,0.47,,,0.84,0.11,0.07,0.15,,,0.59,0.1,0.03,0.27,0.45,0.73,0.11,0.22,,0.97,0.98,,0.08,0.08,0.57,0.95,,0.16,0.71,0.11,0.06,0.43,,0.45,0.12,,0.57,0.13,,0.08,,0.42,0.21,,0.04,0.32,,0.24,,0.09,0.02,0.1,0.42,0.97,0.61,0.33,,0.99,,0.03,,,0.98,0.99,0.7,0.75,,,0.1,0.04,0.98,0.84,0.1,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.03,0.75,0.83,,0.83,0.77,,0.41,0.97,,0.67,0.04,0.33,0.28,0.56,,0.09
"('Arhar', 'Split')",31,38,84,0.419880952,0.23,0.46,,,0.18,0.98,0.22,0.23,0.31,0.79,,0.08,,,,,0.35,,0.88,0.78,0.06,0.05,0.94,,,0.85,0.1,0.07,0.12,,,0.59,0.1,0.03,0.27,0.45,0.71,0.09,0.21,,0.97,0.98,,0.08,0.07,0.57,0.95,,0.16,0.71,0.32,0.04,0.42,,0.46,0.11,,0.53,0.14,,0.08,,0.42,0.21,,0.04,0.32,0.99,0.18,,0.09,0.05,0.1,0.42,,0.62,0.32,,,,0.03,,,0.98,,0.7,0.45,,,0.1,0.05,0.98,0.84,0.1,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.03,0.76,0.83,,0.83,0.77,,0.41,0.97,,0.67,0.03,0.33,0.27,0.63,,0.09
"('Tomato', 'FAQ')",29,39,83,0.419036145,0.23,0.46,,,0.17,0.98,0.19,0.24,0.53,0.79,,0.24,,,,,0.35,,0.89,0.78,0.07,0.05,0.47,,0.99,0.85,0.12,0.07,0.15,,,0.59,0.1,0.04,0.27,0.45,0.72,0.09,0.22,,0.97,0.98,,0.09,0.07,0.56,0.95,,0.16,0.71,0.18,0.09,0.42,,0.45,0.2,,0.61,0.13,,0.08,,0.42,0.2,,0.03,0.32,,0.2,,0.09,0.02,0.1,0.43,,0.69,0.33,,,,0.03,,,0.98,,0.69,0.75,,,0.1,0.04,,0.84,0.11,0.97,,0.96,0.04,0.77,0.42,0.2,0.6,0.04,0.75,0.83,,0.94,0.77,,0.41,0.97,,0.67,0.05,0.33,0.28,0.56,,0.1
"('Gram', 'Split')",29,37,85,0.447058824,0.24,0.48,,,0.29,0.98,0.19,0.23,0.32,0.93,,0.2,,,,,0.36,,0.89,0.78,0.06,0.05,0.69,,,0.86,0.32,0.09,0.18,,,0.59,0.1,0.04,0.28,0.59,0.74,0.08,0.22,,0.98,0.98,,0.08,0.08,0.56,0.95,,0.15,0.72,0.12,0.06,0.46,,0.59,0.11,,0.53,0.15,0.97,0.07,,0.42,0.2,,0.03,0.35,0.99,0.19,,0.09,0.02,0.1,0.56,0.96,0.61,0.32,,,,0.04,,,0.98,,0.72,0.66,,,0.1,0.04,,0.84,0.1,0.97,,0.96,0.04,0.77,0.42,0.41,0.6,0.19,0.76,0.83,,0.94,0.77,,0.41,0.98,,0.82,0.17,0.34,0.27,0.59,,0.1
"('Sugar', ' ')",29,37,88,0.457727273,0.24,0.47,,,0.18,,0.2,0.24,0.31,0.79,,0.16,,,,,0.37,0.99,0.89,0.78,0.08,0.06,0.5,,0.99,0.86,0.16,0.09,0.15,0.98,0.99,0.55,0.11,0.05,0.27,0.45,0.71,0.1,0.22,,0.97,0.98,,0.09,0.56,0.57,0.95,,0.17,0.71,0.36,0.07,0.44,,0.45,0.18,,0.54,0.14,,0.1,,0.42,0.2,,0.04,0.32,,0.27,,0.1,0.05,0.11,0.43,,0.61,0.35,,,,0.04,,0.99,0.98,0.99,0.71,0.75,,,0.11,0.05,0.98,0.84,0.11,0.97,,0.96,0.06,0.77,0.42,0.19,0.6,0.05,0.75,0.83,,0.84,0.77,,0.41,0.97,,0.67,0.09,0.34,0.27,0.56,,0.09
"('Urad', 'Split')",28,37,83,0.424096386,0.23,0.46,,,0.3,,0.22,0.23,0.31,0.79,,0.14,,,,,0.36,,0.88,0.78,0.06,0.05,0.47,,,0.86,0.41,0.07,0.14,,,0.59,0.1,0.03,0.27,0.94,0.71,0.09,0.21,,0.97,0.98,,0.08,0.07,0.57,0.95,,0.16,0.71,0.12,0.06,0.53,,0.45,0.11,,0.53,0.13,0.97,0.08,,0.42,0.23,,0.03,0.35,,0.2,,0.09,0.04,0.1,0.43,,0.61,0.32,,,,0.03,,,0.98,,0.69,0.74,,,0.1,0.05,0.98,0.84,0.1,0.97,,0.96,0.04,0.77,0.42,0.18,0.6,0.21,0.76,0.83,,0.83,0.77,,0.41,0.97,,0.67,0.03,0.33,0.27,0.58,,0.1
"('Meat', 'Mutton')",28,35,82,0.430243902,0.22,0.46,,,0.17,,0.18,0.24,0.3,0.79,,0.6,,,,,0.35,,0.87,0.78,0.07,0.05,0.47,,,0.85,0.13,0.07,0.14,,,0.59,0.1,0.03,0.27,0.45,0.71,0.09,0.26,,0.97,0.98,,0.08,0.59,0.56,0.97,,0.15,0.71,0.99,0.17,0.43,,0.45,0.34,,0.53,0.13,,0.1,,0.42,0.2,,0.03,0.31,0.99,0.25,,0.09,0.02,0.1,0.42,,0.61,0.32,,,,0.07,,,0.98,,0.69,0.75,,,0.1,0.04,,0.84,0.1,0.97,,0.96,0.04,0.77,0.42,0.17,0.6,0.03,0.75,0.83,,0.83,0.77,,0.41,0.97,,0.67,0.03,0.42,0.27,0.56,,0.09
