,Jammu and Kashmir,Karnataka,Himachal Pradesh,Gujarat,Kerala,Madhya Pradesh,Odisha,Chattisgarh,West Bengal,Andhra Pradesh,Rajasthan,NCT of Delhi,Maharashtra,Uttar Pradesh,Tamil Nadu
"('Atta (Wheat)', 'None')",0.62650602409638556,0.61664841182913477,0.61883899233296824,0.65005476451259581,0.64676889375684554,0.63526834611171956,0.63526834611171956,0.64457831325301207,0.64676889375684554,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65826944140197152,0.63472070098576128,0.66155531215772179
"('Gram Dal', 'None')",0.62650602409638556,0.61664841182913477,0.62486308871851037,0.65005476451259581,0.64567360350492886,0.63526834611171956,0.63526834611171956,0.64457831325301207,0.64567360350492886,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65662650602409633,0.63636363636363635,0.66265060240963858
"('Groundnut Oil', 'None')",0.60076670317634173,0.61719605695509305,0.62705366922234396,0.65005476451259581,0.64786418400876233,0.63362541073384449,,0.64457831325301207,0.63910186199342822,0.6697699890470975,0.64403066812705367,0.66538882803943045,0.65826944140197152,0.63691128148959475,0.66210295728368018
"('Masoor Dal', 'None')",,,,0.65005476451259581,0.64786418400876233,0.63472070098576128,0.63526834611171956,0.64512595837897047,0.64567360350492886,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65881708652792992,0.63472070098576128,
"('Milk', 'None')",0.62595837897042717,0.61664841182913477,,0.65005476451259581,0.64786418400876233,0.63472070098576128,0.63526834611171956,0.64512595837897047,0.63417305585980288,0.6697699890470975,0.64622124863088715,0.66538882803943045,0.65607886089813805,0.63362541073384449,0.66210295728368018
"('Moong Dal', 'None')",,0.61664841182913477,0.62431544359255198,0.65005476451259581,0.64403066812705367,0.63472070098576128,0.63526834611171956,0.64457831325301207,0.64403066812705367,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65772179627601313,0.63472070098576128,0.66265060240963858
"('Mustard Oil', 'None')",0.60076670317634173,,0.62760131434830235,0.64950711938663741,0.64567360350492886,0.63417305585980288,0.63526834611171956,0.64512595837897047,0.64512595837897047,0.6697699890470975,0.64238773274917849,0.66538882803943045,0.65443592552026286,0.63691128148959475,0.61993428258488503
"('Onion', 'None')",0.62486308871851037,0.61719605695509305,0.62814895947426064,0.65005476451259581,0.64567360350492886,0.63417305585980288,0.63526834611171956,0.64512595837897047,0.64622124863088715,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65881708652792992,0.63691128148959475,0.66265060240963858
"('Palm Oil', 'None')",,0.61171960569550932,,,0.64512595837897047,,0.63526834611171956,,0.64074479737130341,,,,,,0.65936473165388831
"('Potato', 'None')",0.62595837897042717,0.61719605695509305,,0.65005476451259581,0.64622124863088715,0.63472070098576128,0.63472070098576128,0.64512595837897047,0.64567360350492886,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65826944140197152,0.63636363636363635,0.66210295728368018
"('Rice', 'None')",0.62486308871851037,0.61719605695509305,0.62869660460021903,0.65005476451259581,0.64786418400876233,0.63526834611171956,0.63526834611171956,0.64512595837897047,0.64676889375684554,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65936473165388831,0.63691128148959475,0.66265060240963858
"('Salt Pack (Iodised)', 'None')",0.62650602409638556,0.61719605695509305,0.61774370208105145,0.65005476451259581,0.64622124863088715,0.63417305585980288,0.63472070098576128,0.64512595837897047,0.64567360350492886,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65881708652792992,0.63691128148959475,0.66265060240963858
"('Soya Oil', 'None')",,0.61719605695509305,,,,,,0.64512595837897047,0.64567360350492886,,,0.66538882803943045,,,
"('Sugar', 'None')",0.62650602409638556,0.61719605695509305,0.62760131434830235,0.65005476451259581,0.64786418400876233,0.63472070098576128,0.63526834611171956,0.64512595837897047,0.64676889375684554,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65991237677984671,0.63581599123767796,0.66265060240963858
"('Sunflower Oil', 'None')",,0.61391018619934279,,,0.64403066812705367,,,0.64512595837897047,0.64403066812705367,,,0.66538882803943045,,,0.65936473165388831
"('Tea Loose', 'None')",0.62486308871851037,0.61664841182913477,0.61226725082146771,0.65005476451259581,0.64403066812705367,0.63472070098576128,0.63472070098576128,0.64129244249726181,0.62924424972617743,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65717415115005473,0.63636363636363635,0.66046002190580499
"('Tomato', 'None')",,0.61117196056955092,,,0.64567360350492886,,,,,,,0.66538882803943045,,,0.65936473165388831
"('Tur/Arhar Dal', 'None')",0.62650602409638556,0.61719605695509305,0.62431544359255198,0.65005476451259581,0.64403066812705367,0.63526834611171956,0.63526834611171956,0.64457831325301207,0.64567360350492886,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65881708652792992,0.63691128148959475,0.66265060240963858
"('Urad Dal', 'None')",,0.61500547645125958,0.62486308871851037,0.65005476451259581,0.64512595837897047,0.63472070098576128,0.63526834611171956,0.64457831325301207,0.64512595837897047,0.6697699890470975,0.64676889375684554,0.66538882803943045,0.65772179627601313,0.63526834611171956,0.66265060240963858
"('Vanaspati', 'None')",0.61938663745892664,0.61719605695509305,0.62705366922234396,0.65005476451259581,0.64457831325301207,0.63417305585980288,0.63362541073384449,0.64512595837897047,0.64567360350492886,0.6697699890470975,0.64238773274917849,0.66538882803943045,0.65662650602409633,0.63691128148959475,0.66155531215772179
"('Wheat', 'None')",0.62650602409638556,0.61719605695509305,,0.65005476451259581,0.64622124863088715,0.63526834611171956,,0.64512595837897047,,0.6697699890470975,0.64622124863088715,0.66538882803943045,0.65826944140197152,0.63581599123767796,0.66265060240963858
