,count of > 90%,Haryana,Punjab,Kerala,Bihar,Tamil Nadu,Jammu and Kashmir,Jharkhand,Meghalaya,Orissa,Assam,Madhya Pradesh,West Bengal,Rajasthan,NCT of Delhi,Uttar Pradesh,Andhra Pradesh,Himachal Pradesh,Gujarat,Maharashtra,Tripura,Uttarakhand,Karnataka,Mizoram,Chattisgarh
"('Atta (Wheat)', 'None')",20,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.846153846,0.961538462,1,0.965384615,1,0.996153846,1,1,0.996153846,1,0.988461538,0.996153846,1,0.973076923,0.980769231,0.992307692,0.815384615,1
"('Gram Dal', 'None')",20,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.853846154,0.961538462,1,0.969230769,1,0.996153846,1,1,0.996153846,1,0.996153846,0.996153846,1,0.969230769,0.980769231,0.992307692,,1
"('Onion', 'None')",20,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.857692308,0.961538462,1,0.965384615,1,0.996153846,1,1,0.996153846,1,1,0.996153846,1,0.973076923,0.980769231,0.992307692,0.815384615,1
"('Potato', 'None')",20,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.857692308,0.961538462,1,0.965384615,1,0.996153846,1,1,0.996153846,1,0.926923077,0.996153846,1,0.973076923,0.980769231,0.992307692,0.803846154,1
"('Rice', 'None')",20,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.857692308,0.961538462,1,0.969230769,1,0.996153846,1,1,0.996153846,1,1,0.996153846,1,0.973076923,0.980769231,0.992307692,0.819230769,1
"('Sugar', 'None')",20,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.857692308,0.961538462,1,0.969230769,1,0.996153846,1,1,0.996153846,1,1,0.996153846,1,0.973076923,0.980769231,0.992307692,0.815384615,1
"('Tea Loose', 'None')",20,0.665384615,0.815384615,1,0.965384615,0.996153846,0.996153846,0.838461538,0.961538462,0.996153846,0.965384615,1,0.976923077,1,1,0.996153846,1,0.973076923,0.996153846,1,0.973076923,0.980769231,0.992307692,0.753846154,0.996153846
"('Tur/Arhar Dal', 'None')",20,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.857692308,0.961538462,1,0.969230769,1,0.996153846,1,1,0.996153846,1,0.996153846,0.996153846,1,0.973076923,0.980769231,0.992307692,,1
"('Vanaspati', 'None')",20,0.661538462,0.85,1,0.969230769,1,0.992307692,0.85,0.961538462,1,0.965384615,1,0.996153846,0.996153846,1,0.996153846,1,1,0.996153846,1,0.973076923,0.980769231,0.992307692,,1
"('Moong Dal', 'None')",19,0.665384615,0.830769231,1,0.969230769,1,,,0.946153846,1,0.953846154,1,0.996153846,1,1,0.992307692,1,0.996153846,0.996153846,1,0.907692308,0.980769231,0.992307692,0.819230769,1
"('Mustard Oil', 'None')",19,0.665384615,0.846153846,1,0.969230769,0.938461538,0.957692308,0.846153846,0.961538462,1,0.965384615,1,0.996153846,0.996153846,1,0.996153846,1,1,0.996153846,1,0.915384615,0.980769231,,,1
"('Salt Pack (Iodised)', 'None')",19,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.857692308,0.961538462,0.996153846,,1,0.996153846,1,1,0.996153846,1,0.984615385,0.996153846,1,0.973076923,0.980769231,0.992307692,0.819230769,1
"('Urad Dal', 'None')",19,0.665384615,0.838461538,1,0.969230769,1,,,0.953846154,1,0.953846154,1,0.996153846,1,1,0.992307692,1,0.996153846,0.996153846,1,0.973076923,0.980769231,0.992307692,0.819230769,1
"('Milk', 'None')",18,0.665384615,0.846153846,1,0.969230769,1,0.996153846,,,1,0.961538462,1,0.980769231,1,1,0.992307692,1,0.915384615,0.996153846,1,0.738461538,0.976923077,0.988461538,,1
"('Groundnut Oil', 'None')",15,0.665384615,0.85,1,,1,0.957692308,,0.8,,,1,0.992307692,1,1,0.996153846,1,1,0.996153846,1,,0.980769231,0.992307692,,1
"('Wheat', 'None')",15,0.665384615,0.853846154,1,0.969230769,1,0.996153846,0.853846154,,0.646153846,0.969230769,1,,1,1,0.996153846,1,,0.996153846,1,,0.980769231,0.992307692,,1
"('Masoor Dal', 'None')",14,,0.834615385,1,0.969230769,0.780769231,,,0.961538462,1,0.953846154,1,0.996153846,1,1,0.992307692,1,0.753846154,0.996153846,1,0.811538462,,,0.815384615,1
"('Soya Oil', 'None')",7,,0.757692308,0.865384615,0.896153846,,,,,0.703846154,,0.911538462,0.996153846,0.903846154,1,,0.696153846,,0.669230769,0.719230769,,0.980769231,0.992307692,,1
"('Sunflower Oil', 'None')",7,0.665384615,0.757692308,1,0.896153846,1,,,,0.926923077,,0.819230769,0.996153846,0.738461538,1,,0.9,,0.669230769,0.719230769,,,0.988461538,0.811538462,1
"('Tomato', 'None')",7,0.661538462,0.761538462,1,,1,,,0.926923077,0.696153846,,0.876923077,,0.911538462,1,0.815384615,0.757692308,,0.776923077,0.769230769,0.765384615,0.976923077,0.988461538,,
"('Palm Oil', 'None')",6,,0.661538462,1,0.726923077,1,,,0.873076923,1,,0.911538462,0.992307692,,,,0.757692308,,0.669230769,0.719230769,,,0.988461538,,
"('Gur', 'None')",0,0.665384615,,0.665384615,,0.665384615,,,,0.665384615,,0.669230769,,0.657692308,0.665384615,,0.669230769,,0.665384615,,,,,,
