,number of regions with good data,Jammu and Kashmir,Karnataka,Himachal Pradesh,Gujarat,Kerala,Madhya Pradesh,Odisha,Chattisgarh,West Bengal,Andhra Pradesh,Rajasthan,NCT of Delhi,Maharashtra,Uttar Pradesh,Tamil Nadu
"('Atta (Wheat)', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Gram Dal', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Groundnut Oil', 'None')",14,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
"('Masoor Dal', 'None')",11,,,,1,1,1,1,1,1,1,1,1,1,1,
"('Milk', 'None')",14,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
"('Moong Dal', 'None')",14,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Mustard Oil', 'None')",14,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Onion', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Palm Oil', 'None')",5,,1,,,1,,1,,1,,,,,,1
"('Potato', 'None')",14,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
"('Rice', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Salt Pack (Iodised)', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Soya Oil', 'None')",4,,1,,,,,,1,1,,,1,,,
"('Sugar', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Sunflower Oil', 'None')",6,,1,,,1,,,1,1,,,1,,,1
"('Tea Loose', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Tomato', 'None')",4,,1,,,1,,,,,,,1,,,1
"('Tur/Arhar Dal', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Urad Dal', 'None')",14,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Vanaspati', 'None')",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"('Wheat', 'None')",12,1,1,,1,1,1,,1,,1,1,1,1,1,1
