,Andhra Pradesh,Karnataka,Punjab,Haryana,Jharkhand,Himachal Pradesh,Rajasthan,Orissa,Madhya Pradesh,West Bengal,Gujarat,NCT of Delhi,Maharashtra,Bihar,Uttar Pradesh
"('Apple', 'Apple')",,0.66656795972756888,,,,,,,,,,,,,
"('Apple', 'Delicious')",,,,,,,,,0.60497482973053007,,,,,,0.89872668048563809
"('Banana', 'Banana - Ripe')",,,,,,,,,,,,,,,0.62155759549896361
"('Banana', 'Khandesh')",,,,,,,,,,,,0.65176191886289603,,,
"('Banana', 'Medium')",,,,,,,,,,0.79123482380811372,,,,,
"('Banana', 'Pachha Bale')",,0.64909683150725495,,,,,,,,,,,,,
"('Coriander', 'Local')",0.61178560852827957,,,,,,,,,,,,,,
"('Onion', 'Beelary-Red')",,0.61889250814332253,,,,,,,,,,,,,
"('Onion', 'Red')",,,,,,,,,0.71068996150429375,,,,0.66538347645839502,,0.9147172046194848
"('Potato', 'Chandermukhi')",,,0.6123778501628665,,,,,,,,,,,,
"('Potato', 'Desi')",,,,,,,,,,0.67545158424637253,,,,,0.77879774948178859
"('Potato', 'Jyoti')",,,,,,,,,,0.88865857269766069,,,,,
"('Potato', 'Local')",,0.64317441516138585,,,,,,,,,,,,,
"('Potato', 'Potato')",,,,,,,,,,,0.83239561741190404,0.7145395321291087,,,
"('Potato', 'Red')",,,,,,,,,0.62629552857565884,0.67900503405389401,,,,,
"('Rice', 'B P T')",0.76103050044418119,,,,,,,,,,,,,,
"('Rice', 'Coarse')",,,,,0.70595202842759841,,,,0.60793603790346462,0.65886881847793899,,,,,0.83032277169084989
"('Rice', 'Dappa')",,0.6393248445365709,,,,,,,,,,,,,
"('Rice', 'Fine')",,0.66360675155463433,,,0.70595202842759841,,,,,0.79449215279834173,,,,,
"('Rice', 'III')",,,,,,,,,,,,,,,0.77405981640509325
"('Rice', 'Masuri')",,,,,,,,,,,0.68196624222682856,,,,
"('Rice', 'Medium')",,,,,0.70595202842759841,,,,,,,,,,
"('Rice', 'Parmal')",,,,,,,,,,,0.65886881847793899,,,,
"('Rice', 'Ratnachudi (718 5-749)')",,,,,,,,,,0.94018359490672199,,,,,
"('Rice', 'Super Fine')",,,,,,,,,,0.68966538347645845,,,,,
"('Wheat', '147 Average')",,,,,,,,,,,0.66034942256440632,,,,
"('Wheat', '1482')",,,,,,,,0.69795676636067516,,,,,,,
"('Wheat', 'Dara')",,,,,,,,,0.62629552857565884,,,0.81818181818181823,,,0.782943440923897
"('Wheat', 'Deshi')",,,,,,,,,,,0.61563517915309451,,,,
"('Wheat', 'Local')",,,,,,,,,0.60230974237488899,,,,,,
"('Wheat', 'Lok-1')",0.62155759549896361,,,,,,,,,,,,,,
"('Wheat', 'Lokwan')",,,,,,,,,,,0.74444773467574765,,,,
"('Wheat', 'Mexican')",,,,,,,,,,,,0.6689369262659165,,,
"('Wheat', 'Rajasthan Tukdi')",,,,,,,,,,,0.71572401539828245,,,,
"('Wheat', 'Sharbati')",,,,,,,,,,,,,0.69825288717796863,,
