,Andhra Pradesh,Haryana,Jharkhand,Punjab,Rajasthan,Madhya Pradesh,West Bengal,Gujarat,NCT of Delhi,Maharashtra,Orissa,Uttar Pradesh
"('Apple', 'Delicious')",,,,,,,,,,,,0.94
"('Banana', 'Medium')",,,,,,,0.81,,,,,
"('Onion', 'Red')",,,,,,0.74,,,,,,0.93
"('Potato', 'Desi')",,,,,,,,,,,,0.81
"('Potato', 'Jyoti')",,,,,,,0.94,,,,,
"('Potato', 'Potato')",,,,,,,,0.91,0.83,,,
"('Rice', 'B P T')",0.98,,,,,,,,,,,
"('Rice', 'Coarse')",,,0.76,,,,,,,,,0.84
"('Rice', 'Fine')",,,0.76,,,,0.82,,,,,
"('Rice', 'III')",,,,,,,,,,,,0.80
"('Rice', 'Medium')",,,0.76,,,,,,,,,
"('Rice', 'Ratnachudi (718 5-749)')",,,,,,,0.98,,,,,
"('Wheat', 'Dara')",,,,,,,,,0.83,,,0.81
"('Wheat', 'Lokwan')",,,,,,,,0.81,,,,
"('Wheat', 'Rajasthan Tukdi')",,,,,,,,0.73,,,,
