,Andhra Pradesh,Karnataka,Haryana,Jharkhand,Punjab,Gujarat,Bihar,Himachal Pradesh,Madhya Pradesh,West Bengal,Rajasthan,NCT of Delhi,Maharashtra,Orissa,Uttar Pradesh
"('Apple', 'Apple')",,0.70,,,,,,,,,,,,,
"('Apple', 'Delicious')",,,,,,,,,0.65,,,,,,0.94
"('Banana', 'Banana - Ripe')",,,,,,,,,,,,,,,0.93
"('Banana', 'Khandesh')",,,,,,,,,,,,0.78,,,
"('Banana', 'Medium')",,,,,,,,,,0.81,,,,,
"('Banana', 'Pachha Bale')",,0.63,,,,,,,,,,,,,
"('Coriander', 'Local')",0.62,,,,,,,,,,,,,,
"('Onion', 'Beelary-Red')",,0.79,,,,,,,,,,,,,
"('Onion', 'Red')",,,,,,,,,0.74,,,,0.59,,0.93
"('Potato', 'Chandermukhi')",,,,,0.69,,,,,,,,,,
"('Potato', 'Desi')",,,,,,,,,,0.81,,,,,0.81
"('Potato', 'Jyoti')",,,,,,,,,,0.94,,,,,
"('Potato', 'Local')",,0.81,,,,,,,,,,,,,
"('Potato', 'Potato')",,,,,,0.91,,,,,,0.83,,,
"('Potato', 'Red')",,,,,,,,,0.62,0.56,,,,,
"('Rice', 'B P T')",0.98,,,,,,,,,,,,,,
"('Rice', 'Coarse')",,,,0.76,,,,,0.59,0.78,,,,,0.84
"('Rice', 'Dappa')",,0.67,,,,,,,,,,,,,
"('Rice', 'Fine')",,0.64,,0.87,,,,,,0.82,,,,,
"('Rice', 'III')",,,,,,,,,,,,,,,0.80
"('Rice', 'Masuri')",,,,,,0.82,,,,,,,,,
"('Rice', 'Medium')",,,,0.85,,,,,,,,,,,
"('Rice', 'Parmal')",,,,,,0.82,,,,,,,,,
"('Rice', 'Ratnachudi (718 5-749)')",,,,,,,,,,0.98,,,,,
"('Rice', 'Super Fine')",,,,,,,,,,0.57,,,,,
"('Wheat', '147 Average')",,,,,,0.75,,,,,,,,,
"('Wheat', '1482')",,,,,,,,,,,,,,0.73,
"('Wheat', 'Dara')",,,,,,,,,0.71,,,0.83,,,0.81
"('Wheat', 'Deshi')",,,,,,0.81,,,,,,,,,
"('Wheat', 'Local')",,,,,,,,,0.58,,,,,,
"('Wheat', 'Lok-1')",0.92,,,,,,,,,,,,,,
"('Wheat', 'Lokwan')",,,,,,0.85,,,,,,,,,
"('Wheat', 'Mexican')",,,,,,,,,,,,0.83,,,
"('Wheat', 'Rajasthan Tukdi')",,,,,,0.73,,,,,,,,,
"('Wheat', 'Sharbati')",,,,,,,,,,,,,0.74,,
