,Andhra Pradesh,Haryana,Jharkhand,Punjab,Rajasthan,Madhya Pradesh,West Bengal,Gujarat,NCT of Delhi,Maharashtra,Orissa,Uttar Pradesh
"('Apple', 'Delicious')",,,,,,,,,,,,1
"('Banana', 'Medium')",,,,,,,1,,,,,
"('Onion', 'Red')",,,,,,1,,,,,,2
"('Potato', 'Desi')",,,,,,,,,,,,1
"('Potato', 'Jyoti')",,,,,,,2,,,,,
"('Potato', 'Potato')",,,,,,,,1,1,,,
"('Rice', 'B P T')",2,,,,,,,,,,,
"('Rice', 'Coarse')",,,1,,,,,,,,,1
"('Rice', 'Fine')",,,1,,,,1,,,,,
"('Rice', 'III')",,,,,,,,,,,,1
"('Rice', 'Medium')",,,1,,,,,,,,,
"('Rice', 'Ratnachudi (718 5-749)')",,,,,,,2,,,,,
"('Wheat', 'Dara')",,,,,,,,,1,,,1
"('Wheat', 'Lokwan')",,,,,,,,2,,,,
"('Wheat', 'Rajasthan Tukdi')",,,,,,,,1,,,,
