,Andhra Pradesh,Karnataka,Haryana,Jharkhand,Punjab,Gujarat,Bihar,Himachal Pradesh,Madhya Pradesh,West Bengal,Rajasthan,NCT of Delhi,Maharashtra,Orissa,Uttar Pradesh
"('Apple', 'Apple')",,1,,,,,,,,,,,,,
"('Apple', 'Delicious')",,,,,,,,,1,,,,,,1
"('Banana', 'Banana - Ripe')",,,,,,,,,,,,,,,1
"('Banana', 'Khandesh')",,,,,,,,,,,,1,,,
"('Banana', 'Medium')",,,,,,,,,,1,,,,,
"('Banana', 'Pachha Bale')",,1,,,,,,,,,,,,,
"('Coriander', 'Local')",1,,,,,,,,,,,,,,
"('Onion', 'Beelary-Red')",,1,,,,,,,,,,,,,
"('Onion', 'Red')",,,,,,,,,1,,,,1,,2
"('Potato', 'Chandermukhi')",,,,,1,,,,,,,,,,
"('Potato', 'Desi')",,,,,,,,,,1,,,,,1
"('Potato', 'Jyoti')",,,,,,,,,,6,,,,,
"('Potato', 'Local')",,1,,,,,,,,,,,,,
"('Potato', 'Potato')",,,,,,2,,,,,,1,,,
"('Potato', 'Red')",,,,,,,,,1,1,,,,,
"('Rice', 'B P T')",6,,,,,,,,,,,,,,
"('Rice', 'Coarse')",,,,2,,,,,1,1,,,,,1
"('Rice', 'Dappa')",,1,,,,,,,,,,,,,
"('Rice', 'Fine')",,1,,4,,,,,,3,,,,,
"('Rice', 'III')",,,,,,,,,,,,,,,1
"('Rice', 'Masuri')",,,,,,1,,,,,,,,,
"('Rice', 'Medium')",,,,3,,,,,,,,,,,
"('Rice', 'Parmal')",,,,,,1,,,,,,,,,
"('Rice', 'Ratnachudi (718 5-749)')",,,,,,,,,,2,,,,,
"('Rice', 'Super Fine')",,,,,,,,,,1,,,,,
"('Wheat', '147 Average')",,,,,,1,,,,,,,,,
"('Wheat', '1482')",,,,,,,,,,,,,,1,
"('Wheat', 'Dara')",,,,,,,,,1,,,1,,,2
"('Wheat', 'Deshi')",,,,,,1,,,,,,,,,
"('Wheat', 'Local')",,,,,,,,,1,,,,,,
"('Wheat', 'Lok-1')",1,,,,,,,,,,,,,,
"('Wheat', 'Lokwan')",,,,,,4,,,,,,,,,
"('Wheat', 'Mexican')",,,,,,,,,,,,1,,,
"('Wheat', 'Rajasthan Tukdi')",,,,,,1,,,,,,,,,
"('Wheat', 'Sharbati')",,,,,,,,,,,,,1,,
