some statistics on the price of rice grouped by (day,year)

library(plyr)

> ddply(d, as.character(list('year','day','product')), function(x)data.frame(mean=mean(x$price),stdev=sd(x$price)) )
     year  day product      mean     stdev
1    2005    1    Rice 1471.1220 1321.9156
2    2005    2    Rice 1627.5000 1304.9154
3    2005    3    Rice 1455.4545 1316.0147
4    2005    4    Rice 1504.8797 1304.7722
5    2005    5    Rice 1327.3307 1277.8507
6    2005    6    Rice 1505.9467 1318.3850
7    2005    7    Rice 1481.6370 1297.6741
8    2005    8    Rice 1704.9130 1322.2093
9    2005    9    Rice 1714.7045 1293.9734
10   2005   10    Rice 1473.5957 1348.7765
11   2005   11    Rice 1456.7171 1319.4508
12   2005   12    Rice 1405.8042 1307.3400
13   2005   13    Rice 1453.1915 1324.0342
14   2005   14    Rice 1528.6600 1304.1526
15   2005   15    Rice 1633.6777 1314.5870
16   2005   16    Rice 1518.3250 1296.9206
17   2005   17    Rice 1362.1094 1305.5975
18   2005   18    Rice 1359.7899 1271.1687
19   2005   19    Rice 1306.3158 1291.3592
20   2005   20    Rice 1283.2246 1283.8441
21   2005   21    Rice 1539.9344 1311.5352
22   2005   22    Rice 1508.6034 1286.1310
23   2005   23    Rice 1516.8537 1280.2371
24   2005   24    Rice 1335.9538 1287.2873
25   2005   25    Rice 1440.1185 1291.7684
26   2005   26    Rice 1073.9211 1250.2361
27   2005   27    Rice 1512.2857 1325.6061
28   2005   28    Rice 1488.9054 1316.0462
29   2005   29    Rice 1453.5242 1269.8607
30   2005   30    Rice 1499.2889 1298.7407
31   2005   31    Rice 1260.3496 1279.5358
32   2005   32    Rice 1380.9565 1259.8982
33   2005   33    Rice 1348.3016 1279.0902
34   2005   34    Rice 1418.6642 1271.0566
35   2005   35    Rice 1419.8837 1279.3682
36   2005   36    Rice 1609.0560 1298.3989
37   2005   37    Rice 1664.2143 1305.0990
38   2005   38    Rice 1409.1719 1300.9978
39   2005   39    Rice 1449.9338 1278.5102
40   2005   40    Rice 1393.3920 1298.9111
41   2005   41    Rice 1470.6212 1292.7940
42   2005   42    Rice 1389.9241 1261.2334
43   2005   43    Rice 1654.4519 1307.9455
44   2005   44    Rice 1703.1250 1318.1114
45   2005   45    Rice 1281.4144 1271.1609
46   2005   46    Rice 1351.8852 1254.9775
47   2005   47    Rice 1250.0480 1267.0115
48   2005   48    Rice 1575.5221 1284.9654
49   2005   49    Rice 1343.8626 1276.8993
50   2005   50    Rice 1501.4000 1306.2460
51   2005   51    Rice 1338.2143 1281.5703
52   2005   52    Rice 1135.8447 1254.7999
53   2005   53    Rice 1310.5662 1247.8464
54   2005   54    Rice 1337.0469 1257.7886
55   2005   55    Rice 1456.9554 1298.9888
56   2005   56    Rice 1372.5103 1274.6965
57   2005   57    Rice 1564.1371 1288.0216
58   2005   58    Rice 1448.2250 1308.0833
59   2005   59    Rice 1324.1938 1275.9772
60   2005   60    Rice 1280.4038 1254.5847
61   2005   61    Rice 1299.3188 1292.8695
62   2005   62    Rice 1382.1111 1298.1613
63   2005   63    Rice 1445.6232 1304.1389
64   2005   64    Rice 1342.1371 1294.7432
65   2005   65    Rice 1389.0732 1328.2639
66   2005   66    Rice 1464.5725 1311.3612
67   2005   67    Rice 1483.7949 1328.1701
68   2005   68    Rice 1419.5556 1312.7544
69   2005   69    Rice 1543.0236 1311.0077
70   2005   70    Rice 1576.5067 1268.6941
71   2005   71    Rice 1682.0600 1314.6118
72   2005   72    Rice 1487.5238 1308.1875
73   2005   73    Rice 1368.9139 1294.5136
74   2005   74    Rice 1490.2112 1279.6604
75   2005   75    Rice 1432.0400 1297.1598
76   2005   76    Rice 1455.6824 1300.0207
77   2005   77    Rice 1439.9592 1318.6635
78   2005   78    Rice 1510.8768 1302.2090
79   2005   79    Rice 1376.9773 1339.6747
80   2005   80    Rice 1231.7619 1279.2524
81   2005   81    Rice 1295.2500 1267.0658
82   2005   82    Rice 1309.9583 1293.9810
83   2005   83    Rice 1359.4786 1281.2836
84   2005   84    Rice 1682.1961 1300.2706
85   2005   85    Rice  727.0455 1019.4578
86   2005   86    Rice 1504.6216 1344.1660
87   2005   87    Rice 1192.1556 1257.9187
88   2005   88    Rice 1302.1884 1278.3669
89   2005   89    Rice 1236.5918 1284.8559
90   2005   90    Rice 1389.8182 1321.3137
91   2005   91    Rice 1343.3551 1313.0260
92   2005   92    Rice 1438.9795 1304.2724
93   2005   93    Rice 1309.6923 1271.3721
94   2005   94    Rice 1339.4338 1298.3152
95   2005   95    Rice 1336.4740 1289.7087
96   2005   96    Rice 1347.0548 1296.0806
97   2005   97    Rice 1222.1045 1278.7469
98   2005   98    Rice 1325.6887 1249.4483
99   2005   99    Rice 1801.5000 1297.9503
100  2005  100    Rice 1668.9211 1359.5098
101  2005  101    Rice 1252.1691 1279.7820
102  2005  102    Rice 1245.8732 1254.2230
103  2005  103    Rice 1307.6690 1263.7848
104  2005  104    Rice 1811.6078 1267.1976
105  2005  105    Rice 1350.0420 1227.2494
106  2005  106    Rice 1340.3306 1267.0361
107  2005  107    Rice 1569.0000 1334.2120
108  2005  108    Rice 1190.6857 1260.1802
109  2005  109    Rice 1274.3020 1268.2160
110  2005  110    Rice 1117.0490 1227.8791
111  2005  111    Rice 1209.7519 1256.4160
112  2005  112    Rice 1508.6620 1233.0965
113  2005  113    Rice 1313.1261 1256.0665
114  2005  114    Rice 1714.6389 1323.4819
115  2005  115    Rice 1204.5704 1257.4168
116  2005  116    Rice 1324.8961 1249.0229
117  2005  117    Rice 1201.8043 1249.7563
118  2005  118    Rice 1259.8112 1253.2927
119  2005  119    Rice 1361.2893 1281.9478
120  2005  120    Rice 1399.6532 1282.8193
121  2005  121    Rice 1582.2051 1271.5204
122  2005  122    Rice 1224.4138 1242.1448
123  2005  123    Rice 1372.8529 1278.1534
124  2005  124    Rice 1146.1915 1244.9892
125  2005  125    Rice 1247.7237 1255.3858
126  2005  126    Rice 1321.7105 1257.6287
127  2005  127    Rice 1298.5797 1269.5858
128  2005  128    Rice 1183.0000 1290.6196
129  2005  129    Rice 1225.2683 1251.9455
130  2005  130    Rice 1377.1583 1292.5327
131  2005  131    Rice 1185.8017 1255.0382
132  2005  132    Rice 1458.2533 1300.0340
133  2005  133    Rice 1210.1742 1253.3959
134  2005  134    Rice 1308.7453 1289.6112
135  2005  135    Rice 1491.6341 1350.5119
136  2005  136    Rice 1170.9262 1250.7337
137  2005  137    Rice 1181.1588 1230.5540
138  2005  138    Rice 1133.6284 1239.3468
139  2005  139    Rice 1185.6547 1248.4680
140  2005  140    Rice 1216.2763 1238.1145
141  2005  141    Rice 1244.2538 1255.0804
142  2005  142    Rice 1405.5161 1320.3652
143  2005  143    Rice 1112.2762 1238.8254
144  2005  144    Rice 1172.8650 1222.8314
145  2005  145    Rice 1186.0261 1260.9966
146  2005  146    Rice 1258.3241 1266.5601
147  2005  147    Rice 1298.2847 1262.2655
148  2005  148    Rice 1255.3136 1261.3466
149  2005  149    Rice 1456.9024 1302.1205
150  2005  150    Rice 1266.4651 1252.6006
151  2005  151    Rice 1158.6333 1234.0740
152  2005  152    Rice 1155.6746 1240.5108
153  2005  153    Rice 1292.3185 1277.5404
154  2005  154    Rice 1313.2922 1278.6894
155  2005  155    Rice 1237.4903 1258.1874
156  2005  156    Rice 1331.6829 1313.2741
157  2005  157    Rice 1081.0270 1222.1730
158  2005  158    Rice 1211.4601 1240.1762
159  2005  159    Rice 1274.7687 1254.5472
160  2005  160    Rice 1267.9419 1274.6286
161  2005  161    Rice 1294.7921 1241.6875
162  2005  162    Rice 1301.4355 1269.2601
163  2005  163    Rice 1393.7442 1293.8877
164  2005  164    Rice 1205.5432 1254.1380
165  2005  165    Rice 1260.5438 1279.1448
166  2005  166    Rice 1070.1032 1213.9273
167  2005  167    Rice 1257.1438 1269.6843
168  2005  168    Rice 1207.3245 1237.0266
169  2005  169    Rice 1145.8688 1228.7963
170  2005  170    Rice 1307.3409 1298.6738
171  2005  171    Rice 1227.3333 1269.2581
172  2005  172    Rice 1177.9188 1228.9802
173  2005  173    Rice 1087.2414 1219.5701
174  2005  174    Rice 1128.1689 1222.3926
175  2005  175    Rice 1104.3193 1212.4707
176  2005  176    Rice 1128.9507 1225.6138
177  2005  177    Rice 1347.2059 1333.0312
178  2005  178    Rice 1071.9429 1186.6139
179  2005  179    Rice 1153.8069 1239.5483
180  2005  180    Rice 1211.7482 1257.1494
181  2005  181    Rice 1148.4765 1224.9123
182  2005  182    Rice 1312.1553 1261.1663
183  2005  183    Rice 1237.2727 1262.8117
184  2005  184    Rice 1612.3000 1315.1357
185  2005  185    Rice 1064.7911 1214.0515
186  2005  186    Rice 1164.3467 1241.5496
187  2005  187    Rice 1102.9930 1222.5241
188  2005  188    Rice 1103.2919 1204.9861
189  2005  189    Rice 1259.0287 1244.3230
190  2005  190    Rice 1256.8522 1277.4926
191  2005  191    Rice 1406.0571 1344.6049
192  2005  192    Rice 1092.2050 1220.8899
193  2005  193    Rice 1181.5563 1253.4617
194  2005  194    Rice 1054.0457 1205.9765
