,Average,ValidCityCounts,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Moong', 'Split')",0.395180723,83,0.2,0.45,,,0.15,,0.18,0.21,0.28,0.79,,0.11,,,,,0.34,,0.88,0.77,0.03,0.03,0.46,,,0.86,0.07,0.05,0.13,,,0.59,0.08,0,0.25,0.44,0.71,0.06,0.19,,0.97,0.98,,0.05,0.05,0.55,0.94,,0.13,0.7,0.08,0.02,0.4,,0.44,0.09,,0.52,0.11,0.97,0.05,,0.41,0.18,,0.04,0.31,,0.16,,0.07,0.01,0.07,0.41,,0.6,0.3,,,,0,,,0.98,,0.68,0.75,,,0.08,0.02,0.98,0.84,0.08,0.97,,0.96,0.01,0.76,0.41,0.18,0.6,0.01,0.76,0.82,,0.83,0.76,,0.4,0.97,,0.66,0.15,0.32,0.26,0.56,,0.08
"('Tomato', 'FAQ')",0.407108434,83,0.22,0.45,,,0.16,0.98,0.17,0.23,0.52,0.79,,0.22,,,,,0.34,,0.88,0.77,0.05,0.03,0.46,,0.99,0.85,0.1,0.05,0.13,,,0.59,0.08,0.02,0.26,0.43,0.72,0.07,0.2,,0.97,0.98,,0.07,0.05,0.55,0.94,,0.14,0.71,0.17,0.07,0.41,,0.44,0.18,,0.6,0.12,,0.06,,0.41,0.19,,0.01,0.31,,0.18,,0.07,0,0.08,0.41,,0.68,0.32,,,,0.01,,,0.98,,0.69,0.75,,,0.08,0.02,,0.84,0.09,0.97,,0.96,0.02,0.76,0.41,0.18,0.6,0.02,0.75,0.82,,0.94,0.76,,0.4,0.97,,0.66,0.03,0.31,0.26,0.55,,0.08
"('Arhar', 'Split')",0.40797619,84,0.21,0.45,,,0.16,0.98,0.2,0.21,0.29,0.79,,0.06,,,,,0.34,,0.88,0.77,0.04,0.03,0.94,,,0.85,0.08,0.05,0.1,,,0.59,0.09,0.01,0.25,0.44,0.71,0.07,0.19,,0.97,0.98,,0.06,0.05,0.56,0.94,,0.14,0.7,0.31,0.02,0.41,,0.45,0.09,,0.52,0.12,,0.06,,0.41,0.19,,0.02,0.31,0.99,0.16,,0.07,0.03,0.08,0.41,,0.61,0.31,,,,0.01,,,0.98,,0.69,0.44,,,0.09,0.03,0.98,0.84,0.08,0.97,,0.96,0.02,0.77,0.41,0.16,0.6,0.01,0.76,0.82,,0.83,0.76,,0.4,0.97,,0.66,0.01,0.31,0.26,0.62,,0.08
"('Urad', 'Split')",0.41253012,83,0.21,0.45,,,0.29,,0.2,0.22,0.29,0.79,,0.12,,,,,0.35,,0.88,0.77,0.04,0.03,0.46,,,0.86,0.4,0.05,0.12,,,0.59,0.08,0.01,0.26,0.94,0.71,0.07,0.2,,0.97,0.98,,0.06,0.05,0.56,0.94,,0.14,0.7,0.1,0.04,0.52,,0.44,0.09,,0.52,0.11,0.97,0.06,,0.41,0.22,,0.01,0.33,,0.19,,0.07,0.02,0.08,0.42,,0.6,0.31,,,,0.01,,,0.98,,0.69,0.74,,,0.08,0.03,0.98,0.84,0.08,0.97,,0.96,0.02,0.76,0.41,0.16,0.6,0.2,0.76,0.82,,0.83,0.76,,0.4,0.97,,0.66,0.01,0.31,0.26,0.57,,0.08
"('Atta', 'FAQ')",0.413333333,81,0.2,0.46,,,0.15,,0.18,0.22,0.52,,,0.58,,,,,0.34,,0.87,0.77,0.05,0.03,0.46,,,0.86,0.15,0.05,0.12,,,0.59,0.08,0.03,0.25,0.44,0.71,0.1,0.23,,0.97,0.98,,0.05,0.58,0.55,0.95,,0.13,0.7,0.08,0.19,0.4,,0.44,0.31,,0.52,0.11,,0.05,,0.41,0.18,,0,0.31,,0.25,,0.07,0,0.07,0.4,,0.6,0.3,,,,0.06,,,0.98,0.99,0.71,0.75,,,0.08,0.02,,0.84,0.09,0.97,,0.96,0.01,0.76,0.41,0.17,0.6,0.02,0.75,0.82,,0.94,0.77,,0.4,0.97,,0.66,0.21,0.31,0.26,0.76,,0.17
"('Salt', 'Packet(iodized)')",0.415308642,81,0.2,0.47,,,0.17,,0.18,0.23,0.31,0.85,,0.58,,,,,0.38,,0.88,0.77,0.06,0.03,0.46,,,0.98,0.26,0.06,0.12,,,0.59,0.08,0.09,0.47,0.54,0.71,0.06,0.24,,0.97,0.98,,0.06,0.05,0.55,0.95,,0.14,0.7,0.34,0.16,0.41,,0.44,0.33,,0.52,0.11,,0.05,,0.41,0.18,,0.01,0.31,,0.26,,0.07,0,0.08,0.41,,0.6,0.31,,,,0.07,,,0.98,,0.69,0.75,,,0.08,0.03,,0.84,0.09,0.97,,0.96,0.02,0.76,0.41,0.33,0.6,0.12,0.75,0.82,,0.94,0.76,,0.4,0.97,,0.66,0.26,0.32,0.26,0.55,,0.08
"('Turmeric', 'Powdered Agmark')",0.416049383,81,0.2,0.45,,,0.15,,0.18,0.33,0.32,0.85,,0.6,,,,,0.43,,0.88,0.77,0.05,0.03,0.46,,,0.86,0.15,0.05,0.13,,,0.59,0.08,0.07,0.33,0.44,0.71,0.06,0.25,,0.97,0.98,,0.06,0.08,0.56,0.97,,0.34,0.7,0.34,0.16,0.42,,0.67,0.33,,0.52,0.11,,0.05,,0.41,0.18,,0.01,0.3,,0.26,,0.08,0,0.08,0.41,,0.6,0.31,,,,0.26,,,0.98,,0.7,0.75,,,0.08,0.02,,0.84,0.09,0.97,,0.96,0.02,0.76,0.41,0.16,0.6,0.06,0.75,0.82,,0.94,0.76,,0.4,0.97,,0.66,0.21,0.32,0.26,0.55,,0.08
"('Onion', 'FAQ')",0.418604651,86,0.21,0.45,,,0.16,0.97,0.17,0.23,0.28,0.79,,0.12,,,,,0.35,,0.88,0.77,0.04,0.04,0.46,,,0.84,0.09,0.05,0.13,,,0.59,0.09,0.01,0.26,0.43,0.72,0.09,0.2,,0.97,0.98,,0.06,0.06,0.56,0.94,,0.14,0.71,0.09,0.04,0.42,,0.44,0.1,,0.56,0.12,,0.06,,0.41,0.19,,0.02,0.31,,0.22,,0.07,0,0.08,0.41,0.97,0.6,0.32,,0.99,,0.01,,,0.98,0.99,0.69,0.75,,,0.08,0.02,0.98,0.84,0.09,0.97,,0.96,0.02,0.76,0.41,0.16,0.6,0.01,0.75,0.82,,0.83,0.76,,0.4,0.97,,0.66,0.02,0.32,0.26,0.55,,0.08
"('Meat', 'Mutton')",0.418780488,82,0.2,0.45,,,0.15,,0.17,0.22,0.29,0.79,,0.59,,,,,0.34,,0.86,0.77,0.05,0.03,0.46,,,0.85,0.12,0.05,0.12,,,0.59,0.08,0.01,0.26,0.44,0.71,0.07,0.24,,0.97,0.98,,0.06,0.58,0.55,0.97,,0.14,0.7,0.99,0.15,0.41,,0.44,0.33,,0.52,0.11,,0.08,,0.41,0.18,,0.01,0.3,0.99,0.23,,0.07,0,0.08,0.4,,0.6,0.31,,,,0.05,,,0.98,,0.68,0.75,,,0.08,0.02,,0.84,0.08,0.97,,0.96,0.02,0.77,0.41,0.16,0.6,0.01,0.75,0.82,,0.83,0.76,,0.4,0.97,,0.66,0.01,0.4,0.26,0.55,,0.08
"('Brinjal', 'FAQ')",0.420487805,82,0.22,0.46,,,0.17,,0.18,0.25,0.3,0.79,,0.59,,,,,0.36,,0.88,0.77,0.07,0.05,0.46,,0.99,0.85,0.17,0.06,0.13,,,0.59,0.09,0.04,0.27,0.44,0.72,0.09,0.26,,0.97,0.98,,0.08,0.05,0.56,0.94,,0.15,0.71,0.66,0.13,0.41,,0.45,0.33,,0.6,0.14,,0.07,,0.41,0.21,,0.02,0.32,,0.27,,0.07,0.04,0.09,0.42,,0.61,0.34,,,,0.07,,,0.98,,0.71,0.75,,,0.11,0.05,,0.84,0.1,0.97,,0.96,0.04,0.76,0.42,0.2,0.6,0.03,0.75,0.82,,0.94,0.76,,0.41,0.97,,0.67,0.06,0.33,0.27,0.55,,0.08
