,Agartala,Agra,Ahmedabad,Ahmedapur,Aizwal,Aligarh,Allahabad,Amritsar,Asansol,Aurangabad,Balichak,Bangalore,Bankura,Basiwrhat,Belda,Bethuadahari,Bhatinda,Bhawani,Bhawanipatna,Bhillai,Bhopal,Bhubneshwar,Bijapur,Bishalgarh,Burdwan,Chandigarh,Chennai,Chittoor,Coimbatore,Contai,Cuddalore,Cuttack,Dausa,Delhi,Dhanbad,Dibrugarh,Dispur,Ernakulam,Gandhi Nagar,Gangavathi,Gangtok,Gaya,Gonda,Gorakhpur,Guntur,Guwahati,Hajipur,Hardoi,Hissar,Howrah,Hubli,Hyderabad,Imphal,Indus,Itanagar,Jaipur,Jalgaon,Jalpaiguri,Jammu,Jamnagar,Jodhpur,Kaithal,Kanpur,Karnal,Katwa,Khozhikode,Kohima,Kolhapur,Kolkata,Krishnagar,Kurnool,Lucknow,Ludhiana,Madurai,Mainpuiri,Malda,Mandi,Melaghat,Mirzapur,Mogra,Mumbai,Muradnagar,Muzaffarnagar,Muzaffarpur,NR,Nagpur,Nasik,Nedumangad,Palghat,Panaji,Patna,Philibhit,Pondicherry,Portblair,Pune,Purulia,Rajkot,Ranchi,Rewa,Saharanpur,Salem,Sehore,Shillong,Shimla,Shrinagar,Sonipet,Srinagar,Surat,Suri,Swaimadhopur,Tambram,Tiruchirapalli,Tirunelveli,Trivandrum,Tumkur,Udaipur,Vadodra,Vellore,Vishakhapatnam
"('Apple', 'Delicious medium size')",43,120,,,59,365,10,49,111,352,,64,,,,,99,,265,245,9,11,212,,,337,5,12,72,,,238,30,18,112,92,173,14,116,,446,348,,15,238,117,339,,19,227,117,27,127,,186,37,,92,18,,5,,64,64,,18,23,,18,,21,18,12,49,,205,60,,,,16,,,348,465,229,322,,,8,18,,390,18,352,,450,8,360,95,118,240,5,331,266,,323,348,,143,324,,305,10,54,38,120,,22
"('Arhar', 'Split')",43,120,,,59,365,10,49,47,352,,3,,,,,99,,265,245,5,11,212,,,337,10,8,17,,,238,30,5,112,116,173,14,83,,446,348,,5,8,117,339,,19,227,40,5,127,,186,14,,48,12,,5,,64,64,,5,23,341,5,,8,5,12,22,,205,55,,,,5,,,348,,229,102,,,8,5,371,390,16,352,,450,5,360,95,15,240,2,331,259,,143,348,,143,324,,304,4,54,38,142,,22
"('Atta', 'FAQ')",43,120,,,59,,9,49,115,,,245,,,,,99,,265,245,8,11,212,,,337,27,8,38,,,238,30,3,112,116,173,14,84,,446,348,,5,261,117,339,,19,227,10,17,127,,186,83,,48,12,,4,,64,64,,1,23,,89,,8,0,12,22,,205,42,,,,16,,,348,467,229,322,,,8,3,,390,16,352,,450,3,360,95,15,240,2,331,259,,323,348,,143,324,,304,71,54,38,120,,25
"('Bajra', 'FAQ')",,64,,,240,365,9,49,244,352,,55,,,,,99,360,,245,3,51,212,,,337,3,8,38,,,468,30,2,468,,244,405,83,,446,,,240,261,426,,,69,,19,5,244,,,10,,,12,340,4,,64,64,,469,329,,55,,8,51,12,22,,,400,,,,2,,,,472,233,206,,,8,51,,390,16,352,,450,240,360,247,15,240,125,468,,355,,348,,143,324,472,151,62,54,38,120,359,21
"('Banana', 'FAQ')",43,120,,,59,,9,49,111,352,,165,,,,,99,,265,245,8,11,214,,,337,5,8,38,,,238,30,8,112,92,173,14,97,,446,348,,10,13,117,339,,19,227,114,14,127,,186,43,,123,12,,5,,64,64,,5,23,,20,,18,5,12,22,,205,60,,,,16,,,348,,229,322,,,8,5,,390,16,352,,450,7,360,95,18,240,5,331,259,,323,348,,143,324,,304,5,54,38,120,,22
"('Besan', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Biscuit', 'Glucose')",43,120,,,66,,14,49,91,352,,277,,,,,99,,265,245,8,11,212,,,337,27,8,38,,,238,30,206,112,116,173,34,116,,449,348,,8,279,117,339,,19,228,,14,127,,186,83,,123,16,,8,,64,64,,8,23,,89,,8,8,12,25,,205,60,,,,16,,,348,467,229,322,,,8,8,,390,17,352,,450,188,360,95,15,240,49,331,259,,323,348,,143,324,,304,61,54,38,120,,22
"('Black', nan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Bread', 'Local')",43,120,,,67,,32,49,47,352,,277,,,,,99,,265,245,32,32,220,,,337,55,32,38,,,238,32,220,112,116,173,32,116,,449,348,,32,280,161,339,,32,233,,34,127,,186,83,,50,32,,33,,64,64,,32,32,,89,,32,32,32,48,,220,60,,,,32,,,348,467,229,322,,,32,32,,390,32,352,,450,180,360,95,33,240,56,331,259,,331,348,,143,402,,369,86,54,38,120,,32
"('Brinjal', 'FAQ')",43,120,,,59,,9,49,47,352,,178,,,,,99,,265,245,8,11,212,,359,337,24,8,38,,,238,30,7,112,92,173,14,96,,446,348,,5,8,117,339,,19,228,197,11,127,,186,43,,48,12,,4,,64,64,,3,23,,89,,8,3,12,22,,205,63,,,,16,,,348,,229,322,,,8,3,,390,16,352,,450,5,360,95,15,240,3,331,259,,323,348,,143,324,,304,9,54,38,120,,22
