Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
Agartala,1945,-,-,-,-,-,-,-,-,-,-,-
Agartala,1961,-,-,-,-,-,-,-,-,-,-,-
Agartala,1962,-,-,-,-,-,-,-,-,-,-,-
Agartala,1973,-,-,-,-,-,-,-,-,-,-,-
Agartala,1974,-,-,-,-,-,-,-,-,-,-,-
Agartala,1975,-,-,-,-,-,-,-,-,-,-,-
Agartala,1976,-,-,-,-,-,-,-,-,-,-,-
Agartala,1977,-,-,-,-,-,-,-,-,-,-,-
Agartala,1978,-,-,-,-,-,-,-,-,-,-,-
Agartala,1979,25.7,31.4,20.3,-,-,106,0,65,6,1,2
Agartala,1980,-,-,-,-,-,-,-,-,-,-,-
Agartala,1981,-,-,-,-,-,-,-,-,-,-,-
Agartala,1982,-,-,-,-,-,-,-,-,-,-,-
Agartala,1983,-,-,-,-,-,-,-,-,-,-,-
Agartala,1984,-,-,-,-,-,-,-,-,-,-,-
Agartala,1985,-,-,-,-,-,-,-,-,-,-,-
Agartala,1986,-,-,-,-,-,-,-,-,-,-,-
Agartala,1987,-,-,-,-,-,-,-,-,-,-,-
Agartala,1988,-,-,-,-,-,-,-,-,-,-,-
Agartala,1989,-,-,-,-,-,-,-,-,-,-,-
Agartala,1990,-,-,-,-,-,-,-,-,-,-,-
Agartala,1991,25.1,30.1,19.4,2448.05,4.0,138,0,117,18,0,1
Agartala,1992,25.2,30.5,19.8,1239.77,3.6,107,0,83,25,1,1
Agartala,1993,24.5,30.1,19.2,2798.03,3.3,132,2,103,17,0,1
Agartala,1994,24.8,30.8,19.3,1497.60,4.5,121,0,72,17,1,1
Agartala,1995,25.1,30.7,18.9,2139.46,3.7,133,0,81,22,1,1
Agartala,1996,-,-,-,-,-,112,0,64,26,0,1
Agartala,1997,-,-,-,-,-,-,-,-,-,-,-
Agartala,1998,-,-,-,-,-,-,-,-,-,-,-
Agartala,1999,25.9,31.1,20.9,-,2.6,112,0,60,54,0,1
Agartala,2000,24.7,30.3,20.2,-,2.4,132,0,79,48,0,1
Agartala,2001,24.9,30.7,20.2,2065.31,2.2,126,0,78,84,0,0
Agartala,2002,-,-,-,-,-,-,-,-,-,-,-
Agartala,2003,-,-,-,-,-,-,-,-,-,-,-
Agartala,2004,-,-,-,-,-,124,1,89,42,0,1
Agartala,2005,-,-,-,-,-,-,-,-,-,-,-
Agartala,2006,25.6,31.4,21.0,1885.44,2.4,127,0,92,41,0,0
Agartala,2007,24.7,30.4,20.1,2882.39,2.9,131,0,79,38,0,0
Agartala,2008,25.0,30.6,20.3,-,3.5,126,0,61,42,0,0
Agartala,2009,25.5,31.5,20.9,-,3.3,120,0,83,31,0,1
Agartala,2010,25.4,31.2,21.0,-,3.8,123,0,79,33,0,0
Agartala,2011,24.7,30.6,20.2,1463.24,2.9,125,0,67,41,0,0
Agartala,2012,25.0,30.7,20.5,-,3.0,121,0,65,35,0,0
Agartala,2013,24.9,31.2,20.2,1939.75,2.9,137,0,60,40,1,0
