inflation,(monthly basis) inflation,inflation (yearly basis),inflation
january 1999 - december 1998,-2.10%,january 1999 - january 1998,9.37%
february 1999 - january 1999,-1.19%,february 1999 - february 1998,8.64%
march 1999 - february 1999,-0.24%,march 1999 - march 1998,8.95%
april 1999 - march 1999,0.24%,april 1999 - april 1998,8.36%
may 1999 - april 1999,0.96%,may 1999 - may 1998,7.71%
june 1999 - may 1999,0.24%,june 1999 - june 1998,5.26%
july 1999 - june 1999,0.95%,july 1999 - july 1998,3.16%
august 1999 - july 1999,0.47%,august 1999 - august 1998,3.15%
september 1999 - august 1999,0.70%,september 1999 - september 1998,2.14%
october 1999 - september 1999,1.86%,october 1999 - october 1998,0.92%
november 1999 - october 1999,0.23%,november 1999 - november 1998,0.00%
december 1999 - november 1999,-1.60%,december 1999 - december 1998,0.47%
january 2003 - december 2002,-0.21%,january 2003 - january 2002,3.43%
february 2003 - january 2003,0.21%,february 2003 - february 2002,3.86%
march 2003 - february 2003,0.62%,march 2003 - march 2002,4.06%
april 2003 - march 2003,1.23%,april 2003 - april 2002,5.12%
may 2003 - april 2003,0.20%,may 2003 - may 2002,4.66%
june 2003 - may 2003,0.61%,june 2003 - june 2002,4.41%
july 2003 - june 2003,0.80%,july 2003 - july 2002,4.16%
august 2003 - july 2003,-0.40%,august 2003 - august 2002,3.10%
september 2003 - august 2003,0.00%,september 2003 - september 2002,2.89%
october 2003 - september 2003,0.80%,october 2003 - october 2002,3.29%
november 2003 - october 2003,0.20%,november 2003 - november 2002,3.07%
december 2003 - november 2003,-0.40%,december 2003 - december 2002,3.72%
january 2001 - december 2000,-0.22%,january 2001 - january 2000,3.25%
february 2001 - january 2001,-0.45%,february 2001 - february 2000,3.02%
march 2001 - february 2001,0.45%,march 2001 - march 2000,2.53%
april 2001 - march 2001,0.67%,april 2001 - april 2000,2.28%
may 2001 - april 2001,0.67%,may 2001 - may 2000,2.50%
june 2001 - may 2001,1.33%,june 2001 - june 2000,3.39%
july 2001 - june 2001,1.31%,july 2001 - july 2000,4.04%
august 2001 - july 2001,0.65%,august 2001 - august 2000,5.19%
september 2001 - august 2001,-0.21%,september 2001 - september 2000,4.73%
october 2001 - september 2001,0.65%,october 2001 - october 2000,4.23%
november 2001 - october 2001,0.85%,november 2001 - november 2000,4.89%
december 2001 - november 2001,-0.64%,december 2001 - december 2000,5.16%
january 2004 - december 2003,0.40%,january 2004 - january 2003,4.35%
february 2004 - january 2004,0.00%,february 2004 - february 2003,4.13%
march 2004 - february 2004,0.00%,march 2004 - march 2003,3.49%
april 2004 - march 2004,0.00%,april 2004 - april 2003,2.23%
may 2004 - april 2004,0.79%,may 2004 - may 2003,2.83%
june 2004 - may 2004,0.79%,june 2004 - june 2003,3.02%
july 2004 - june 2004,0.98%,july 2004 - july 2003,3.19%
august 2004 - july 2004,0.97%,august 2004 - august 2003,4.61%
september 2004 - august 2004,0.19%,september 2004 - september 2003,4.81%
october 2004 - september 2004,0.57%,october 2004 - october 2003,4.57%
november 2004 - october 2004,-0.19%,november 2004 - november 2003,4.17%
december 2004 - november 2004,-0.76%,december 2004 - december 2003,3.78%
january 1994 - december 1993,-0.38%,january 1994 - january 1993,9.13%
february 1994 - january 1994,0.76%,february 1994 - february 1993,9.96%
march 1994 - february 1994,0.75%,march 1994 - march 1993,9.88%
april 1994 - march 1994,0.75%,april 1994 - april 1993,9.80%
may 1994 - april 1994,1.12%,may 1994 - may 1993,10.57%
june 1994 - may 1994,1.84%,june 1994 - june 1993,10.80%
july 1994 - june 1994,1.44%,july 1994 - july 1993,11.07%
