date,date,monthly
1994-01-01,1994-01-01 00:00:00,0.9962
1994-02-01,1994-02-01 00:00:00,1.0037711200000001
1994-03-01,1994-03-01 00:00:00,1.0112994034000002
1994-04-01,1994-04-01 00:00:00,1.0188841489255003
1994-05-01,1994-05-01 00:00:00,1.030295651393466
1994-06-01,1994-06-01 00:00:00,1.0492530913791058
1994-07-01,1994-07-01 00:00:00,1.064362335894965
1994-08-01,1994-08-01 00:00:00,1.075751012889041
1994-09-01,1994-09-01 00:00:00,1.0909191021707765
1994-10-01,1994-10-01 00:00:00,1.0947373190283742
1994-11-01,1994-11-01 00:00:00,1.1022910065296698
1994-12-01,1994-12-01 00:00:00,1.094685198584615
1995-01-01,1995-01-01 00:00:00,1.094685198584615
1995-02-01,1995-02-01 00:00:00,1.1022385264548489
1995-03-01,1995-03-01 00:00:00,1.1098439722873872
1995-04-01,1995-04-01 00:00:00,1.1173909112989413
1995-05-01,1995-05-01 00:00:00,1.1362748176998934
1995-06-01,1995-06-01 00:00:00,1.1590003140538911
1995-07-01,1995-07-01 00:00:00,1.1855414212457251
1995-08-01,1995-08-01 00:00:00,1.1931288863416978
1995-09-01,1995-09-01 00:00:00,1.2006455983256505
1995-10-01,1995-10-01 00:00:00,1.208209665595102
1995-11-01,1995-11-01 00:00:00,1.2158213864883511
1995-12-01,1995-12-01 00:00:00,1.2006236191572468
1996-01-01,1996-01-01 00:00:00,1.1930596903565562
1996-02-01,1996-02-01 00:00:00,1.1968774813656973
1996-03-01,1996-03-01 00:00:00,1.2082478174386715
1996-04-01,1996-04-01 00:00:00,1.2272173081724587
1996-05-01,1996-05-01 00:00:00,1.24231208106298
1996-06-01,1996-06-01 00:00:00,1.2611952246951375
1996-07-01,1996-07-01 00:00:00,1.28389673873965
1996-08-01,1996-08-01 00:00:00,1.299046720256778
1996-09-01,1996-09-01 00:00:00,1.3028139557455225
1996-10-01,1996-10-01 00:00:00,1.3103702766888465
1996-11-01,1996-11-01 00:00:00,1.3217704980960394
1996-12-01,1996-12-01 00:00:00,1.3256036325405178
1997-01-01,1997-01-01 00:00:00,1.3256036325405178
1997-02-01,1997-02-01 00:00:00,1.3256036325405178
1997-03-01,1997-03-01 00:00:00,1.3294478830748853
1997-04-01,1997-04-01 00:00:00,1.3407481900810216
1997-05-01,1997-05-01 00:00:00,1.3332400002165679
1997-06-01,1997-06-01 00:00:00,1.3445725402184086
1997-07-01,1997-07-01 00:00:00,1.356001406810265
1997-08-01,1997-08-01 00:00:00,1.3597982107493336
1997-09-01,1997-09-01 00:00:00,1.36741308072953
1997-10-01,1997-10-01 00:00:00,1.382591365925628
1997-11-01,1997-11-01 00:00:00,1.386324362613627
1997-12-01,1997-12-01 00:00:00,1.4090600821604904
1998-01-01,1998-01-01 00:00:00,1.4545727228142742
1998-02-01,1998-02-01 00:00:00,1.44700894465564
1998-03-01,1998-03-01 00:00:00,1.4394844981434307
1998-04-01,1998-04-01 00:00:00,1.450856425678764
1998-05-01,1998-05-01 00:00:00,1.4736348715619205
1998-06-01,1998-06-01 00:00:00,1.511507287761062
1998-07-01,1998-07-01 00:00:00,1.55700365712267
1998-08-01,1998-08-01 00:00:00,1.564632975042571
1998-09-01,1998-09-01 00:00:00,1.5910752723207902
1998-10-01,1998-10-01 00:00:00,1.6403986057627344
1998-11-01,1998-11-01 00:00:00,1.659263189729006
1998-12-01,1998-12-01 00:00:00,1.6252482943395614
1999-01-01,1999-01-01 00:00:00,1.5911180801584306
1999-02-01,1999-02-01 00:00:00,1.5721837750045453
1999-03-01,1999-03-01 00:00:00,1.5684105339445344
1999-04-01,1999-04-01 00:00:00,1.5721747192260012
1999-05-01,1999-05-01 00:00:00,1.587267596530571
1999-06-01,1999-06-01 00:00:00,1.5910770387622442
1999-07-01,1999-07-01 00:00:00,1.6061922706304856
1999-08-01,1999-08-01 00:00:00,1.613741374302449
1999-09-01,1999-09-01 00:00:00,1.6250375639225658
1999-10-01,1999-10-01 00:00:00,1.6552632626115256
1999-11-01,1999-11-01 00:00:00,1.659070368115532
1999-12-01,1999-12-01 00:00:00,1.6325252422256835
2000-01-01,2000-01-01 00:00:00,1.6325252422256835
2000-02-01,2000-02-01 00:00:00,1.6287704341685645
2000-03-01,2000-03-01 00:00:00,1.6439179992063322
2000-04-01,2000-04-01 00:00:00,1.6590420447990306
2000-05-01,2000-05-01 00:00:00,1.666673638205106
2000-06-01,2000-06-01 00:00:00,1.6741736695770288
2000-07-01,2000-07-01 00:00:00,1.6855580505301524
2000-08-01,2000-08-01 00:00:00,1.6779730393027668
2000-09-01,2000-09-01 00:00:00,1.6818323772931631
2000-10-01,2000-10-01 00:00:00,1.700837083156576
2000-11-01,2000-11-01 00:00:00,1.7045789247395204
2000-12-01,2000-12-01 00:00:00,1.6894081723093386
2001-01-01,2001-01-01 00:00:00,1.685691474330258
2001-02-01,2001-02-01 00:00:00,1.6781058626957719
2001-03-01,2001-03-01 00:00:00,1.6856573390779028
2001-04-01,2001-04-01 00:00:00,1.6969512432497247
2001-05-01,2001-05-01 00:00:00,1.7083208165794976
2001-06-01,2001-06-01 00:00:00,1.7310414834400052
2001-07-01,2001-07-01 00:00:00,1.7537181268730695
2001-08-01,2001-08-01 00:00:00,1.7651172946977443
2001-09-01,2001-09-01 00:00:00,1.7614105483788791
2001-10-01,2001-10-01 00:00:00,1.7728597169433418
2001-11-01,2001-11-01 00:00:00,1.78792902453736
2001-12-01,2001-12-01 00:00:00,1.776486278780321
2002-01-01,2002-01-01 00:00:00,1.7688473877815658
2002-02-01,2002-02-01 00:00:00,1.7651328082672246
2002-03-01,2002-03-01 00:00:00,1.7727228793427736
2002-04-01,2002-04-01 00:00:00,1.7764455973893933
2002-05-01,2002-05-01 00:00:00,1.7878148492126853
2002-06-01,2002-06-01 00:00:00,1.803011275430993
2002-07-01,2002-07-01 00:00:00,1.8219428938230184
2002-08-01,2002-08-01 00:00:00,1.833238939764721
2002-09-01,2002-09-01 00:00:00,1.8370887415382269
2002-10-01,2002-10-01 00:00:00,1.8446208053785336
2002-11-01,2002-11-01 00:00:00,1.8521837506805856
2002-12-01,2002-12-01 00:00:00,1.8332914764236437
2003-01-01,2003-01-01 00:00:00,1.829441564323154
2003-02-01,2003-02-01 00:00:00,1.8332833916082327
2003-03-01,2003-03-01 00:00:00,1.8446497486362037
2003-04-01,2003-04-01 00:00:00,1.867338940544429
2003-05-01,2003-05-01 00:00:00,1.871073618425518
2003-06-01,2003-06-01 00:00:00,1.8824871674979136
2003-07-01,2003-07-01 00:00:00,1.897547064837897
2003-08-01,2003-08-01 00:00:00,1.8899568765785453
2003-09-01,2003-09-01 00:00:00,1.8899568765785453
2003-10-01,2003-10-01 00:00:00,1.9050765315911737
2003-11-01,2003-11-01 00:00:00,1.9088866846543562
2003-12-01,2003-12-01 00:00:00,1.9012511379157389
2004-01-01,2004-01-01 00:00:00,1.9088561424674018
2004-02-01,2004-02-01 00:00:00,1.9088561424674018
2004-03-01,2004-03-01 00:00:00,1.9088561424674018
2004-04-01,2004-04-01 00:00:00,1.9088561424674018
2004-05-01,2004-05-01 00:00:00,1.9239361059928943
2004-06-01,2004-06-01 00:00:00,1.9391352012302383
2004-07-01,2004-07-01 00:00:00,1.9581387262022947
2004-08-01,2004-08-01 00:00:00,1.977132671846457
2004-09-01,2004-09-01 00:00:00,1.9808892239229654
2004-10-01,2004-10-01 00:00:00,1.9921802924993264
2004-11-01,2004-11-01 00:00:00,1.9883951499435777
2004-12-01,2004-12-01 00:00:00,1.9732833468040063
2005-01-01,2005-01-01 00:00:00,1.992226866933325
2005-02-01,2005-02-01 00:00:00,1.9884416358861516
2005-03-01,2005-03-01 00:00:00,1.9884416358861516
2005-04-01,2005-04-01 00:00:00,2.0035537923188866
2005-05-01,2005-05-01 00:00:00,1.9959402879080748
2005-06-01,2005-06-01 00:00:00,2.0035248610021257
2005-07-01,2005-07-01 00:00:00,2.037584783639162
2005-08-01,2005-08-01 00:00:00,2.0451238473386266
2005-09-01,2005-09-01 00:00:00,2.05269080557378
