index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
07012005weekIndiaAmritsar,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
25032005weekIndiaAmritsar,unchanged increase,NA,NA,small decrease,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,NA,unchanged increase,unchanged increase,unchanged increase,unchanged increase,NA,NA,NA,unchanged increase,unchanged increase,unchanged increase,unchanged increase,NA,NA,NA,NA,unchanged increase,NA,NA,NA,unchanged increase,unchanged increase,small increase,small decrease,NA,NA,NA,NA,NA,unchanged increase,unchanged increase,NA,NA,unchanged increase,small increase,unchanged increase,NA,small decrease,NA
08072005weekIndiaAmritsar,unchanged increase,9.5,10,small increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small decrease,70,unchanged increase,unchanged increase,unchanged increase,unchanged increase,22,NA,135,unchanged increase,unchanged increase,unchanged increase,unchanged increase,16,NA,15,7,unchanged increase,100,15,15,unchanged increase,unchanged increase,small decrease,small increase,8,NA,14,52,58,unchanged increase,unchanged increase,20,12,unchanged increase,small decrease,unchanged increase,NA,unchanged increase,NA
04112005weekIndiaAmritsar,unchanged increase,small decrease,small decrease,small decrease,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,NA,NA,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,10,unchanged increase,small increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,small increase,NA,NA,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,unchanged increase,NA,unchanged increase,NA
03032006weekIndiaAmritsar,unchanged increase,small increase,unchanged increase,small increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small decrease,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,22,NA,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small decrease,unchanged increase,NA,NA,unchanged increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,unchanged increase,unchanged increase,small decrease,unchanged increase,NA,unchanged increase,NA
19052006weekIndiaAmritsar,small increase,unchanged increase,small increase,unchanged increase,small increase,unchanged increase,small decrease,small increase,small decrease,unchanged increase,unchanged increase,small decrease,unchanged increase,small decrease,small decrease,NA,unchanged increase,unchanged increase,small increase,small increase,unchanged increase,small increase,unchanged increase,unchanged increase,unchanged increase,small increase,small increase,unchanged increase,unchanged increase,small increase,small increase,small decrease,unchanged increase,NA,0,unchanged increase,big decrease,big decrease,unchanged increase,unchanged increase,small increase,unchanged increase,unchanged increase,small decrease,small increase,50,unchanged increase,7.5
04082006weekIndiaAmritsar,small increase,small increase,small increase,small increase,small increase,medium increase,small decrease,small increase,small increase,small increase,NA,NA,NA,NA,small increase,NA,small increase,unchanged increase,small decrease,unchanged increase,small decrease,small decrease,small decrease,small decrease,medium increase,small increase,unchanged increase,small decrease,unchanged increase,small increase,small increase,small increase,small increase,NA,small increase,small increase,unchanged increase,unchanged increase,small decrease,small increase,small decrease,small increase,small decrease,small increase,small increase,UD decrease,small increase,unchanged increase
20102006weekIndiaAmritsar,unchanged increase,small increase,small increase,small increase,small increase,unchanged increase,small increase,unchanged increase,unchanged increase,small decrease,NA,30,70,120,small increase,NA,small increase,small increase,small increase,small increase,small increase,unchanged increase,small increase,small increase,unchanged increase,small increase,unchanged increase,unchanged increase,unchanged increase,small increase,small decrease,small increase,unchanged increase,NA,small increase,small increase,small increase,unchanged increase,unchanged increase,unchanged increase,unchanged increase,small increase,unchanged increase,small increase,small increase,small increase,small increase,small increase
12012007weekIndiaAmritsar,small decrease,unchanged increase,unchanged increase,small decrease,small decrease,unchanged increase,unchanged increase,medium increase,unchanged increase,small increase,NA,NA,small increase,unchanged increase,small increase,200,small decrease,unchanged increase,small decrease,small decrease,small increase,small decrease,small increase,small decrease,unchanged increase,small decrease,unchanged increase,unchanged increase,unchanged increase,small decrease,small increase,small increase,small decrease,34,small increase,medium decrease,small decrease,unchanged increase,unchanged increase,unchanged increase,small decrease,small increase,unchanged increase,small decrease,small decrease,unchanged increase,small decrease,small increase
08062007weekIndiaAmritsar,small decrease,unchanged increase,small decrease,unchanged increase,small decrease,unchanged increase,small increase,unchanged increase,small decrease,unchanged increase,12,15,small increase,small increase,unchanged increase,NA,unchanged increase,small decrease,small decrease,small decrease,small decrease,unchanged increase,unchanged increase,small increase,medium increase,small increase,small increase,unchanged increase,small increase,small decrease,small increase,small decrease,small increase,NA,medium decrease,small increase,small increase,unchanged increase,small decrease,small decrease,small decrease,unchanged increase,medium increase,small decrease,small decrease,medium increase,small increase,small decrease
