index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
07012005weekIndiaDelhi,32,9.5,7,14,26,4,120,14,10,75,110,11,85,110,24,0,140,85,24,22,0,16,8,10,8,30,125,18,0,30,50,8,4,0,13,12,24,32,0,7,20,11,120,10,28,0,47,9
14012005weekIndiaDelhi,32,9.5,7,14,26,4,120,14,10,75,105,11,85,110,24,0,140,85,24,22,0,16,8,10,8,30,125,18,0,30,50,8,4,0,13,12,24,32,0,7,20,11,120,10,28,0,47,9
21012005weekIndiaDelhi,30,9.5,7,14,26,4,120,14,8,75,100,11,85,110,24,0,140,85,24,22,0,16,8,10,8,30,125,18,0,28,50,8,4,0,13,12,24,32,0,7,20,11,120,10,28,0,46,9
28012005weekIndiaDelhi,30,9.5,7,14,26,4,120,14,8,75,100,11,85,110,24,0,140,85,24,22,NA,16,8,10,8,30,130,18,0,28,50,8,4,NA,13,12,24,32,0,7,20,11,120,10,28,NA,46,9
04022005weekIndiaDelhi,30,9.5,7,14,26,4,120,14,10,80,100,11,85,110,24,0,140,85,24,22,NA,16,8,10,8,30,130,18,0,28,50,8,5,NA,13,12,24,32,0,7,20,11,120,10,28,NA,46,9
11022005weekIndiaDelhi,30,9.5,7,14,26,4,120,14,10,80,100,11,80,110,24,0,140,80,24,22,NA,16,8,10,8,30,130,18,0,28,48,8,5,NA,13,12,24,32,0,7,20,11,120,10,28,NA,46,9
18022005weekIndiaDelhi,30,9.5,7,15,26,4,120,14,10,80,100,11,80,110,24,NA,140,80,24,22,NA,16,8,10,8,30,130,18,15,28,48,8,4,NA,13,12,24,32,NA,7,20,11,120,8,28,NA,46,9
25022005weekIndiaDelhi,30,9.5,8,15,26,4,120,14,10,80,100,11,80,110,24,NA,140,80,24,22,NA,16,9,10,8,30,130,18,15,28,48,8,4,NA,13,12,24,32,NA,7,19,11,120,8,28,NA,46,9
04032005weekIndiaDelhi,28,9.5,8,15,26,4,120,14,10,80,100,11,80,110,24,NA,140,80,24,22,NA,16,9,10,8,30,130,18,15,28,48,8,4,NA,13,12,24,32,NA,7,20,11,120,8,28,NA,44,9
11032005weekIndiaDelhi,28,9.5,8,15,26,4,120,14,10,80,100,11,80,110,24,NA,140,80,24,22,NA,16,9,11,8,30,130,18,15,28,48,8,4,NA,13,12,24,32,NA,7,20,11,120,8,28,NA,44,9
18032005weekIndiaDelhi,28,9.5,8,16,26,4,120,14,10,80,100,11,80,110,20,NA,140,80,24,22,NA,16,9,11,8,30,130,18,15,28,46,8,5,NA,13,12,24,32,NA,7,19.5,11,120,10,28,NA,44,9
25032005weekIndiaDelhi,28,9.5,8,15,26,4,120,14,10,80,100,11,80,110,18,NA,140,80,24,22,NA,16,9,10,8,30,130,18,NA,28,48,8,4,NA,13,12,24,32,NA,7,19.5,11,120,8,28,NA,46,9
01042005weekIndiaDelhi,28,9.5,8,16,26,4,120,14,10,80,100,11,85,110,20,NA,140,85,24,22,NA,16,9,10,8,30,130,18,NA,28,46,8,6,NA,13,12,24,32,NA,7,19.5,11,120,10,28,NA,44,9
08042005weekIndiaDelhi,30,9.5,8,18,26,4,120,14,12,80,100,12,90,110,20,NA,145,90,24,22,NA,16,9,10,8,30,130,18,NA,30,48,6,8,NA,13,12,24,32,NA,7,19,11,120,12,28,NA,44,9
15042005weekIndiaDelhi,32,9.5,8,18,24,4,120,14,10,80,110,13,90,100,18,NA,150,90,22,20,NA,16,9,10,8,28,130,18,NA,30,46,8,8,NA,13,12,24,32,NA,8,19,11,120,12,28,NA,45,9
22042005weekIndiaDelhi,30,9.5,8,18,24,4,120,14,10,80,100,12,90,100,18,NA,145,90,22,21,NA,16,9,10,8,28,130,18,NA,30,48,8,8,NA,13,12,24,32,NA,7,19,11,120,12,28,NA,45,9
29042005weekIndiaDelhi,30,9.5,8,18,24,4,120,14,10,80,100,12,90,100,18,NA,145,90,22,21,NA,16,9,10,8,28,130,18,NA,30,48,8,8,NA,13,12,24,32,NA,7,19,11,120,12,28,NA,45,9
06052005weekIndiaDelhi,30,9.5,8,18,24,4,120,14,10,80,100,12,90,100,18,NA,150,90,22,21,NA,16,9,10,8,28,130,18,NA,30,46,8,8,NA,13,12,24,32,NA,7,19,11,120,12,28,NA,45,9
13052005weekIndiaDelhi,30,9.5,8,18,24,4,120,14,10,80,100,12,90,100,18,NA,150,90,22,21,NA,16,9,10,8,28,130,18,NA,30,46,8,8,NA,13,12,24,32,NA,7,19,11,120,12,28,NA,45,9
20052005weekIndiaDelhi,30,9.5,8,18,24,4,120,14,10,80,110,12,90,100,18,NA,150,90,22,20,NA,16,9,10,8,28,130,18,NA,30,46,8,8,NA,13,12,24,32,NA,8,19,11,120,12,28,NA,45,9
27052005weekIndiaDelhi,30,9.5,8,18,24,4,120,14,12,80,110,12,90,105,20,NA,150,90,22,20,NA,16,9,10,8,28,130,18,NA,30,46,8,8,NA,13,12,24,32,NA,8,19,11,120,12,28,NA,45,9
03062005weekIndiaDelhi,30,9.5,8,18,24,4,120,14,10,80,110,12,90,110,18,NA,150,90,22,20,NA,16,9,10,8,28,130,18,NA,30,46,8,8,NA,13,12,24,32,NA,8,19,11,120,8,28,NA,45,9
10062005weekIndiaDelhi,32,9.5,8,18,24,4,120,14,10,80,110,12,90,110,18,NA,155,90,22,20,NA,16,8,10,8,30,130,18,NA,32,46,8,8,NA,13,12,24,32,NA,8,19,11,120,8,28,NA,45,9
17062005weekIndiaDelhi,32,9.5,7,18,26,4,120,14,10,80,100,12,90,110,20,NA,150,90,24,22,NA,17,8,10,8,30,130,18,NA,34,46,8,8,NA,13,12,24,32,NA,8,19,11,120,5,30,NA,45,9
24062005weekIndiaDelhi,32,9.5,7,18,26,4,120,14,10,80,95,12,90,110,20,NA,150,90,24,22,NA,17,9,10,8,30,130,18,NA,34,45,8,7,NA,13,12,24,32,NA,8,19,11,120,5,30,NA,45,9
01072005weekIndiaDelhi,32,9.5,7,18,26,4,120,14,10,80,95,12,90,110,20,NA,150,90,24,22,NA,17,9,10,8,30,130,18,NA,34,46,8,7,NA,13,12,24,32,NA,8,19,11,120,5,30,NA,45,9
08072005weekIndiaDelhi,32,9.5,7,18,26,4,120,14,10,80,95,12,90,110,20,NA,150,90,24,22,NA,17,9,10,8,30,130,18,NA,34,46,8,7,NA,13,12,24,32,NA,8,19,11,120,5,30,NA,45,9
15072005weekIndiaDelhi,32,9.5,8,16,26,4,120,14,16,80,95,12,90,110,18,NA,150,90,24,22,NA,18,10,10,8,30,130,18,NA,34,45,8,10,NA,13,12,24,32,NA,8,19,11,120,12,32,NA,42,9
22072005weekIndiaDelhi,32,9.5,8,16,26,4,120,14,16,80,95,12,90,105,18,NA,150,90,24,22,NA,18,12,10,9,30,130,18,NA,34,45,8,12,NA,13,12,24,32,NA,8,19,11,120,12,32,NA,42,9
29072005weekIndiaDelhi,32,9.5,8,16,26,4,120,14,16,80,95,12,95,105,18,NA,150,90,24,22,NA,18,13,10,9,30,130,18,NA,34,45,8,10,NA,13,12,24,32,NA,8,19,11,120,16,32,NA,42,9
05082005weekIndiaDelhi,32,9.5,8,16,28,4,120,14,16,80,95,12,95,105,20,NA,150,90,24,22,NA,18,13,10,9,30,130,18,NA,34,46,8,10,NA,13,12,24,32,NA,8,20,11,120,16,32,NA,42,9
12082005weekIndiaDelhi,34,9.5,8,16,26,4,120,14,16,80,95,12,95,105,20,NA,150,95,24,22,NA,18,13,10,9,30,130,18,NA,34,46,8,10,NA,13,12,24,32,NA,8,20,11,120,16,32,NA,42,9
19082005weekIndiaDelhi,34,9.5,8,16,26,4,120,14,16,80,95,12,95,105,20,NA,150,95,24,22,NA,18,13,10,9,30,130,18,NA,34,46,8,10,NA,13,12,24,32,NA,8,20,11,120,16,32,NA,42,9
26082005weekIndiaDelhi,34,9.5,8,16,28,4,120,14,16,80,95,12,90,105,20,NA,150,90,26,24,NA,18,13,10,9,30,130,18,NA,36,48,10,10,NA,13,12,24,32,NA,8,20,11,120,18,32,NA,42,9
02092005weekIndiaDelhi,34,9.5,8,16,28,4,120,14.5,16,80,95,12,90,105,20,NA,150,90,26,24,NA,18,13,10,9,30,130,18,NA,34,48,10,10,NA,13,12,24,32,NA,8,20,11,120,18,32,NA,42,9
09092005weekIndiaDelhi,34,9.5,8,18,28,4,120,14.5,20,80,95,12,90,105,20,NA,150,90,26,24,NA,18,13,10,9,30,130,18,NA,34,48,14,12,NA,13,12,24,32,NA,8,20,11,120,16,32,NA,42,9
16092005weekIndiaDelhi,34,9.5,8,18,28,4,120,14,18,80,95,12,90,105,20,NA,150,90,26,24,NA,18,13,10,9,30,130,18,NA,36,48,18,12,NA,13,12,24,32,NA,8,20,11,120,12,32,NA,41,9
23092005weekIndiaDelhi,34,9.5,8,18,28,4,120,14,16,80,95,12,90,105,20,NA,150,90,26,24,NA,18,13,10,9,30,130,18,NA,36,48,16,12,NA,13,12,24,32,NA,8,20,11,120,10,32,NA,41,9
30092005weekIndiaDelhi,34,9.5,8,18,28,4,120,14,16,80,95,12,90,105,20,NA,150,90,26,24,NA,18,13,10,9,30,130,18,NA,36,48,15,12,NA,13,12,24,32,NA,8,20,11,120,10,32,NA,41,9
07102005weekIndiaDelhi,34,9.5,8,20,28,4,120,14,16,80,95,12,90,105,22,NA,150,90,26,24,NA,18,13,10,9,30,130,18,NA,36,45,16,12,NA,13,12,24,32,NA,8,20,11,120,12,32,NA,41,9
