index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
01012010weekIndiaAmritsar,84,17,13,25,40,5,200,15,10,120,NA,15,165,NA,36,NA,250,65,38,36,85,42,14,19,12,72,160,22,22,86,66,23,10,NA,18,22,NA,NA,10,12,42,19,NA,15,62,NA,48,NA
01022008weekIndiaAmritsar,42,12,9,20,36,3,180,12,15,80,NA,NA,100,160,30,400,160,90,34,32,95,20,12,15,10,40,140,16,16,40,60,8,7,NA,18,18,45,55,2,8,17,16,120,15,35,125,58,NA
01042005weekIndiaAmritsar,34,9.5,10,15,24,5,220,8,10,70,32,30,50,130,NA,NA,135,60,22,20,65,16,7,15,7,28,100,15,15,28,44,5,3,8,NA,14,52,58,6,7,20,12,45,8,28,NA,48,NA
01042011weekIndiaAmritsar,80,15,14,40,42,5,360,15,30,120,NA,25,165,NA,34,NA,245,65,40,NA,85,46,16,22,16,60,220,25,25,75,NA,9,10,NA,30,25,NA,NA,12,12.9,33,20,130,25,68,NA,55,NA
01052009weekIndiaAmritsar,42,12,12.5,30,35,5,160,14,15,100,NA,15,170,NA,30,NA,195,90,33,28,90,32,11.15,15,10,60,160,20,20,55,60,10,8,NA,9,20,NA,NA,NA,10,27,15,140,10,45,NA,56,NA
01062007weekIndiaAmritsar,38,12,10,25,35,10,160,12,12,80,12,15,130,140,24,NA,160,70,34,32,80,20,12,16,12,40,140,12,16,50,56,6,8,NA,14,15,35,40,2,6,16,16,110,12,50,110,57,8.8999996
01062012weekIndiaAmritsar,68,16,20,50,60,6,490,20,16,140,150,NA,120,NA,30,NA,290,90,58,56,110,55,18,18,18,60,260,32,30,84,95,8,15,NA,30,26,NA,NA,8,14,34,20,240,10,60,NA,80,NA
01072005weekIndiaAmritsar,34,9.5,10,20,24,5,220,8,6,70,32,30,50,130,22,NA,135,60,22,20,65,16,NA,15,7,28,100,15,15,28,44,6,5,8,NA,14,52,58,6,7,20,12,45,5,28,NA,48,NA
01072011weekIndiaAmritsar,72,16,15,50,42,5,300,15,13,120,NA,30,NA,NA,34,NA,270,NA,40,42,75,38,16,20,16,55,135,28,28,78,78,10,10,NA,14,26,NA,NA,12,13.9,33,18,130,15,72,NA,70,NA
01082008weekIndiaAmritsar,45,12.5,10,25,38,5,220,12,15,90,NA,NA,140,180,30,NA,170,120,35,32,110,20,12,15,10,55,150,18,18,45,75,10,6,NA,15,20,55,70,2.5,7,19,16,120,20,45,150,70,NA
01092006weekIndiaAmritsar,40,11,10,20,36,10,120,10,15,70,NA,30,65,96,15.6,NA,160,80,34,35,75,22,9,13,10,36,130,12,15,48,55,8,10,NA,60,15,32,40,5,8,21,13,27,20,48,52,55,8
