118 rules with support higher than or equal to 0.400 found.
supp	conf	rule
0.444	0.552	BiscuitGlucose=unchanged increase -> ArharSplit=small increase
0.444	0.941	ArharSplit=small increase -> BiscuitGlucose=unchanged increase
0.444	0.552	BiscuitGlucose=unchanged increase -> AttaFAQ=unchanged increase
0.444	0.800	AttaFAQ=unchanged increase -> BiscuitGlucose=unchanged increase
0.500	0.818	SujiNA=unchanged increase -> AttaFAQ=unchanged increase
0.500	0.900	AttaFAQ=unchanged increase -> SujiNA=unchanged increase
0.444	1.000	BreadLocal=unchanged increase -> BiscuitGlucose=unchanged increase
0.444	0.552	BiscuitGlucose=unchanged increase -> BreadLocal=unchanged increase
0.417	1.000	CumminNA=small increase -> BiscuitGlucose=unchanged increase
0.417	0.517	BiscuitGlucose=unchanged increase -> CumminNA=small increase
