-- PASTED DIRECTLY FROM http://en.wikipedia.org/wiki/List_of_cities_and_towns_in_India --
Achabal 	Jammu and Kashmir 	N.A.C 	5,834 	
Achalpur 	Maharashtra 	M.Cl 	107,316 	
Achhnera 	Uttar Pradesh 	MB 	20004 	
Adari 	Uttar Pradesh 	NP 	11,977 	
Adalaj 	Gujarat 	CT 	9,776 	
Adilabad 	Andhra Pradesh 	UA 	129,403 	
Adityana 	Gujarat 	CT 	17,238 	
Pereyaapatna 	Karnataka 	CT 	4,236 	
Adoni 	Andhra Pradesh 	UA 	270,458 	
Adoor 	Kerala 	M 	28,952 	
Adiyara 	Karnataka 	CT 	6,501 	
Adra 	West Bengal 		22,030 	
Afzalpura 	Karnataka 	TP 	19,335 	
Agartala 	Tripura 	M.Corp 	438,408 	
Agra 	Uttar Pradesh 	UA 	1,727,275 	
Ahiwara 	Chhattisgarh 	NP 	18,719 	
Ahmedabad 	Gujarat 	UA 	4,525,013 	
Ahmedgarh 	Punjab 	M.Cl 	28,022 	
Ahmednagar 	Maharashtra 	UA 	347,549 	
Ahmedpur 	Maharashtra 	M.Cl 	35,805 	
Aizawl 	Mizoram 	N.T 	228,280 	
Ajmer 	Rajasthan 		485,197 	
Ajra 	Maharashtra 	CT 	14,849 	
Akaltara 	Chhattisgarh 	N.P 	20,367 	
Akbarpur 	Uttar Pradesh 			
Akathiyoor 	Kerala 	C.T 	5,274 	
Akhnoor 	Jammu and Kashmir 	N.A.C 	10,896 	
Akkalkot 	Maharashtra 	M.Cl 	38,213 	
Akola 	Maharashtra 	M.Corp. 	400,520 	
Akot 	Maharashtra 	M.Cl 	80,726 	
Alandha 	Karnataka 	TMC 	35,245 	
Alandi 	Maharashtra 	M.Cl 	17,565 	
Alang 	Gujarat 	CT 	18,475 	
Alappuzha 	Kerala 	UA 	282,675 	
Aldona 	Goa 	CT 	6,588 	
Alibag 	Maharashtra 	M.Cl 	19,496 	
Aligarh 	Uttar Pradesh 	M Corp 	669,087 	
Alipurduar 	West Bengal 		73,732 	
Allahabad 	Uttar Pradesh 	UA 	1,042,229 	
Almora 	Uttarakhand 	UA 	32,358 	
Aalanavara 	Karnataka 	TP 	16,290 	
Along 	Arunachal Pradesh 	CT 	17,033 	
Alur 	Karnataka 	TP 	6,133 	
Alwar 	Rajasthan 		160,245 	
Amadalavalasa 	Andhra Pradesh 	N.P 	37,931 	
Amalapuram 	Andhra Pradesh 	M 	51,444 	
Amalner 	Maharashtra 	M.Cl 	91,490 	
Amarpur 	Bihar 	N.A 	20,965 	
Ambad 	Maharashtra 	M.Cl 	26,108 	
Ambagarh Chowki 	Chhattisgarh 	NP 	8,513 	
Ambaji 	Gujarat 	CT 	13,702 	
Ambaliyasan 	Gujarat 	CT 	6,739 	
Ambejogai 	Maharashtra 	M.Cl 	69,478 	
Ambikaanagara 	Karnataka 	CT 	4,848 	
Ambikapur 	Chhattisgarh 	UA 	90,967 	
Ambivali Tarf Wankhal 	Maharashtra 	CT 	6,798 	
Ameenapuram 	Andhra Pradesh 		1000 	
Amguri 	Assam 	TC 	6,997 	
Amini 	Lakshadweep 		7,353 	
Amlabad 	Jharkhand 	C.T 	4,699 	
Amli 	Dadra and Nagar Haveli 	C.T 	28,570 	
Amravati 	Maharashtra 	M.Corp 	549,510 	
Amreli 	Gujarat 	UA 	95,307 	
Amritsar 	Punjab 	UA 	1,003,917 	
Amroha 	Uttar Pradesh 	MB 	165,129 	
Anakapalle 	Andhra Pradesh 	M 	85,486 	
Anand 	Gujarat 	UA 	218,486 	
Anandapur 	Odisha 	N.A.C 	35,048 	
Anandnagaar 	Assam 	CT 	5,026 	
Anantapur 	Andhra Pradesh 	UA 	243,143 	
Anantnag 	Jammu and Kashmir 	UA 	97,896 	208,505
Ancharakandy 	Kerala 	C.T 	21,878 	
Andada 	Gujarat 	CT 	13,506 	
Anekal 	Karnataka 	TMC 	33,157 	
Ankola 	Karnataka 	UA 	26,138 	
Anjar 	Gujarat 	M 	68,343 	
Anjangaon 	Maharashtra 	M.Cl 	51,170 	
Anklav 	Gujarat 	M 	19,803 	
Ankleshwar 	Gujarat 	UA 	67,952 	
Annigeri 	Karnataka 	TMC 	25,710 	
Antaliya 	Gujarat 	CT 	4,990 	
Anugul 	Odisha 	N.A.C 	38,018 	
Ara 	Jharkhand 	C.T 	14,165 	
Arambhada 	Gujarat 	CT 	15,011 	
Arakkonam 	Tamil Nadu 	M 	82,500 	
Araria 	Bihar 	M 	60,861 	
Arang 	Chhattisgarh 	NP 	16,629 	
Arambagh 	West Bengal 		60,594 	
Arsikere 	Karnataka 	UA 	45,166 	
Arcot 	Tamil Nadu 			
Areraj 	Bihar 	N.A 	20,356 	
Ariyalur 	TamilNadu 	N.A 	35,265 	
Arkalgud 	Karnataka 	TP 	15,169 	
Arki 	Himachal Pradesh 	N.P 	2,877 	
Arnia 	Jammu and Kashmir 	N.A.C 	9,057 	
Aroor 	Kerala 	C.T 	35,283 	
Arrah 	Bihar 	M 	203,380 	
Aruppukkottai 	Tamil Nadu 		84,029 	
Arvi 	Maharashtra 	M.Cl 	40,575 	
Arwal 	Bihar 	M 	600,000 	
Asankhurd 	Haryana 	C.T 	8,066 	
Asansol 	West Bengal 	UA 	486,304 	
Asarganj 	Bihar 	CT 	5739 	
Ashok Nagar 	Madhya Pradesh 		67,705 	
Ashta 	Maharashtra 	M.Cl 	33,203 	
Ashtamichira 	Kerala 			
Asika 	Odisha 	N.A.C 	20,739 	
Asola 	Delhi 	CT 	5,003 	
Assandh 	Haryana 	M.C 	22,707 	
Ateli 	Haryana 	M.C 	5,673 	
Athni 	Karnataka 	UA 	40,950 	
Attingal 	Kerala 	M 	35,693 	
Atul 	Gujarat 	CT 	5352 	
Aurad 	Karnataka 	TP 	15,804 	
Aurangabad 	Bihar 	M 	79,393 	
Aurangabad 	Maharashtra 		1,208,285 	
Ausa 	Maharashtra 	M.Cl 	30,876 	
Avinissery 	Kerala 	C.T 	11,462 	
Awantipora 	Jammu and Kashmir 	N.A.C 	6,252 	
Azamgarh 	Uttar Pradesh 	MB 	93,521 	
Azmatgarh 	Uttar Pradesh 	NP 	11,978 	
B
Salt Lake Stadium, The second-largest stadium in the world and India's largest stadium situated in the Bidhanagar-the Salt Lake City, West Bengal
Bhadrachalam Temple, Andhra Pradesh
Side view of Mahabodhi temple, Bodh Gaya, Bihar
Taj-Ul-Masajid Bhopal
Bheemunipatnam Town, Andhra Pradesh
Berhampur, Odisha
Bhongir Fort, Andhra Pradesh
Jor Bangla Temple, Bankura
Bidar fort View
Bhimavaram Pancharama Temple, Andhra Pradesh
Evening Skyline of Bongaigaon City
Bellary Fort, Karnataka
Part of Bobbili fort, Andhra Pradesh
Name of City/Town 	Name of State 	Classification 	Population (2001) 	Population (2011)
Babaleshwar 	Karnataka 	T.P. 	23,410 	
Babiyal 	Haryana 	C.T 	21,644 	
Baddi 	Himachal Pradesh 	N.P 	22,601 	
Bade Bacheli 	Chhattisgarh 	N.P 	20,411 	
Badaun 	Uttar Pradesh 	U.P 	29,829 	
Badagaon 	Madhya Pradesh 	N.P 	18,529 	
Badepalle 	Andhra Pradesh 	C.T 	29,829 	
Badharghat 	Tripura 	C.T 	47,713 	
Bagaha 	Bihar 	M 	91,467 	
Bageshwar 	Uttarakhand 	M 	91,467 	
Bahadurgarh 	Haryana 	UA 	131,925 	
Bahadurganj 	Bihar 	N.A 	28,118 	
Baharampur 	West Bengal 		160,168 	
