DATE,VALUE
1999-01-01,12.52
1999-02-01,12.01
1999-03-01,14.68
1999-04-01,17.31
1999-05-01,17.72
1999-06-01,17.92
1999-07-01,20.10
1999-08-01,21.28
1999-09-01,23.80
1999-10-01,22.69
1999-11-01,25.00
1999-12-01,26.10
2000-01-01,27.26
2000-02-01,29.37
2000-03-01,29.84
2000-04-01,25.72
2000-05-01,28.79
2000-06-01,31.82
2000-07-01,29.70
2000-08-01,31.26
2000-09-01,33.88
2000-10-01,33.11
2000-11-01,34.42
2000-12-01,28.44
2001-01-01,29.59
2001-02-01,29.61
2001-03-01,27.25
2001-04-01,27.49
2001-05-01,28.63
2001-06-01,27.60
2001-07-01,26.43
2001-08-01,27.37
2001-09-01,26.20
2001-10-01,22.17
2001-11-01,19.64
2001-12-01,19.39
2002-01-01,19.72
2002-02-01,20.72
2002-03-01,24.53
2002-04-01,26.18
2002-05-01,27.04
2002-06-01,25.52
2002-07-01,26.97
2002-08-01,28.39
2002-09-01,29.66
2002-10-01,28.84
2002-11-01,26.35
2002-12-01,29.46
2003-01-01,32.95
2003-02-01,35.83
2003-03-01,33.51
2003-04-01,28.17
2003-05-01,28.11
2003-06-01,30.66
2003-07-01,30.76
2003-08-01,31.57
2003-09-01,28.31
2003-10-01,30.34
2003-11-01,31.11
2003-12-01,32.13
2004-01-01,34.31
2004-02-01,34.69
2004-03-01,36.74
2004-04-01,36.75
2004-05-01,40.28
2004-06-01,38.03
2004-07-01,40.78
2004-08-01,44.90
2004-09-01,45.94
2004-10-01,53.28
2004-11-01,48.47
2004-12-01,43.15
2005-01-01,46.84
2005-02-01,48.15
2005-03-01,54.19
2005-04-01,52.98
2005-05-01,49.83
2005-06-01,56.35
2005-07-01,59.00
2005-08-01,64.99
2005-09-01,65.59
2005-10-01,62.26
2005-11-01,58.32
2005-12-01,59.41
2006-01-01,65.49
2006-02-01,61.63
2006-03-01,62.69
2006-04-01,69.44
2006-05-01,70.84
2006-06-01,70.95
2006-07-01,74.41
2006-08-01,73.04
2006-09-01,63.80
2006-10-01,58.89
2006-11-01,59.08
2006-12-01,61.96
2007-01-01,54.51
2007-02-01,59.28
2007-03-01,60.44
2007-04-01,63.98
2007-05-01,63.46
2007-06-01,67.49
2007-07-01,74.12
2007-08-01,72.36
2007-09-01,79.92
2007-10-01,85.80
2007-11-01,94.77
2007-12-01,91.69
2008-01-01,92.97
2008-02-01,95.39
2008-03-01,105.45
2008-04-01,112.58
2008-05-01,125.40
2008-06-01,133.88
2008-07-01,133.37
2008-08-01,116.67
2008-09-01,104.11
2008-10-01,76.61
2008-11-01,57.31
2008-12-01,41.12
2009-01-01,41.71
2009-02-01,39.09
2009-03-01,47.94
2009-04-01,49.65
2009-05-01,59.03
2009-06-01,69.64
2009-07-01,64.15
2009-08-01,71.05
2009-09-01,69.41
2009-10-01,75.72
2009-11-01,77.99
2009-12-01,74.47
2010-01-01,78.33
2010-02-01,76.39
2010-03-01,81.20
2010-04-01,84.29
2010-05-01,73.74
2010-06-01,75.34
2010-07-01,76.32
2010-08-01,76.60
2010-09-01,75.24
2010-10-01,81.89
2010-11-01,84.25
2010-12-01,89.15
2011-01-01,89.17
2011-02-01,88.58
2011-03-01,102.86
2011-04-01,109.53
2011-05-01,100.90
2011-06-01,96.26
2011-07-01,97.30
2011-08-01,86.33
2011-09-01,85.52
2011-10-01,86.32
2011-11-01,97.16
2011-12-01,98.56
2012-01-01,100.27
2012-02-01,102.20
2012-03-01,106.16
2012-04-01,103.32
2012-05-01,94.66
2012-06-01,82.30
2012-07-01,87.90
2012-08-01,94.13
2012-09-01,94.51
2012-10-01,89.49
2012-11-01,86.53
2012-12-01,87.86
2013-01-01,94.76
2013-02-01,95.31
2013-03-01,92.94
2013-04-01,92.02
2013-05-01,94.51
2013-06-01,95.77
2013-07-01,104.67
2013-08-01,106.57
2013-09-01,106.29
2013-10-01,100.54
2013-11-01,93.86
2013-12-01,97.63
2014-01-01,94.62
2014-02-01,100.82
