hamirpur,16294
dasuya,2675
akhnoor,99
loharu,187
ongole,3642
hospet,1747
amalner,246
vadodra,4351
anand,38347
mehsana,4774
guwahati,364724
mangalagiri,2545
sakri,1402
idar,504
baripada,1556
uthangarai,543
mundra,1903
jaipur,1148713
bhavani,3546
dausa,3002
doraha,59
raigarh,4123
hosur,8065
barmer,11631
kanchipuram,19120
padampur,556
bharthana,56
mullana,162
dharapuram,3452
manawar,52
dhule,12383
chennai,6338939
madikeri,247
perumbavoor,5439
manthani,115
shrinagar,1048
udaipur,173624
alappuzha,21468
hisar,28864
bhadrachalam,364
jhargram,5355
sendhwa,910
nedumkandam,725
hissar,3562
kottayam,40516
dehgam,79
etah,2837
bettiah,3270
howly,138
bilaspur,58215
angul,1931
bhubneshwar,2909
itarsi,3641
achampet,414
tanuku,310
madurai,304321
katwa,128
palani,795
narnaund,294
jhunjhunu,3632
hata,125
thoubal,326
rayadurg,186
panaji,24971
bidar,7319
kallakurichi,435
arvi,93
gannavaram,55
palitana,104
talcher,564
harippad,336
akbarpur,7410
guna,5844
rajapalayam,646
moga,7688
shahada,1691
proddatur,550
khurja,1508
shopian,12186
banswara,3945
muzaffarpur,20103
sikar,13273
goreswar,228
lalitpur,132
pratapgarh,3385
bhubaneshwar,9307
khanna,2126
cheyyar,96
gangapur,705
chandrapur,3445
dabra,902
vijayawada,38113
dewas,14403
katni,9931
gohana,280
pasighat,48
saharsa,4835
metpally,248
reasi,46
hoshangabad,1413
kalimpong,3541
saharanpur,38041
davangere,11889
bhuj,39188
shirpur,113
hansi,3199
kalna,1077
bhandara,1954
koppa,797
habra,7846
jalaun,264
sira,350
kosikalan,288
rasipuram,672
harda,2656
palghat,1144
parbhani,489
rampurhat,3252
goregaon,9874
mainpuri,7382
ujjain,14215
pataudi,49
datia,1608
kishanganj,3824
jagatsinghpur,2554
aligarh,31261
firozabad,4363
ranchi,208942
wardha,5147
biharsharif,188
jaysingpur,983
munnar,1734
malkapur,1504
hailakandi,6883
dharmabad,36
bhabhar,221
rura,44
gangoh,162
karur,12108
narnaul,1173
kaithal,2955
erode,22427
vansda,203
sindhanur,146
jaora,103
bhatinda,3246
sivagangai,156
deoghar,8660
jabalpur,54677
tikamgarh,309
palampur,5507
chintalapudi,3311
vijapur,805
ahmedabad,675250
kamareddy,45
gangavalli,398
phillaur,42
arani,46
balotra,221
valathi,740
bharuch,43448
jehanabad,1918
lucknow,858976
kashipur,4165
jamshedpur,58523
amreli,2296
barasat,19468
amloh,797
trichy,47082
prantij,95
bhimavaram,3157
sangrur,7184
gangavathi,135
botad,1140
nalbari,589
washim,438
bolpur,3709
nohar,123
bethuadahari,1165
beldanga,147
shahdol,514
bomdila,576
bhilwara,10283
kolkata,3071099
belur,337
alwar,33564
kannauj,135
barabanki,251
satara,7099
purulia,3749
mau,667
maharajganj,2024
alipurduar,1081
gauripur,155
burhanpur,3328
angamaly,366
siwani,212
haldwani,2010
lanka,10622
nawada,1275
padra,581
hingoli,182
nagda,1581
pollachi,2928
chandausi,6338
narwana,1283
bina,628
chittoor,17006
karimnagar,18353
fatehabad,8352
hassan,2223
lalbagh,360
imphal,17392
