Rank,City,Population (2000),Latitude,Longitude
1,Mumbai,12622500,18.96,72.82
2,New Delhi,10400900,28.67,77.21
3,Kolkata,4852800,22.57,88.36
4,Bengaluru,4547300,12.97,77.56
5,Chennai,4466900,13.09,80.27
6,Ahmadabad,3724300,23.03,72.58
7,Haidarabad,3654900,17.4,78.48
8,Pune,2691000,18.53,73.84
9,Kanpur,2682600,26.47,80.33
10,Surat,2578400,21.2,72.82
11,Jaipur,2462500,26.92,75.8
12,Lakhnau,2338500,26.85,80.92
13,Nagpur,2173200,21.16,79.08
14,Indore,1692400,22.72,75.86
15,Bhopal,1519100,23.24,77.4
16,Ludhiana,1478000,30.91,75.84
17,Patna,1458800,25.62,85.13
18,Vadodara,1383700,22.31,73.18
19,Thana,1336500,19.2,72.97
20,Agra,1334900,27.19,78.01
21,Kalyan,1264200,19.25,73.16
22,Varanasi,1166200,25.32,83.01
23,Nashik,1141000,20.01,73.78
24,Mirat,1138100,28.99,77.7
25,Faridabad,1117700,28.38,77.3
26,Haora,1068700,22.58,88.33
27,Pimpri,1066200,18.62,73.8
28,Allahabad,1049200,25.45,81.84
29,Amritsar,1033700,31.64,74.87
30,Visakhapatnam,1027200,17.73,83.3
31,Ghaziabad,1026100,28.66,77.41
32,Rajkot,1024100,22.31,70.79
33,Jabalpur,1008000,23.17,79.94
34,Koyampattur,977900,11.01,76.96
35,Madurai,977800,9.92,78.12
36,Srinagar,948100,34.09,74.79
37,Sholapur,924900,17.67,75.89
38,Aurangabad,924500,19.89,75.32
39,Ranchi,896800,23.36,85.33
40,Jodhpur,896700,26.29,73.02
41,Gwalior,876100,26.23,78.17
42,Vijayawada,874500,16.52,80.63
43,Chandigarh,856900,30.75,76.78
44,Guwahati,856000,26.19,91.75
45,Hubli,832700,15.36,75.13
46,Tiruchchirappalli,790400,10.81,78.69
47,Thiruvananthapuram,789000,8.51,76.95
48,Maisuru,786400,12.31,76.65
49,Navi mumbai,745800,19.11,73.06
50,Jalandhar,742900,31.33,75.57
51,Bareli,741400,28.36,79.41
52,Kota,737300,25.18,75.83
53,Selam,734400,11.67,78.16
54,Aligarh,707400,27.89,78.06
55,Bhubaneswar,685800,20.27,85.84
56,Moradabad,679400,28.84,78.76
57,Gorakhpur,661700,26.76,83.36
58,Raipur,641100,21.24,81.63
59,Bhiwandi,634300,19.3,73.05
60,Kochi,631900,10.02,76.22
61,Jamshedpur,604200,22.79,86.2
62,Bhilai,586800,21.21,81.38
63,Amravati,582000,20.95,77.76
64,Kataka,566900,20.47,85.88
65,Bikaner,560400,28.03,73.32
66,Warangal,560000,18.01,79.58
67,Mira bhayandar,551200,19.29,72.85
68,Guntur,545300,16.31,80.44
69,Bhavnagar,541300,21.79,72.13
70,Durgapur,522300,23.5,87.31
71,Asansol,515200,23.69,86.98
72,Ajmer,514000,26.45,74.64
73,Kolhapur,514000,16.7,74.22
74,Ulhasnagar,501100,19.23,73.15
75,Shiliguri,498200,26.73,88.42
76,Saharanpur,479800,29.97,77.54
77,Dehra dun,474400,30.34,78.05
78,Jamnagar,474300,22.47,70.07
79,Bhatpara,468200,22.89,88.42
80,Sangli-miraj,462600,16.86,74.57
81,Kozhikkod,462500,11.26,75.78
82,Nanded,456200,19.17,77.29
83,Ujjain,455500,23.19,75.78
84,Gulbarga,453400,17.34,76.82
85,Tirunelveli,435700,8.73,77.69
86,Malegaon,433500,20.56,74.52
87,Akola,423800,20.71,77
88,Belgaum,423400,15.86,74.5
89,Mangaluru,422400,12.88,74.84
90,Bokaro,417600,23.78,85.96
91,South dum dum,415500,22.61,88.41
92,Udaipur,412500,24.58,73.69
93,Maheshtala,412300,22.51,88.23
94,Gaya,406000,24.81,85
95,Jhansi,406000,25.45,78.56
96,Nellur,401500,14.46,79.98
97,Jammu,400900,32.71,74.85
98,Jalgaon,390500,21.01,75.56
99,Davanagere,385400,14.46,75.92
100,Kollam,382900,8.89,76.58
101,Panihati,369100,22.69,88.37
102,Tiruppur,367100,11.09,77.35
103,Dhule,361800,20.9,74.77
104,Bhagalpur,360600,25.26,86.98
105,Rajpur,356400,22.44,88.44
106,Thrissur,336300,10.52,76.21
107,Bellary,335800,15.14,76.91
108,Muzaffarnagar,335300,29.48,77.69
109,Korba,334500,22.35,82.69
110,Kamarhati,333000,22.67,88.37
111,Rajamahendri,332000,17.02,81.79
112,Ahmadnagar,325700,19.1,74.74
113,Muzaffarpur,323600,26.13,85.38
114,Patiala,320900,30.32,76.39
115,Ambattur,320500,13.11,80.17
116,Latur,317600,18.41,76.58
117,Mathura,316600,27.5,77.68
118,Shahjahanpur,315600,27.88,79.9
119,Chandrapur,315300,19.96,79.3
120,Ni dilli,312300,28.6,77.22
121,Noida,311400,28.58,77.33
122,Kukatpalle,307900,17.49,78.41
123,Kulti,307300,23.72,86.89
124,Kakinada,307200,16.96,82.24
125,Brahmapur,306900,19.32,84.8
126,Nizamabad,304000,18.68,78.1
127,Rohtak,303800,28.9,76.58
128,Barddhaman,302900,23.24,87.86
129,Rampur,298300,28.82,79.02
130,Bhilwara,296800,25.35,74.63
131,Firozabad,295400,27.15,78.39
132,Shimoga,290400,13.93,75.57
133,Rajarhat gopalpur,287900,22.52,88.27
134,Karnul,283700,15.83,78.03
135,Darbhanga,282700,26.16,85.88
136,Bilaspur,280900,22.09,82.15
137,Dasarahalli,279300,13.01,77.49
138,Lalbahadur nagar,277600,17.43,78.5
139,Panipat,277200,29.39,76.96
140,Bally,277100,22.65,88.35
141,Alwar,275700,27.56,76.6
142,Parbhani,274600,19.27,76.76
143,Gajuvaka,274300,,
144,Ichalkaranji,272900,16.69,74.46
145,Hisar,272100,29.16,75.72
146,Baranagar,265500,22.64,88.37
147,Tumkur,263400,13.34,77.1
148,Bijapur,260600,16.83,75.71
149,Jalna,249500,19.85,75.88
150,Ramagundam,249500,18.8,79.45
151,Sagar,246100,23.85,78.75
152,Bihar,245800,25.21,85.52
153,Barasat,245300,22.72,88.48
154,Durg,244900,21.2,81.28
155,Avadi,244600,13.12,80.11
156,Dewas,244400,22.97,76.05
157,Aizawl,243400,23.71,92.71
158,Farrukhabad,241400,27.4,79.57
159,Tirupati,241200,13.63,79.41
160,Qutubullapur,239200,17.43,78.47
161,Satna,238900,24.58,80.83
162,Raurkela,238000,22.24,84.81
163,Ratlam,234400,23.35,75.03
164,Anantapur,234100,14.7,77.59
165,Pondicherry,233900,11.94,79.83
166,North dum dum,233100,22.64,88.41
167,Ozhukarai,230600,11.94,79.77
168,Bathinda,230300,30.17,74.97
169,Imphal,230200,24.79,93.94
170,Sonipat,229100,28.99,77.01
171,Thuthukkudi,228900,8.81,78.14
172,Thanjavur,228500,10.79,79.13
173,Naihati,228200,22.91,88.43
174,Hapur,224600,28.73,77.77
175,Tiruvottiyur,224400,13.16,80.29
176,Etawah,224000,26.78,79.01
177,Ganganagar,223300,29.93,73.86
178,Karnal,223000,29.69,76.97
179,Mau,222600,25.96,83.56
180,Nagercoil,220500,8.18,77.43
181,Kharagpur,220300,22.34,87.31
182,Raurkela civil township,218800,22.25,84.86
183,Raichur,217900,16.21,77.35
184,Mirzapur,217500,25.16,82.56
185,Bharatpur,216600,27.23,77.49
186,Sikandarabad,216300,17.47,78.52
187,Ambarnath,215900,19.2,73.17
188,Karimnagar,215900,18.45,79.13
189,Ara,215500,25.56,84.66
190,Ulubaria,214100,22.47,88.11
191,Bommanahalli,213200,13.01,77.63
192,Dhanbad,210800,23.8,86.42
193,Shrirampur,209700,22.74,88.35
194,Dindigul,208300,10.36,77.97
195,Gandhinagar,207500,23.3,72.63
196,Burhanpur,205900,21.33,76.22
197,Nadiad,204300,22.7,72.85
198,Eluru,201100,16.72,81.11
199,Yamunanagar,200900,30.14,77.28
200,Agartala,200600,23.84,91.27
201,Pali,198700,25.79,73.32
202,Krishnarajapura,198600,12.97,77.74
203,Munger,198400,25.39,86.47
204,Murwara,197800,23.85,80.39
205,Singrauli,196600,23.84,82.27
206,Sikar,195900,27.61,75.13
207,Nalasopara,195600,19.43,72.78
208,Machilipatnam,194300,16.19,81.14
209,Rewa,194100,24.53,81.29
210,Sambhal,193800,28.59,78.56
211,Byatarayanapura,191700,,
212,Chhapra,189500,25.78,84.72
213,Velluru,188000,12.92,79.13
214,Alappuzha,187600,9.5,76.33
215,Bulandshahr,186700,28.41,77.85
216,Katihar,185600,25.55,87.57
217,Haridwar,185400,29.98,78.16
218,Malkajgiri,185400,17.55,78.59
219,Vizianagaram,184700,18.12,83.4
220,Gurgaon,183900,28.47,77.01
221,Bhusawal,182600,21.05,75.78
222,Bidar,182500,17.92,77.52
223,Khandwa,182200,21.83,76.35
224,Purnia,181400,25.78,87.47
225,Haldia,180800,22.08,88.09
226,Hugli-chunchura,180300,22.91,88.4
227,Bhiwani,179500,28.81,76.12
228,Rae bareli,179300,26.23,81.23
229,Junagadh,178700,21.52,70.45
230,Bahraich,178400,27.58,81.59
231,Bidhannagar,177800,22.57,88.42
232,Mango,176000,22.85,86.21
233,Raiganj,175000,25.62,88.12
234,Amroha,174700,28.91,78.46
235,Proddatur,174700,14.75,78.55
236,Sultanpur majra,173400,28.76,77.06
237,Hospet,173000,15.28,76.37
238,Chandannagar,171800,22.89,88.37
239,Ingraj bazar,171000,25.01,88.14
240,Bhadravati,169900,13.84,75.69
241,Baharampur,169700,24.1,88.24
242,Sirsa,169600,29.53,75.03
243,Jaunpur,169500,25.76,82.69
244,Pathankot,169000,32.27,75.64
245,Kapra,168600,17.37,78.48
246,Gudalur,168000,11.76,79.75
247,Khammam,167400,17.25,80.15
248,Puri,167000,19.81,85.83
249,Surendranagar,165700,22.71,71.67
250,Adoni,165200,15.63,77.27
251,Madhyamgram,164700,22.7,88.45
252,Gadag,164100,15.44,75.63
253,Sambalpur,163300,21.47,83.97
254,Kirari suleman nagar,163000,,
255,Bhind,162900,26.57,78.77
256,Midnapur,162500,22.33,87.15
257,Chittur,162100,13.22,79.1
258,Kanchipuram,162100,12.84,79.7
259,Sitapur,160900,27.57,80.69
260,Fatehpur,160800,25.93,80.81
261,Nandyal,160800,15.49,78.48
262,Bhalswa jahangirpur,160400,28.74,77.17
263,Erode,160200,11.35,77.73
264,Morena,159900,26.51,77.99
265,Serilungampalle,159500,17.48,78.33
266,Nangloi jat,159300,28.68,77.07
267,Uttarpara-kotrung,159100,22.66,88.35
268,Tenali,158700,16.24,80.65
269,Ongole,158500,15.5,80.05
270,Karawal nagar,157400,,
271,Bharuch,157200,21.71,72.97
272,Hoshiarpur,157100,31.53,75.91
273,Budaun,156900,28.04,79.12
274,Shivapuri,155600,25.43,77.65
275,Alandur,154800,13.03,80.23
276,Faizabad,153500,26.78,82.14
277,Unnao,153500,26.55,80.49
278,Barakpur,152900,22.76,88.38
279,Pallavaram,152500,12.99,80.16
280,Rajnandgaon,152300,21.1,81.04
281,Rajendranagar,151700,17.29,78.39
282,Silchar,150900,24.83,92.77
283,Shimla,150600,31.11,77.16
284,Robertsonpet,149700,12.97,78.28
285,Veraval,149600,20.92,70.34
286,Panchkula,149400,30.7,76.88
287,Kumbakonam,148300,10.97,79.38
288,Orai,147700,25.99,79.45
289,Ambala,147500,30.38,76.77
290,Krishnanagar,147300,23.41,88.51
291,Shantipur,146400,23.26,88.44
292,Bid,146300,18.99,75.76
293,Tambaram,145800,12.93,80.12
294,Bhimavaram,145500,16.55,81.53
295,Guna,145300,24.65,77.3
296,Jind,144200,29.31,76.3
297,Mahadevapura,143700,,
298,Tonk,143700,26.17,75.78
299,Balurghat,143600,25.23,88.77
300,Banda,142800,25.47,80.33
