City,Latitude,Longitude
Bagdogra,26.683332,88.316666
Bairgania,26.733334,85.26667
Balurghat,25.216667,88.75
Bhimnagar,26.5,86.949997
Bhubaneswar,20.266666,85.833336
Bidhannagar,22.566668,88.416664
Budge Budge,22.466667,88.166664
Chandabali,20.75,86.73333
Changrabandha,26.4,88.916664
Cooch Behar,26.316668,89.449997
Cossipore,22.6,88.366669
Darjeeling,27.033333,88.25
Dehri,24.866667,84.166664
Dhanbad district,23.783333,86.416664
Durgapur,23.483334,87.316666
English Bazar,25,88.150002
Falta,22.283333,88.116669
Farrakka Barrage Township,24.816668,87.900002
Galgalia,26.516666,88.099998
Garhwa,24.166668,83.816666
Gaya,24.75,85
Gopalpur,19.25,84.900002
Haldia,22.049999,88.099998
Hingalganj,22.466667,88.966667
Jaigaon,26.816668,89.366669
Jainagar,26.583332,86.116669
Jalpaiguri,26.516666,88.716667
Jamshedpur,22.799999,86.183334
Jeypore,18.85,82.566666
Jharsuguda,21.85,84.01667
Jogbani,26.383333,87.25
Kendujhar,21.616667,85.566666
Kharagpur,22.316668,87.316666
Kolkata,22.566668,88.349998
Kunauli,26.433332,86.76667
Lalgola,24.416668,88.25
Midnapore,22.416668,87.316666
Munger,25.366667,86.48333
Muzaffarpur,26.066668,85.449997
Namkhana,21.766666,88.216667
Panagarh,23.433332,87.466667
Paradip,20.316668,86.616669
Patna,25.6,85.133331
Puri,19.799999,85.816666
Ranchi,23.35,85.316666
Raxaul,26.983334,84.849998
Rourkela,22.216667,84.866669
Siliguri,26.700001,88.416664
Sitai,26.033333,89.300003
Sukhiapokhri,26.983334,88.166664
Agartala,23.816668,91.283333
Aizawl,23.716667,92.716667
Along,28.166668,94.76667
Amingaon,26.183332,91.666664
Chabua,27.466667,95.166664
Changlang,27.116667,95.73333
Dalu,25.200001,90.216667
Dawki,25.183332,92.01667
Dhubri,26.016666,90
Dibrugarh,27.466667,94.900002
Dimapur,25.916668,93.716667
Dispur,26.133333,91.783333
Gangtok,27.316668,88.616669
Guwahati,26.133333,91.73333
Imphal,24.816668,93.949997
Itanagar,27.1,93.616669
Jorhat,26.75,94.216667
Kailashahar,24.316668,92.01667
Kamalpur,24.200001,91.816666
Khowai,24.1,91.616669
Kohima,25.666668,94.099998
Kumki,27.25,96.900002
Mankachar,25.516666,89.866669
North Lakhimpur,27.233334,94.099998
Pasighat,28.049999,95.316666
Sabroom,23,91.716667
Shillong,25.566668,91.883331
Silchar,24.816668,92.800003
Tezpur,26.616667,92.800003
Tezu,27.916668,96.166664
Tinsukia,27.483334,95.349998
Warangal,18,79.566666
Achra,16.216667,73.466667
Ahmedabad,23.016666,72.566666
Ahmednagar,19.066668,74.716667
Akola,20.700001,76.98333
Alibag,18.633333,72.866669
Anand,22.549999,72.949997
Ankleshwar,21.616667,73
Aurangabad,19.866667,75.333336
Bandra,19.049999,72.816666
Bankot,17.983334,73.050003
Bedi,22.5,70.050003
Bharuch,21.716667,73
Bhavnagar,21.75,72.150002
Bhiwandi,19.283333,73.050003
Bhuj,23.266666,69.666664
Bhusawal,21.033333,75.783333
Bilimora,20.766666,72.949997
Chapora Beach,15.6,73.73333
Chiplun,17.533333,73.51667
Dahanu,19.966667,72.716667
Daman,20.416668,72.849998
Daulatabad,19.933332,75.199997
Deesa,24.266666,72.25
Dholera,22.233334,72.183334
Dhule,20.883333,74.76667
Diu,20.700001,70.966667
Dwarka,22.216667,68.966667
Gandhidham,23.066668,70.133331
Gandhinagar,23.216667,72.666664
Ghogha,21.683332,72.26667
Godhra,22.766666,73.616669
Guhar Moti,23.616667,68.51667
Halol,22.5,73.466667
Jakhau,23.233334,68.716667
Jalgaon,20.983334,75.566666
Jamnagar,22.466667,70.066666
Junagadh,21.516666,70.466667
Kalyan,19.233334,73.116669
Kandla,23.016666,70.216667
Keshod,21.283333,70.25
Khalapur,18.816668,73.26667
Khambhat,22.299999,72.616669
Khamgaon,20.683332,76.566666
Khopoli,18.783333,73.333336
Kodinar,20.85,70.800003
Kolhapur,16.683332,74.23333
Lakhpat,23.816668,68.76667
Latur City,18.4,76.550003
Mahad,18.066668,73.416664
Malvan,16.049999,73.466667
Mandvi,22.85,69.383331
Mandwa,20.816668,78.449997
