uttarakhand,119604
puducherry,53838
karnataka,7951867
himachal pradesh,124551
mizoram,11238
chattisgarh,78092
tamil nadu,7822244
jammu and kashmir,625875
haryana,886387
punjab,1592227
goa,550989
kerala,1926030
andaman,444
orissa,219535
tripura,54186
andhra pradesh,5431477
jharkhand,383959
meghalaya,44100
uttrakhand,46887
assam,620614
manipur,34211
rajasthan,2260133
arunachal pradesh,6063
sikkim,26089
bihar,780597
nagaland,31818
madhya pradesh,919652
west bengal,3503011
gujarat,2583837
nct of delhi,12856435
maharashtra,20007148
uttar pradesh,2361388
