date,Onion_None,Potato_None,Rice_None,Wheat_None
2009-01-01,19.0,16.0,21.0,20.0
2009-01-02,19.0,16.0,21.0,20.0
2009-01-03,19.0,16.0,21.0,20.0
2009-01-04,19.0,16.0,21.0,20.0
2009-01-05,19.0,16.0,21.0,20.0
2009-01-06,19.0,16.0,21.0,20.0
2009-01-07,19.0,16.0,21.0,20.0
2009-01-08,19.33333333333333,15.833333333333336,21.0,20.166666666666668
2009-01-09,19.666666666666668,15.666666666666664,21.0,20.33333333333333
2009-01-10,20.0,15.5,21.0,20.5
2009-01-11,20.33333333333333,15.333333333333336,21.0,20.666666666666668
2009-01-12,20.666666666666668,15.166666666666664,21.0,20.83333333333333
2009-01-13,21.0,15.0,21.0,21.0
2009-01-14,21.0,15.0,21.0,21.0
2009-01-15,21.0,15.0,21.0,21.0
2009-01-16,23.0,15.0,21.0,21.0
2009-01-17,24.0,15.0,21.0,21.0
2009-01-18,25.0,15.0,21.0,21.0
2009-01-19,26.0,15.0,21.0,21.0
2009-01-20,27.0,15.0,21.0,21.0
2009-01-21,27.0,15.0,21.0,21.0
2009-01-22,27.0,15.0,21.0,21.0
2009-01-23,28.0,16.0,22.0,21.0
2009-01-24,28.0,16.0,22.0,21.0
2009-01-25,28.0,16.0,22.0,21.0
2009-01-26,28.0,16.0,22.0,21.0
2009-01-27,28.0,16.0,22.0,21.0
2009-01-28,28.0,16.0,22.0,21.0
2009-01-29,28.0,16.0,22.0,21.0
2009-01-30,26.0,17.0,22.0,22.0
2009-01-31,25.0,17.0,22.0,22.0
2009-02-01,24.0,17.0,22.0,22.0
2009-02-02,23.0,17.0,22.0,22.0
2009-02-03,22.0,17.0,22.0,22.0
2009-02-04,22.0,17.0,22.0,22.0
2009-02-05,22.0,17.0,22.0,22.0
2009-02-06,22.0,17.0,22.0,22.0
2009-02-07,22.0,17.0,22.0,22.0
2009-02-08,22.0,17.0,22.0,22.0
2009-02-09,22.0,17.0,22.0,22.0
2009-02-10,22.0,17.0,22.0,22.0
2009-02-11,22.0,17.0,22.0,22.0
2009-02-12,22.0,17.0,22.0,22.0
2009-02-13,22.0,17.0,22.0,22.0
2009-02-14,22.0,17.0,22.0,22.0
2009-02-15,22.0,17.0,22.0,22.0
2009-02-16,22.0,17.0,22.0,22.0
2009-02-17,22.0,17.0,22.0,22.0
2009-02-18,22.0,17.0,22.0,22.0
2009-02-19,20.0,16.0,22.0,22.0
2009-02-20,20.0,14.0,22.0,22.0
2009-02-21,20.0,13.25,22.0,22.0
2009-02-22,20.0,12.5,22.0,22.0
2009-02-23,20.0,11.75,22.0,22.0
2009-02-24,20.0,11.0,22.0,22.0
2009-02-25,20.0,11.0,22.0,22.0
2009-02-26,20.0,11.0,22.0,22.0
2009-02-27,20.0,11.0,22.0,22.0
2009-02-28,19.75,11.0,22.0,22.0
2009-03-01,19.5,11.0,22.0,22.0
2009-03-02,19.25,11.0,22.0,22.0
2009-03-03,19.0,11.0,22.0,22.0
2009-03-04,19.0,11.0,22.0,22.0
2009-03-05,19.0,11.0,22.0,22.0
2009-03-06,19.0,11.0,22.0,22.0
2009-03-07,19.0,11.0,22.0,22.0
2009-03-08,19.0,11.0,22.0,22.0
2009-03-09,19.0,11.0,22.0,22.0
2009-03-10,19.0,11.0,22.0,22.0
2009-03-11,19.0,11.0,22.0,22.0
2009-03-12,19.0,11.0,22.0,22.0
2009-03-13,19.0,11.0,22.0,22.0
2009-03-14,19.0,11.0,22.0,22.0
2009-03-15,19.0,11.0,22.0,22.0
2009-03-16,19.0,11.0,22.0,22.0
2009-03-17,19.0,11.0,22.0,22.0
2009-03-18,19.0,11.0,22.0,22.0
2009-03-19,17.0,11.0,22.0,22.0
2009-03-20,15.0,11.0,22.0,22.0
2009-03-21,14.75,11.25,22.0,22.0
2009-03-22,14.5,11.5,22.0,22.0
2009-03-23,14.25,11.75,22.0,22.0
2009-03-24,14.0,12.0,22.0,22.0
2009-03-25,14.0,12.0,22.0,22.0
2009-03-26,14.0,12.0,22.0,22.0
2009-03-27,14.0,12.0,22.0,22.0
2009-03-28,14.0,12.0,22.0,22.0
2009-03-29,14.0,12.0,22.0,22.0
2009-03-30,14.0,12.0,22.0,22.0
2009-03-31,14.0,12.0,22.0,22.0
2009-04-01,13.0,11.0,23.0,22.0
2009-04-02,13.0,11.0,23.0,22.0
2009-04-03,12.857142857142858,11.0,23.0,22.0
2009-04-04,12.714285714285715,11.0,23.0,22.0
2009-04-05,12.571428571428573,11.0,23.0,22.0
2009-04-06,12.428571428571427,11.0,23.0,22.0
2009-04-07,12.285714285714285,11.0,23.0,22.0
2009-04-08,12.142857142857142,11.0,23.0,22.0
2009-04-09,12.0,11.0,23.0,22.0
2009-04-10,12.0,11.0,23.0,22.0
2009-04-11,12.0,11.0,23.0,22.0
2009-04-12,12.0,11.0,23.0,22.0
2009-04-13,12.0,11.0,23.0,22.0
2009-04-14,12.0,11.0,23.0,22.0
2009-04-15,12.0,11.0,23.0,22.0
2009-04-16,12.0,11.0,23.0,22.0
2009-04-17,12.0,11.0,23.0,22.0
2009-04-18,12.0,11.0,23.0,22.0
2009-04-19,12.0,11.0,23.0,22.0
2009-04-20,12.0,11.0,23.0,22.0
2009-04-21,12.0,11.0,23.0,22.0
2009-04-22,12.0,11.0,23.0,22.0
2009-04-23,12.0,11.0,23.0,22.0
2009-04-24,12.0,11.0,23.0,22.0
2009-04-25,12.0,11.0,23.0,22.0
2009-04-26,12.0,11.0,23.0,22.0
2009-04-27,12.0,11.0,23.0,22.0
2009-04-28,12.0,11.0,23.0,22.0
2009-04-29,12.0,11.0,23.0,22.0
2009-04-30,12.0,11.0,23.0,22.0
2009-05-01,12.0,11.0,23.0,22.0
2009-05-02,12.0,11.0,23.0,22.0
2009-05-03,12.0,11.0,23.0,22.0
2009-05-04,12.0,11.0,23.0,22.0
2009-05-05,12.0,11.0,23.0,22.0
2009-05-06,12.0,11.0,23.0,22.0
2009-05-07,12.0,11.0,23.0,22.0
2009-05-08,12.0,11.0,23.0,22.0
2009-05-09,12.0,11.0,23.0,22.0
2009-05-10,12.0,11.0,23.0,22.0
2009-05-11,12.0,11.0,23.0,22.0
2009-05-12,12.0,11.0,23.0,22.0
2009-05-13,12.0,13.0,23.0,22.0
2009-05-14,12.0,13.0,23.0,22.0
2009-05-15,12.0,13.0,23.0,22.0
2009-05-16,12.0,14.0,23.0,22.0
2009-05-17,12.0,15.0,23.0,22.0
2009-05-18,12.0,16.0,23.0,22.0
2009-05-19,12.0,17.0,23.0,22.0
2009-05-20,12.0,17.0,23.0,22.0
2009-05-21,12.0,17.0,23.0,22.0
2009-05-22,12.0,17.0,23.0,22.0
2009-05-23,12.0,17.0,23.0,22.0
2009-05-24,12.0,17.0,23.0,22.0
2009-05-25,12.0,17.0,23.0,22.0
2009-05-26,12.0,17.0,23.0,22.0
2009-05-27,12.0,21.0,23.0,22.0
2009-05-28,12.0,21.0,23.0,22.0
2009-05-29,12.0,21.0,23.0,22.0
2009-05-30,12.0,21.0,23.0,22.0
2009-05-31,12.0,21.0,23.0,22.0
2009-06-01,12.0,21.0,23.0,22.0
2009-06-02,12.0,21.0,23.0,22.0
2009-06-03,12.0,21.0,23.0,22.0
2009-06-04,12.0,21.0,23.0,22.0
2009-06-05,12.0,21.0,23.0,22.0
2009-06-06,12.0,21.0,23.0,22.0
2009-06-07,12.0,21.0,23.0,22.0
2009-06-08,12.0,21.0,23.0,22.0
2009-06-09,12.0,21.0,23.0,22.0
2009-06-10,12.0,21.0,23.0,22.0
2009-06-11,12.0,21.0,23.0,22.0
2009-06-12,12.0,21.0,23.0,22.0
2009-06-13,12.0,21.0,23.0,22.0
2009-06-14,12.0,21.0,23.0,22.0
2009-06-15,12.0,21.0,23.0,22.0
2009-06-16,12.0,21.0,23.0,22.0
2009-06-17,12.0,23.0,23.0,22.0
2009-06-18,12.0,23.0,23.0,22.0
2009-06-19,12.0,23.0,23.0,22.0
2009-06-20,12.0,23.0,23.0,22.0
2009-06-21,12.0,23.0,23.0,22.0
2009-06-22,12.0,23.0,23.0,22.0
2009-06-23,12.0,23.0,23.0,22.0
2009-06-24,14.0,22.0,23.0,22.0
2009-06-25,14.0,22.0,23.0,22.0
2009-06-26,14.0,22.0,23.0,22.0
2009-06-27,14.0,22.0,23.0,22.0
2009-06-28,14.0,22.0,23.0,22.0
2009-06-29,14.0,22.0,23.0,22.0
2009-06-30,14.0,22.0,23.0,22.0
2009-07-01,14.0,22.0,23.0,22.0
2009-07-02,14.0,22.0,23.0,22.0
2009-07-03,14.0,22.0,21.0,22.0
2009-07-04,14.0,22.0,21.0,22.0
2009-07-05,14.0,22.0,21.0,22.0
2009-07-06,14.0,22.0,21.0,22.0
2009-07-07,14.0,22.0,21.0,22.0
2009-07-08,14.0,22.0,21.0,22.0
2009-07-09,14.0,22.0,21.0,22.0
2009-07-10,14.0,22.0,21.0,22.0
2009-07-11,14.0,22.0,21.0,22.0
2009-07-12,14.0,22.0,21.0,22.0
2009-07-13,14.0,22.0,21.0,22.0
2009-07-14,14.0,22.0,21.0,22.0
2009-07-15,14.0,22.0,21.0,22.0
2009-07-16,14.0,22.0,21.0,22.0
2009-07-17,14.0,22.0,21.0,22.0
2009-07-18,14.0,22.0,21.0,22.0
2009-07-19,14.0,22.0,21.0,22.0
2009-07-20,14.0,22.0,21.0,22.0
2009-07-21,14.0,22.0,21.0,22.0
2009-07-22,14.0,22.0,21.0,22.0
2009-07-23,14.0,22.0,21.0,22.0
2009-07-24,14.0,22.0,21.0,22.0
2009-07-25,14.0,22.0,21.0,22.0
2009-07-26,14.0,22.0,21.0,22.0
2009-07-27,14.0,22.0,21.0,22.0
2009-07-28,14.0,22.0,21.0,22.0
2009-07-29,14.0,23.0,21.0,22.0
2009-07-30,14.0,23.0,21.0,22.0
2009-07-31,13.0,22.0,21.0,22.0
2009-08-01,13.0,22.0,21.0,22.0
2009-08-02,13.0,22.0,21.0,22.0
2009-08-03,13.0,22.0,21.0,22.0
2009-08-04,13.0,22.0,21.0,22.0
2009-08-05,13.0,22.0,21.0,22.0
2009-08-06,13.0,22.0,21.0,22.0
2009-08-07,13.0,22.0,21.0,22.0
2009-08-08,13.0,22.0,21.0,22.0
2009-08-09,13.0,22.0,21.0,22.0
2009-08-10,13.0,22.0,21.0,22.0
2009-08-11,13.0,22.0,21.0,22.0
2009-08-12,13.0,22.0,21.0,22.0
2009-08-13,13.0,22.0,21.0,22.0
2009-08-14,13.0,22.0,21.0,22.0
2009-08-15,13.0,22.0,21.0,22.0
2009-08-16,13.0,22.0,21.0,22.0
2009-08-17,13.0,22.0,21.0,22.0
2009-08-18,13.0,22.0,21.0,22.0
2009-08-19,13.0,22.0,21.0,22.0
2009-08-20,13.0,22.0,21.0,22.0
2009-08-21,13.0,22.0,21.0,22.0
2009-08-22,13.0,22.0,21.0,22.0
2009-08-23,13.0,22.0,21.0,22.0
2009-08-24,13.0,22.0,21.0,22.0
2009-08-25,13.0,22.0,21.0,22.0
2009-08-26,13.0,22.0,21.0,22.0
2009-08-27,13.0,22.0,23.0,22.0
2009-08-28,13.0,22.0,23.0,22.0
2009-08-29,13.25,22.25,23.0,22.0
2009-08-30,13.5,22.5,23.0,22.0
2009-08-31,13.75,22.75,23.0,22.0
2009-09-01,14.0,23.0,23.0,22.0
2009-09-02,14.0,23.0,23.0,22.0
2009-09-03,14.0,23.0,23.0,22.0
2009-09-04,14.0,23.0,23.0,22.0
2009-09-05,14.0,23.75,23.0,22.0
2009-09-06,14.0,24.5,23.0,22.0
2009-09-07,14.0,25.25,23.0,22.0
2009-09-08,14.0,26.0,23.0,22.0
2009-09-09,14.0,26.0,23.0,22.0
2009-09-10,14.0,26.0,23.0,22.0
2009-09-11,14.0,26.0,23.0,22.0
2009-09-12,14.0,26.0,23.0,22.0
2009-09-13,14.0,26.0,23.0,22.0
2009-09-14,14.0,26.0,23.0,22.0
2009-09-15,14.0,26.0,23.0,22.0
2009-09-16,15.0,26.0,23.0,22.0
2009-09-17,15.0,26.0,23.0,22.0
2009-09-18,14.0,25.0,23.0,22.0
2009-09-19,14.0,25.0,23.0,22.0
2009-09-20,14.0,25.0,23.0,22.0
2009-09-21,14.0,25.0,23.0,22.0
2009-09-22,14.0,25.0,23.0,22.0
2009-09-23,14.0,25.0,23.0,22.0
2009-09-24,14.0,25.0,23.0,22.0
2009-09-25,14.0,25.0,23.0,22.0
2009-09-26,14.0,25.2,23.0,22.0
2009-09-27,14.0,25.4,23.0,22.0
2009-09-28,14.0,25.6,23.0,22.0
2009-09-29,14.0,25.8,23.0,22.0
2009-09-30,14.0,26.0,23.0,22.0
2009-10-01,22.0,26.0,23.0,22.0
2009-10-02,22.0,26.0,23.0,22.0
2009-10-03,22.0,26.0,23.0,22.0
2009-10-04,22.0,26.0,23.0,22.0
2009-10-05,22.0,26.0,23.0,22.0
2009-10-06,22.0,26.0,23.0,22.0
2009-10-07,22.0,26.0,23.0,22.0
2009-10-08,22.0,26.0,23.0,22.0
2009-10-09,24.0,28.0,23.0,22.0
2009-10-10,24.5,28.0,23.0,22.0
2009-10-11,25.0,28.0,23.0,22.0
2009-10-12,25.5,28.0,23.0,22.0
2009-10-13,26.0,28.0,23.0,22.0
2009-10-14,26.0,28.0,23.0,22.0
2009-10-15,26.0,28.0,23.0,22.0
2009-10-16,26.0,28.0,23.0,22.0
2009-10-17,26.0,28.0,23.0,22.0
2009-10-18,26.0,28.0,23.0,22.0
2009-10-19,26.0,28.0,23.0,22.0
2009-10-20,26.0,28.0,23.0,22.0
2009-10-21,26.0,28.0,23.0,22.0
2009-10-22,26.0,28.0,23.0,22.0
2009-10-23,26.0,28.0,23.0,22.0
2009-10-24,26.0,28.75,23.0,22.0
2009-10-25,26.0,29.5,23.0,22.0
2009-10-26,26.0,30.25,23.0,22.0
2009-10-27,26.0,31.0,23.0,22.0
2009-10-28,26.0,31.0,23.0,22.0
2009-10-29,26.0,31.0,23.0,22.0
2009-10-30,26.0,31.0,23.0,22.0
2009-10-31,26.2,31.0,23.0,22.0
2009-11-01,26.4,31.0,23.0,22.0
2009-11-02,26.6,31.0,23.0,22.0
2009-11-03,26.8,31.0,23.0,22.0
2009-11-04,27.0,31.0,23.0,22.0
2009-11-05,27.0,31.0,23.0,22.0
2009-11-06,27.0,31.0,23.0,22.0
2009-11-07,27.0,31.0,23.0,22.0
2009-11-08,27.0,31.0,23.0,22.0
2009-11-09,27.0,31.0,23.0,22.0
2009-11-10,27.0,31.0,23.0,22.0
2009-11-11,27.0,31.0,23.0,22.0
2009-11-12,27.0,31.0,23.0,22.0
2009-11-13,27.0,31.0,23.0,22.0
2009-11-14,27.5,31.0,23.0,22.0
2009-11-15,28.0,31.0,23.0,22.0
2009-11-16,28.5,31.0,23.0,22.0
2009-11-17,29.0,31.0,23.0,22.0
2009-11-18,29.0,31.0,23.0,22.0
2009-11-19,29.0,31.0,23.0,22.0
2009-11-20,29.0,31.0,23.0,22.0
2009-11-21,29.0,31.0,23.0,22.0
2009-11-22,29.0,31.0,23.0,22.0
2009-11-23,29.0,31.0,23.0,22.0
2009-11-24,29.0,31.0,23.0,22.0
2009-11-25,29.0,31.0,23.0,22.0
2009-11-26,29.0,31.0,23.0,22.0
2009-11-27,30.0,31.0,23.0,25.0
2009-11-28,30.5,31.0,23.0,25.0
2009-11-29,31.0,31.0,23.0,25.0
2009-11-30,31.5,31.0,23.0,25.0
2009-12-01,32.0,31.0,23.0,25.0
2009-12-02,32.0,31.0,23.0,25.0
2009-12-03,35.0,31.0,26.0,25.0
2009-12-04,35.0,31.0,26.0,25.0
2009-12-05,36.0,30.0,26.0,25.0
2009-12-06,37.0,29.0,26.0,25.0
2009-12-07,38.0,28.0,26.0,25.0
2009-12-08,39.0,27.0,26.0,25.0
2009-12-09,39.0,27.0,26.0,25.0
2009-12-10,39.0,27.0,26.0,25.0
2009-12-11,39.0,27.0,28.0,26.0
2009-12-12,39.0,27.0,28.0,26.0
2009-12-13,39.0,27.0,28.0,26.0
2009-12-14,39.0,27.0,28.0,26.0
2009-12-15,39.0,27.0,28.0,26.0
2009-12-16,39.0,27.0,28.0,26.0
2009-12-17,39.0,27.0,28.0,26.0
2009-12-18,39.0,27.0,28.0,26.0
2009-12-19,39.75,26.75,27.25,25.75
2009-12-20,40.5,26.5,26.5,25.5
2009-12-21,41.25,26.25,25.75,25.25
2009-12-22,42.0,26.0,25.0,25.0
2009-12-23,42.0,26.0,25.0,25.0
2009-12-24,42.0,26.0,25.0,25.0
