date,Onion,Potato,Rice,Wheat
2009-01-01,14.0,7.0,17.0,12.0
2009-01-02,14.0,7.0,17.0,12.0
2009-01-03,14.0,7.0,17.0,12.0
2009-01-04,14.0,7.0,17.0,12.0
2009-01-05,14.0,7.0,17.0,12.0
2009-01-06,14.0,7.0,17.0,12.0
2009-01-07,14.0,7.0,17.0,12.0
2009-01-08,14.0,7.0,17.0,12.0
2009-01-09,14.0,7.0,17.0,12.0
2009-01-10,14.0,7.0,17.0,12.0
2009-01-11,14.0,7.0,17.0,12.0
2009-01-12,14.0,7.0,17.0,12.0
2009-01-13,14.0,7.0,17.0,12.0
2009-01-14,13.0,7.0,17.0,13.0
2009-01-15,13.0,7.0,17.0,13.0
2009-01-16,13.0,7.0,17.0,13.0
2009-01-17,13.0,7.0,17.0,13.0
2009-01-18,13.0,7.0,17.0,13.0
2009-01-19,13.0,7.0,17.0,13.0
2009-01-20,13.0,7.0,17.0,13.0
2009-01-21,13.0,7.0,17.0,13.0
2009-01-22,13.0,7.0,17.0,13.0
2009-01-23,13.0,7.0,17.0,13.0
2009-01-24,13.0,7.0,17.0,13.0
2009-01-25,13.0,7.0,17.0,13.0
2009-01-26,13.0,7.0,17.0,13.0
2009-01-27,13.0,7.0,17.0,13.0
2009-01-28,13.0,7.0,17.0,13.0
2009-01-29,13.0,7.0,17.0,13.0
2009-01-30,13.0,7.0,17.0,13.0
2009-01-31,13.0,7.0,17.0,13.0
2009-02-01,13.0,7.0,17.0,13.0
2009-02-02,13.0,7.0,17.0,13.0
2009-02-03,13.0,7.0,17.0,13.0
2009-02-04,13.0,7.0,17.0,13.0
2009-02-05,13.0,7.0,17.0,13.0
2009-02-06,13.0,7.0,17.0,13.0
2009-02-07,13.0,7.0,17.0,13.0
2009-02-08,13.0,7.0,17.0,13.0
2009-02-09,13.0,7.0,17.0,13.0
2009-02-10,13.0,7.0,17.0,13.0
2009-02-11,13.0,7.0,17.0,13.0
2009-02-12,13.0,7.0,17.0,13.0
2009-02-13,13.0,7.0,17.0,13.0
2009-02-14,13.0,7.0,17.0,13.0
2009-02-15,13.0,7.0,17.0,13.0
2009-02-16,13.0,7.0,17.0,13.0
2009-02-17,13.0,7.0,17.0,13.0
2009-02-18,13.0,7.0,17.0,13.0
2009-02-19,13.0,7.0,17.0,13.0
2009-02-20,13.0,7.0,17.0,13.0
2009-02-21,13.0,7.0,17.0,13.0
2009-02-22,13.0,7.0,17.0,13.0
2009-02-23,13.0,7.0,17.0,13.0
2009-02-24,13.0,7.0,17.0,13.0
2009-02-25,13.0,7.0,17.0,13.0
2009-02-26,15.0,7.0,16.0,13.0
2009-02-27,15.0,7.0,16.0,13.0
2009-02-28,15.0,7.0,16.0,13.0
2009-03-01,15.0,7.0,16.0,13.0
2009-03-02,15.0,7.0,16.0,13.0
2009-03-03,15.0,7.0,16.0,13.0
2009-03-04,15.0,7.0,16.0,13.0
2009-03-05,15.0,7.0,16.0,13.0
2009-03-06,15.0,7.0,16.0,13.0
2009-03-07,15.0,7.0,16.0,13.0
2009-03-08,15.0,7.0,16.0,13.0
2009-03-09,15.0,7.0,16.0,13.0
2009-03-10,15.0,7.0,16.0,13.0
2009-03-11,15.0,7.0,16.0,13.0
2009-03-12,15.0,7.0,16.0,13.0
2009-03-13,15.0,7.0,16.0,13.0
2009-03-14,15.0,7.0,16.0,13.0
2009-03-15,15.0,7.0,16.0,13.0
2009-03-16,15.0,7.0,16.0,13.0
2009-03-17,15.0,7.0,16.0,13.0
2009-03-18,15.0,7.0,16.0,13.0
2009-03-19,15.0,7.0,16.0,13.0
2009-03-20,15.0,7.0,16.0,13.0
2009-03-21,15.0,7.0,16.0,13.0
2009-03-22,15.0,7.0,16.0,13.0
2009-03-23,15.0,7.0,16.0,13.0
2009-03-24,15.0,7.0,16.0,13.0
2009-03-25,15.0,7.0,16.0,13.0
2009-03-26,15.0,7.0,16.0,13.0
2009-03-27,15.0,7.0,16.0,12.0
2009-03-28,15.0,7.0,16.0,12.0
2009-03-29,15.0,7.0,16.0,12.0
2009-03-30,15.0,7.0,16.0,12.0
2009-03-31,15.0,7.0,16.0,12.0
2009-04-01,15.0,7.0,16.0,12.0
2009-04-02,15.0,7.0,16.0,12.0
2009-04-03,15.0,7.0,16.0,12.0
2009-04-04,15.0,7.0,16.0,12.0
2009-04-05,15.0,7.0,16.0,12.0
2009-04-06,15.0,7.0,16.0,12.0
2009-04-07,15.0,7.0,16.0,12.0
2009-04-08,15.0,7.0,16.0,12.0
2009-04-09,15.0,7.0,16.0,12.0
2009-04-10,15.0,7.0,16.0,12.0
2009-04-11,15.0,7.0,16.0,12.0
2009-04-12,15.0,7.0,16.0,12.0
2009-04-13,15.0,7.0,16.0,12.0
2009-04-14,15.0,7.0,16.0,12.0
2009-04-15,15.0,7.0,16.0,12.0
2009-04-16,15.0,7.0,16.0,12.0
2009-04-17,15.0,7.0,16.0,12.0
2009-04-18,15.0,7.0,16.0,12.25
2009-04-19,15.0,7.0,16.0,12.5
2009-04-20,15.0,7.0,16.0,12.75
2009-04-21,15.0,7.0,16.0,13.0
2009-04-22,15.0,7.0,16.0,13.0
2009-04-23,15.0,7.0,16.0,13.0
2009-04-24,15.0,7.0,16.0,13.0
2009-04-25,15.0,7.0,16.0,13.0
2009-04-26,15.0,7.0,16.0,13.0
2009-04-27,15.0,7.0,16.0,13.0
2009-04-28,15.0,7.0,16.0,13.0
2009-04-29,15.0,7.0,16.0,13.0
2009-04-30,15.0,7.0,16.0,13.0
2009-05-01,15.0,7.0,16.0,13.0
2009-05-02,15.0,7.0,16.0,13.0
2009-05-03,15.0,7.0,16.0,13.0
2009-05-04,15.0,7.0,16.0,13.0
2009-05-05,15.0,7.0,16.0,13.0
2009-05-06,15.0,7.0,16.0,13.0
2009-05-07,15.0,7.0,16.0,13.0
2009-05-08,15.0,7.0,16.0,13.0
2009-05-09,15.0,7.0,16.0,13.0
2009-05-10,15.0,7.0,16.0,13.0
2009-05-11,15.0,7.0,16.0,13.0
2009-05-12,15.0,7.0,16.0,13.0
2009-05-13,13.0,13.0,16.0,13.0
2009-05-14,13.0,13.0,16.0,13.0
2009-05-15,13.0,13.0,16.0,13.0
2009-05-16,13.0,13.0,16.0,13.0
2009-05-17,13.0,13.0,16.0,13.0
2009-05-18,13.0,13.0,16.0,13.0
2009-05-19,13.0,13.0,16.0,13.0
2009-05-20,13.0,13.0,16.0,13.0
2009-05-21,13.0,13.0,16.0,13.0
2009-05-22,13.0,13.0,16.0,13.0
2009-05-23,13.0,13.0,16.0,13.0
2009-05-24,13.0,13.0,16.0,13.0
2009-05-25,13.0,13.0,16.0,13.0
2009-05-26,13.0,13.0,16.0,13.0
2009-05-27,13.0,13.0,16.0,13.0
2009-05-28,11.0,15.0,17.0,13.0
2009-05-29,11.0,15.0,17.0,13.0
2009-05-30,11.0,15.0,17.0,13.0
2009-05-31,11.0,15.0,17.0,13.0
2009-06-01,11.0,15.0,17.0,13.0
2009-06-02,11.0,15.0,17.0,13.0
2009-06-03,11.0,15.0,17.0,13.0
2009-06-04,11.0,15.0,17.0,13.0
2009-06-05,11.0,15.0,17.0,13.0
2009-06-06,11.0,15.0,17.0,13.0
2009-06-07,11.0,15.0,17.0,13.0
2009-06-08,11.0,15.0,17.0,13.0
2009-06-09,11.0,15.0,17.0,13.0
2009-06-10,11.0,15.0,17.0,13.0
2009-06-11,11.0,15.0,17.0,13.0
2009-06-12,11.0,15.0,17.0,13.0
2009-06-13,11.0,15.0,17.0,13.0
2009-06-14,11.0,15.0,17.0,13.0
2009-06-15,11.0,15.0,17.0,13.0
2009-06-16,11.0,15.0,17.0,13.0
2009-06-17,11.0,15.0,17.0,13.0
2009-06-18,11.0,15.0,17.0,13.0
2009-06-19,11.0,15.0,17.0,13.0
2009-06-20,11.0,15.0,17.0,13.0
2009-06-21,11.0,15.0,17.0,13.0
2009-06-22,11.0,15.0,17.0,13.0
2009-06-23,11.0,15.0,17.0,13.0
2009-06-24,11.0,15.0,17.0,13.0
2009-06-25,11.0,15.0,17.0,13.0
2009-06-26,11.0,15.0,17.0,13.0
2009-06-27,11.5,14.75,16.75,12.75
2009-06-28,12.0,14.5,16.5,12.5
2009-06-29,12.5,14.25,16.25,12.25
2009-06-30,13.0,14.0,16.0,12.0
2009-07-01,13.0,14.0,16.0,12.0
2009-07-02,13.0,14.0,16.0,12.0
2009-07-03,13.0,14.0,16.0,12.0
2009-07-04,13.0,14.0,16.0,12.0
2009-07-05,13.0,14.0,16.0,12.0
2009-07-06,13.0,14.0,16.0,12.0
2009-07-07,13.0,14.0,16.0,12.0
2009-07-08,13.0,14.0,16.0,12.0
2009-07-09,13.0,14.0,16.0,12.0
2009-07-10,13.0,14.0,16.0,12.0
2009-07-11,13.0,14.0,16.25,12.25
2009-07-12,13.0,14.0,16.5,12.5
2009-07-13,13.0,14.0,16.75,12.75
2009-07-14,13.0,14.0,17.0,13.0
2009-07-15,13.0,14.0,17.0,13.0
2009-07-16,13.0,14.0,17.0,13.0
2009-07-17,13.0,14.0,17.0,13.0
2009-07-18,13.0,14.0,17.0,13.0
2009-07-19,13.0,14.0,17.0,13.0
2009-07-20,13.0,14.0,17.0,13.0
2009-07-21,13.0,14.0,17.0,13.0
2009-07-22,13.0,14.0,17.0,13.0
2009-07-23,13.0,14.0,17.0,13.0
2009-07-24,13.0,14.0,17.0,13.0
2009-07-25,12.75,14.0,17.0,13.25
2009-07-26,12.5,14.0,17.0,13.5
2009-07-27,12.25,14.0,17.0,13.75
2009-07-28,12.0,14.0,17.0,14.0
2009-07-29,12.0,14.0,17.0,14.0
2009-07-30,12.0,14.0,17.0,14.0
2009-07-31,12.0,14.0,15.0,14.0
2009-08-01,12.0,14.0,15.0,14.0
2009-08-02,12.0,14.0,15.0,14.0
2009-08-03,12.0,14.0,15.0,14.0
2009-08-04,12.0,14.0,15.0,14.0
2009-08-05,12.0,14.0,15.0,14.0
2009-08-06,12.0,14.0,15.0,14.0
2009-08-07,12.0,14.0,15.0,14.0
2009-08-08,12.0,14.0,15.0,14.0
2009-08-09,12.0,14.0,15.0,14.0
2009-08-10,12.0,14.0,15.0,14.0
2009-08-11,12.0,14.0,15.0,14.0
