date,Onion,Potato,Rice,Wheat
2009-01-01,16.0,11.0,17.0,16.0
2009-01-02,16.0,11.0,17.0,16.0
2009-01-03,16.0,10.5,17.0,16.0
2009-01-04,16.0,10.0,17.0,16.0
2009-01-05,16.0,9.5,17.0,16.0
2009-01-06,16.0,9.0,17.0,16.0
2009-01-07,16.0,9.0,17.0,16.0
2009-01-08,16.833333333333332,9.5,17.333333333333332,16.0
2009-01-09,17.666666666666668,10.0,17.666666666666668,16.0
2009-01-10,18.5,10.5,18.0,16.0
2009-01-11,19.33333333333333,11.0,18.33333333333333,16.0
2009-01-12,20.166666666666668,11.5,18.666666666666668,16.0
2009-01-13,21.0,12.0,19.0,16.0
2009-01-14,21.0,12.0,19.0,16.0
2009-01-15,21.0,12.0,19.0,16.0
2009-01-16,19.0,11.0,19.0,16.0
2009-01-17,18.75,11.5,18.25,16.0
2009-01-18,18.5,12.0,17.5,16.0
2009-01-19,18.25,12.5,16.75,16.0
2009-01-20,18.0,13.0,16.0,16.0
2009-01-21,18.0,13.0,16.0,16.0
2009-01-22,18.0,13.0,16.0,16.0
2009-01-23,17.0,12.0,17.0,16.0
2009-01-24,17.0,12.0,17.0,16.0
2009-01-25,17.0,12.0,17.0,16.0
2009-01-26,17.0,12.0,17.0,16.0
2009-01-27,17.0,12.0,17.0,16.0
2009-01-28,17.0,12.0,17.0,16.0
2009-01-29,17.0,12.0,17.0,16.0
2009-01-30,17.0,12.0,17.0,16.0
2009-01-31,17.0,11.5,17.0,16.0
2009-02-01,17.0,11.0,17.0,16.0
2009-02-02,17.0,10.5,17.0,16.0
2009-02-03,17.0,10.0,17.0,16.0
2009-02-04,17.0,10.0,17.0,16.0
2009-02-05,16.0,10.0,17.0,16.0
2009-02-06,16.0,10.0,17.0,16.0
2009-02-07,15.5,10.25,17.0,16.0
2009-02-08,15.0,10.5,17.0,16.0
2009-02-09,14.5,10.75,17.0,16.0
2009-02-10,14.0,11.0,17.0,16.0
2009-02-11,14.0,11.0,17.0,16.0
