date,Onion,Potato,Rice,Wheat
2009-01-01,16.0,12.0,18.0,18.0
2009-01-02,16.0,12.0,18.0,18.0
2009-01-03,16.0,12.0,18.0,18.0
2009-01-04,16.0,12.0,18.0,18.0
2009-01-05,16.0,12.0,18.0,18.0
2009-01-06,16.0,12.0,18.0,18.0
2009-01-07,22.0,14.0,18.0,18.0
2009-01-08,22.33333333333333,13.666666666666664,18.0,18.0
2009-01-09,22.66666666666667,13.333333333333336,18.0,18.0
2009-01-10,23.0,13.0,18.0,18.0
2009-01-11,23.33333333333333,12.666666666666664,18.0,18.0
2009-01-12,23.66666666666667,12.333333333333336,18.0,18.0
2009-01-13,24.0,12.0,18.0,18.0
2009-01-14,24.0,12.0,18.0,18.0
2009-01-15,24.0,12.0,18.0,18.0
2009-01-16,24.0,12.0,18.0,18.0
2009-01-17,24.0,12.0,18.0,18.0
2009-01-18,24.0,12.0,18.0,18.0
2009-01-19,24.0,12.0,18.0,18.0
2009-01-20,24.0,12.0,18.0,18.0
2009-01-21,24.0,12.0,18.0,18.0
2009-01-22,24.0,12.0,18.0,18.0
2009-01-23,24.0,12.0,18.0,18.0
2009-01-24,24.0,12.0,18.0,18.0
2009-01-25,24.0,12.0,18.0,18.0
2009-01-26,24.0,12.0,18.0,18.0
2009-01-27,24.0,12.0,18.0,18.0
2009-01-28,24.0,12.0,18.0,18.0
2009-01-29,22.0,12.0,18.0,18.0
2009-01-30,18.0,10.0,18.0,18.0
2009-01-31,18.0,10.0,18.0,18.0
2009-02-01,18.0,10.0,18.0,18.0
2009-02-02,18.0,10.0,18.0,18.0
2009-02-03,18.0,10.0,18.0,18.0
2009-02-04,18.0,10.0,18.0,18.0
2009-02-05,18.0,10.0,18.0,18.0
2009-02-06,18.0,10.0,18.0,18.0
2009-02-07,18.0,10.0,18.0,18.0
2009-02-08,18.0,10.0,18.0,18.0
2009-02-09,18.0,10.0,18.0,18.0
2009-02-10,18.0,10.0,18.0,18.0
2009-02-11,18.0,10.0,18.0,18.0
2009-02-12,18.0,10.0,18.0,18.0
2009-02-13,18.0,10.0,18.0,18.0
2009-02-14,18.0,10.0,18.0,18.0
2009-02-15,18.0,10.0,18.0,18.0
2009-02-16,18.0,10.0,18.0,18.0
2009-02-17,18.0,10.0,18.0,18.0
2009-02-18,18.0,10.0,18.0,18.0
2009-02-19,16.0,10.0,18.0,18.0
2009-02-20,16.0,10.0,18.0,18.0
2009-02-21,16.0,10.0,18.0,18.0
2009-02-22,16.0,10.0,18.0,18.0
2009-02-23,16.0,10.0,18.0,18.0
2009-02-24,16.0,10.0,18.0,18.0
2009-02-25,16.0,10.0,18.0,18.0
2009-02-26,16.0,10.0,18.0,18.0
2009-02-27,16.0,10.0,18.0,18.0
2009-02-28,16.0,10.0,18.0,18.0
2009-03-01,16.0,10.0,18.0,18.0
2009-03-02,16.0,10.0,18.0,18.0
2009-03-03,16.0,10.0,18.0,18.0
2009-03-04,16.0,10.0,18.0,18.0
2009-03-05,16.0,10.0,18.0,18.0
2009-03-06,16.0,10.0,18.0,18.0
2009-03-07,16.0,10.0,18.0,18.0
2009-03-08,16.0,10.0,18.0,18.0
2009-03-09,16.0,10.0,18.0,18.0
2009-03-10,16.0,10.0,18.0,18.0
2009-03-11,16.0,10.0,18.0,18.0
2009-03-12,16.0,10.0,18.0,18.0
2009-03-13,16.0,10.0,18.0,18.0
2009-03-14,16.0,10.0,18.0,18.0
2009-03-15,16.0,10.0,18.0,18.0
2009-03-16,16.0,10.0,18.0,18.0
2009-03-17,16.0,10.0,18.0,18.0
2009-03-18,14.0,10.0,18.0,18.0
2009-03-19,14.0,10.0,18.0,18.0
2009-03-20,14.0,10.0,18.0,18.0
2009-03-21,14.0,10.0,18.0,18.0
2009-03-22,14.0,10.0,18.0,18.0
2009-03-23,14.0,10.0,18.0,18.0
2009-03-24,14.0,10.0,18.0,18.0
2009-03-25,14.0,10.0,18.0,18.0
2009-03-26,14.0,12.0,18.0,18.0
2009-03-27,12.0,12.0,18.0,18.0
2009-03-28,12.0,12.0,18.0,18.0
2009-03-29,12.0,12.0,18.0,18.0
2009-03-30,12.0,12.0,18.0,18.0
2009-03-31,12.0,12.0,18.0,18.0
2009-04-01,12.0,12.0,18.0,18.0
2009-04-02,12.0,12.0,18.0,18.0
2009-04-03,12.0,12.0,18.0,18.0
2009-04-04,12.0,12.0,18.0,18.0
2009-04-05,12.0,12.0,18.0,18.0
2009-04-06,12.0,12.0,18.0,18.0
2009-04-07,12.0,12.0,18.0,18.0
2009-04-08,12.0,12.0,18.0,18.0
2009-04-09,12.0,12.0,18.0,18.0
2009-04-10,12.0,12.0,18.0,18.0
2009-04-11,12.0,12.0,18.0,18.0
2009-04-12,12.0,12.0,18.0,18.0
2009-04-13,12.0,12.0,18.0,18.0
2009-04-14,12.0,12.0,18.0,18.0
2009-04-15,12.0,12.0,18.0,18.0
2009-04-16,12.0,12.0,18.0,18.0
2009-04-17,12.0,12.0,18.0,18.0
2009-04-18,11.5,11.5,18.25,18.0
2009-04-19,11.0,11.0,18.5,18.0
2009-04-20,10.5,10.5,18.75,18.0
2009-04-21,10.0,10.0,19.0,18.0
2009-04-22,10.0,10.0,19.0,18.0
2009-04-23,10.0,12.0,19.0,18.0
2009-04-24,10.0,12.0,19.0,18.0
2009-04-25,10.0,12.0,19.0,18.0
2009-04-26,10.0,12.0,19.0,18.0
2009-04-27,10.0,12.0,19.0,18.0
2009-04-28,10.0,12.0,19.0,18.0
2009-04-29,10.0,12.0,19.0,18.0
2009-04-30,10.0,12.0,19.0,18.0
2009-05-01,10.0,12.0,19.0,18.0
2009-05-02,10.0,12.0,19.0,18.0
2009-05-03,10.0,12.0,19.0,18.0
2009-05-04,10.0,12.0,19.0,18.0
2009-05-05,10.0,12.0,19.0,18.0
2009-05-06,10.0,12.0,19.0,18.0
2009-05-07,10.0,12.333333333333336,19.0,18.0
2009-05-08,10.0,12.666666666666664,19.0,18.0
2009-05-09,10.0,13.0,19.0,18.0
2009-05-10,10.0,13.333333333333336,19.0,18.0
2009-05-11,10.0,13.666666666666664,19.0,18.0
2009-05-12,10.0,14.0,19.0,18.0
2009-05-13,10.0,14.0,19.0,18.0
2009-05-14,10.0,14.0,19.0,18.0
2009-05-15,10.0,14.0,19.0,18.0
2009-05-16,10.0,14.0,19.0,18.0
2009-05-17,10.0,14.0,19.0,18.0
2009-05-18,10.0,14.0,19.0,18.0
2009-05-19,10.0,14.0,19.0,18.0
2009-05-20,10.0,14.0,19.0,18.0
2009-05-21,10.0,14.0,19.0,18.0
2009-05-22,10.0,14.0,19.0,18.0
2009-05-23,10.0,14.0,19.0,18.0
2009-05-24,10.0,14.0,19.0,18.0
2009-05-25,10.0,14.0,19.0,18.0
2009-05-26,10.0,14.0,19.0,18.0
2009-05-27,10.0,14.0,19.0,18.0
2009-05-28,10.0,14.0,19.0,18.0
2009-05-29,10.0,14.0,19.0,18.0
2009-05-30,10.0,14.0,19.0,18.0
2009-05-31,10.0,14.0,19.0,18.0
2009-06-01,10.0,14.0,19.0,18.0
2009-06-02,10.0,14.0,19.0,18.0
2009-06-03,10.0,14.0,19.0,18.0
2009-06-04,10.0,14.0,19.0,18.0
2009-06-05,10.0,14.0,19.0,18.0
2009-06-06,10.0,14.0,19.0,18.0
2009-06-07,10.0,14.0,19.0,18.0
2009-06-08,10.0,14.0,19.0,18.0
2009-06-09,10.0,14.0,19.0,18.0
2009-06-10,10.0,14.0,19.0,18.0
2009-06-11,10.0,14.0,19.0,18.0
2009-06-12,10.0,14.0,19.0,18.0
2009-06-13,10.5,14.5,19.0,18.0
2009-06-14,11.0,15.0,19.0,18.0
2009-06-15,11.5,15.5,19.0,18.0
