date,Onion,Potato,Rice
2009-01-01,18.0,5.0,14.0
2009-01-02,18.0,5.0,14.0
2009-01-03,18.0,5.0,14.0
2009-01-04,18.0,5.0,14.0
2009-01-05,18.0,5.0,14.0
2009-01-06,18.0,5.0,14.0
2009-01-07,18.0,5.0,14.0
2009-01-08,18.0,5.0,14.0
2009-01-09,18.0,5.0,14.0
2009-01-10,18.0,5.0,14.0
2009-01-11,18.0,5.0,14.0
2009-01-12,18.0,5.0,14.0
2009-01-13,18.0,5.0,14.0
2009-01-14,18.0,5.0,14.0
2009-01-15,18.0,5.0,14.0
2009-01-16,18.0,5.0,14.0
2009-01-17,18.5,5.0,14.0
2009-01-18,19.0,5.0,14.0
2009-01-19,19.5,5.0,14.0
2009-01-20,20.0,5.0,14.0
2009-01-21,20.0,5.0,14.0
2009-01-22,20.0,5.0,14.0
2009-01-23,20.0,5.0,14.0
2009-01-24,20.0,5.0,14.0
2009-01-25,20.0,5.0,14.0
2009-01-26,20.0,5.0,14.0
2009-01-27,20.0,5.0,14.0
2009-01-28,20.0,5.0,14.0
2009-01-29,18.0,5.0,14.0
2009-01-30,18.0,5.0,14.0
2009-01-31,18.25,5.0,14.0
2009-02-01,18.5,5.0,14.0
2009-02-02,18.75,5.0,14.0
2009-02-03,19.0,5.0,14.0
2009-02-04,18.0,5.0,14.0
2009-02-05,18.0,5.0,14.0
2009-02-06,18.0,5.0,14.0
2009-02-07,18.0,5.0,14.0
2009-02-08,18.0,5.0,14.0
2009-02-09,18.0,5.0,14.0
2009-02-10,18.0,5.0,14.0
2009-02-11,18.0,5.0,14.0
2009-02-12,18.0,5.0,14.0
2009-02-13,16.0,6.0,14.0
2009-02-14,16.0,6.0,14.0
2009-02-15,16.0,6.0,14.0
2009-02-16,16.0,6.0,14.0
2009-02-17,16.0,6.0,14.0
2009-02-18,16.0,6.0,14.0
2009-02-19,16.0,6.0,14.0
2009-02-20,16.0,6.0,14.0
2009-02-21,16.0,6.0,14.0
2009-02-22,16.0,6.0,14.0
2009-02-23,16.0,6.0,14.0
2009-02-24,16.0,6.0,14.0
2009-02-25,16.0,5.0,14.0
2009-02-26,16.0,5.0,14.0
2009-02-27,14.0,4.0,14.0
2009-02-28,14.25,4.0,14.0
2009-03-01,14.5,4.0,14.0
2009-03-02,14.75,4.0,14.0
2009-03-03,15.0,4.0,14.0
2009-03-04,15.0,4.0,14.0
2009-03-05,16.0,7.0,14.0
2009-03-06,16.0,7.0,14.0
2009-03-07,16.0,7.0,14.0
2009-03-08,16.0,7.0,14.0
2009-03-09,16.0,7.0,14.0
2009-03-10,16.0,7.0,14.0
2009-03-11,16.0,7.0,14.0
2009-03-12,16.0,7.0,14.0
2009-03-13,16.0,7.0,14.0
2009-03-14,16.0,7.0,14.0
2009-03-15,16.0,7.0,14.0
2009-03-16,16.0,7.0,14.0
2009-03-17,16.0,7.0,14.0
2009-03-18,16.0,7.0,14.0
2009-03-19,16.0,7.0,14.0
2009-03-20,16.0,8.0,14.0
2009-03-21,16.0,8.25,14.0
2009-03-22,16.0,8.5,14.0
