date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other
2005-01-01,680.0,1450.0,600.0,350.0
2005-01-02,680.0,1450.0,600.0,350.0
2005-01-03,680.0,1450.0,600.0,350.0
2005-01-04,680.0,1450.0,600.0,350.0
2005-01-05,680.0,1450.0,600.0,350.0
2005-01-06,680.0,1450.0,600.0,350.0
2005-01-07,680.0,1450.0,600.0,350.0
2005-01-08,680.0,1450.0,600.0,350.0
2005-01-09,680.0,1450.0,600.0,350.0
2005-01-10,680.0,1450.0,600.0,350.0
2005-01-11,680.0,1450.0,600.0,350.0
2005-01-12,705.0,1450.0,600.0,350.0
2005-01-13,693.5,1450.0,600.0,350.0
2005-01-14,682.0,1450.0,600.0,350.0
2005-01-15,670.5,1450.0,600.0,350.0
2005-01-16,659.0,1450.0,600.0,350.0
2005-01-17,647.5,1450.0,600.0,350.0
2005-01-18,636.0,1450.0,600.0,350.0
2005-01-19,649.4285714285714,1450.0,600.0,350.0
2005-01-20,662.8571428571429,1450.0,600.0,350.0
2005-01-21,676.2857142857142,1450.0,600.0,350.0
2005-01-22,689.7142857142858,1450.0,600.0,350.0
2005-01-23,703.1428571428571,1450.0,600.0,350.0
2005-01-24,716.5714285714287,1450.0,600.0,350.0
2005-01-25,730.0,1450.0,600.0,350.0
2005-01-26,742.0,1450.0,600.0,350.0
2005-01-27,754.0,1450.0,600.0,350.0
2005-01-28,766.0,1450.0,600.0,350.0
2005-01-29,778.0,1450.0,600.0,350.0
2005-01-30,783.6666666666665,1450.0,600.0,350.0
2005-01-31,789.3333333333335,1450.0,600.0,350.0
2005-02-01,795.0,1450.0,600.0,350.0
2005-02-02,560.0,1450.0,600.0,350.0
2005-02-03,819.0,1450.0,600.0,350.0
2005-02-04,814.9166666666665,1450.0,600.0,350.0
2005-02-05,810.8333333333335,1450.0,600.0,350.0
2005-02-06,806.75,1450.0,600.0,350.0
2005-02-07,802.6666666666665,1450.0,600.0,350.0
2005-02-08,798.5833333333335,1450.0,600.0,350.0
2005-02-09,794.5,1450.0,600.0,350.0
2005-02-10,790.4166666666665,1450.0,600.0,350.0
2005-02-11,786.3333333333335,1450.0,600.0,350.0
2005-02-12,782.25,1450.0,600.0,350.0
2005-02-13,778.1666666666665,1450.0,600.0,350.0
2005-02-14,774.0833333333335,1450.0,600.0,350.0
2005-02-15,770.0,1450.0,600.0,350.0
2005-02-16,765.0,1450.0,600.0,350.0
2005-02-17,760.0,1450.0,600.0,350.0
2005-02-18,755.0,1450.0,600.0,350.0
2005-02-19,705.0,1450.0,600.0,350.0
2005-02-20,708.75,1450.0,600.0,350.0
2005-02-21,712.5,1450.0,600.0,350.0
2005-02-22,716.25,1450.0,600.0,350.0
2005-02-23,720.0,1450.0,600.0,350.0
2005-02-24,700.0,1450.0,600.0,350.0
2005-02-25,685.0,1450.0,600.0,350.0
