date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other,Wheat_Lokwan,Wheat_Rajasthan Tukdi
2005-01-01,680.0,1450.0,600.0,350.0,790.0,845.0
2005-01-02,680.0,1450.0,600.0,350.0,790.0,845.0
2005-01-03,680.0,1450.0,600.0,350.0,790.0,845.0
2005-01-04,680.0,1450.0,600.0,350.0,790.0,845.0
2005-01-05,680.0,1450.0,600.0,350.0,790.0,815.0
2005-01-06,680.0,1450.0,600.0,350.0,790.0,845.0
2005-01-07,680.0,1450.0,600.0,350.0,780.0,850.0
2005-01-08,680.0,1450.0,600.0,350.0,770.0,840.0
2005-01-09,680.0,1450.0,600.0,350.0,769.0,828.0
2005-01-10,680.0,1450.0,600.0,350.0,768.0,816.0
2005-01-11,680.0,1450.0,600.0,350.0,767.0,804.0
2005-01-12,705.0,1450.0,600.0,350.0,766.0,792.0
2005-01-13,693.5,1450.0,600.0,350.0,765.0,780.0
2005-01-14,682.0,1450.0,600.0,350.0,775.8333333333335,795.0
2005-01-15,670.5,1450.0,600.0,350.0,786.6666666666665,810.0
2005-01-16,659.0,1450.0,600.0,350.0,797.5,825.0
2005-01-17,647.5,1450.0,600.0,350.0,808.3333333333335,840.0
2005-01-18,636.0,1450.0,600.0,350.0,819.1666666666665,855.0
2005-01-19,649.4285714285714,1450.0,600.0,350.0,830.0,870.0
2005-01-20,662.8571428571429,1450.0,600.0,350.0,825.0,850.0
2005-01-21,676.2857142857142,1450.0,600.0,350.0,818.0,855.0
2005-01-22,689.7142857142858,1450.0,600.0,350.0,811.0,860.0
2005-01-23,703.1428571428571,1450.0,600.0,350.0,804.0,865.0
2005-01-24,716.5714285714287,1450.0,600.0,350.0,797.0,870.0
2005-01-25,730.0,1450.0,600.0,350.0,790.0,875.0
2005-01-26,742.0,1450.0,600.0,350.0,798.3333333333335,868.3333333333335
2005-01-27,754.0,1450.0,600.0,350.0,806.6666666666665,861.6666666666665
2005-01-28,766.0,1450.0,600.0,350.0,815.0,855.0
2005-01-29,778.0,1450.0,600.0,350.0,790.0,845.0
2005-01-30,783.6666666666665,1450.0,600.0,350.0,796.6666666666665,855.0
2005-01-31,789.3333333333335,1450.0,600.0,350.0,803.3333333333335,865.0
2005-02-01,795.0,1450.0,600.0,350.0,810.0,875.0
2005-02-02,560.0,1450.0,600.0,350.0,790.0,830.0
2005-02-03,819.0,1450.0,600.0,350.0,820.0,865.0
2005-02-04,814.9166666666665,1450.0,600.0,350.0,740.0,850.0
2005-02-05,810.8333333333335,1450.0,600.0,350.0,800.0,865.0
2005-02-06,806.75,1450.0,600.0,350.0,800.0,871.6666666666665
2005-02-07,802.6666666666665,1450.0,600.0,350.0,800.0,878.3333333333335
2005-02-08,798.5833333333335,1450.0,600.0,350.0,800.0,885.0
2005-02-09,794.5,1450.0,600.0,350.0,790.0,825.0
2005-02-10,790.4166666666665,1450.0,600.0,350.0,800.0,845.0
2005-02-11,786.3333333333335,1450.0,600.0,350.0,825.0,760.0
2005-02-12,782.25,1450.0,600.0,350.0,825.0,885.0
2005-02-13,778.1666666666665,1450.0,600.0,350.0,808.3333333333335,870.0
2005-02-14,774.0833333333335,1450.0,600.0,350.0,791.6666666666665,855.0
2005-02-15,770.0,1450.0,600.0,350.0,775.0,840.0
2005-02-16,765.0,1450.0,600.0,350.0,730.0,830.0
2005-02-17,760.0,1450.0,600.0,350.0,735.0,831.6666666666665
2005-02-18,755.0,1450.0,600.0,350.0,740.0,833.3333333333335
2005-02-19,705.0,1450.0,600.0,350.0,745.0,835.0
2005-02-20,708.75,1450.0,600.0,350.0,740.0,803.75
2005-02-21,712.5,1450.0,600.0,350.0,735.0,772.5
2005-02-22,716.25,1450.0,600.0,350.0,730.0,741.25
2005-02-23,720.0,1450.0,600.0,350.0,725.0,710.0
2005-02-24,700.0,1450.0,600.0,350.0,725.0,810.0
2005-02-25,685.0,1450.0,600.0,350.0,740.0,765.0
2005-02-26,684.0,1450.0,600.0,350.0,730.0,690.0
2005-02-27,669.6666666666666,1450.0,600.0,350.0,726.6666666666665,715.0
2005-02-28,655.3333333333334,1450.0,600.0,350.0,723.3333333333335,740.0
2005-03-01,641.0,1450.0,600.0,350.0,720.0,765.0
2005-03-02,664.0,1450.0,600.0,350.0,700.0,770.0
2005-03-03,668.3333333333334,1450.0,600.0,350.0,695.0,815.0
2005-03-04,672.6666666666666,1450.0,600.0,350.0,694.2857142857142,802.1428571428571
2005-03-05,677.0,1450.0,600.0,350.0,693.5714285714287,789.2857142857142
2005-03-06,670.8,1450.0,600.0,350.0,692.8571428571429,776.4285714285713
2005-03-07,664.6,1450.0,600.0,350.0,692.1428571428571,763.5714285714287
2005-03-08,658.4,1450.0,600.0,350.0,691.4285714285713,750.7142857142858
2005-03-09,652.2,1450.0,600.0,350.0,690.7142857142858,737.8571428571429
2005-03-10,646.0,1450.0,600.0,350.0,690.0,725.0
2005-03-11,645.0,1450.0,600.0,350.0,725.0,770.0
2005-03-12,624.0,1450.0,600.0,350.0,717.5,785.0
2005-03-13,624.0,1450.0,600.0,350.0,710.0,800.0
2005-03-14,624.0,1450.0,600.0,350.0,702.5,815.0
2005-03-15,624.0,1450.0,600.0,350.0,695.0,830.0
2005-03-16,623.0,1450.0,600.0,350.0,700.0,760.0
2005-03-17,643.0,1450.0,600.0,350.0,775.0,865.0
2005-03-18,644.0,1450.0,600.0,350.0,690.0,805.0
2005-03-19,640.0,1450.0,600.0,350.0,700.0,780.0
2005-03-20,636.6666666666666,1450.0,600.0,350.0,720.0,796.6666666666665
2005-03-21,633.3333333333334,1450.0,600.0,350.0,740.0,813.3333333333335
2005-03-22,630.0,1450.0,600.0,350.0,760.0,830.0
2005-03-23,632.0,1450.0,600.0,350.0,759.0909090909091,828.6363636363636
2005-03-24,640.0,1450.0,600.0,350.0,758.1818181818181,827.2727272727273
2005-03-25,638.0,1450.0,600.0,350.0,757.2727272727273,825.9090909090909
2005-03-26,636.0,1450.0,600.0,350.0,756.3636363636364,824.5454545454545
2005-03-27,634.0,1450.0,600.0,350.0,755.4545454545455,823.1818181818181
2005-03-28,632.0,1450.0,600.0,350.0,754.5454545454545,821.8181818181819
2005-03-29,630.0,1450.0,600.0,350.0,753.6363636363636,820.4545454545455
2005-03-30,630.7272727272727,1450.0,600.0,350.0,752.7272727272727,819.0909090909091
2005-03-31,631.4545454545455,1450.0,600.0,350.0,751.8181818181819,817.7272727272727
2005-04-01,632.1818181818181,1450.0,600.0,350.0,750.9090909090909,816.3636363636364
2005-04-02,632.9090909090909,1450.0,600.0,350.0,750.0,815.0
2005-04-03,633.6363636363636,1450.0,600.0,350.0,756.6666666666665,850.0
2005-04-04,634.3636363636364,1450.0,600.0,350.0,763.3333333333335,885.0
2005-04-05,635.0909090909091,1450.0,600.0,350.0,770.0,920.0
2005-04-06,635.8181818181819,1450.0,600.0,350.0,760.0,875.0
2005-04-07,636.5454545454545,1450.0,600.0,350.0,760.0,866.6666666666665
2005-04-08,637.2727272727273,1450.0,600.0,350.0,760.0,858.3333333333335
2005-04-09,638.0,1450.0,600.0,350.0,760.0,850.0
2005-04-10,639.3333333333334,1450.0,600.0,350.0,758.3333333333335,856.6666666666665
2005-04-11,640.6666666666666,1450.0,600.0,350.0,756.6666666666665,863.3333333333335
2005-04-12,642.0,1450.0,600.0,350.0,755.0,870.0
2005-04-13,638.0,1450.0,600.0,350.0,740.0,875.0
2005-04-14,630.3333333333334,1450.0,600.0,350.0,800.0,875.0
2005-04-15,622.6666666666666,1450.0,600.0,350.0,760.0,895.0
2005-04-16,615.0,1450.0,600.0,350.0,760.0,870.0
2005-04-17,615.0,1450.0,600.0,350.0,770.0,871.25
2005-04-18,615.0,1450.0,600.0,350.0,780.0,872.5
2005-04-19,615.0,1450.0,600.0,350.0,790.0,873.75
2005-04-20,615.0,1450.0,600.0,350.0,800.0,875.0
2005-04-21,615.9452054794519,1450.0,600.0,350.0,775.0,875.0
2005-04-22,616.8904109589041,1450.0,600.0,350.0,774.0,876.0
2005-04-23,617.8356164383563,1450.0,600.0,350.0,773.0,877.0
2005-04-24,618.7808219178082,1450.0,600.0,350.0,772.0,878.0
2005-04-25,619.7260273972603,1450.0,600.0,350.0,771.0,879.0
2005-04-26,620.6712328767122,1450.0,600.0,350.0,770.0,880.0
2005-04-27,621.6164383561644,1450.0,600.0,350.0,780.0,950.0
2005-04-28,622.5616438356166,1450.0,600.0,350.0,775.0,900.0
2005-04-29,623.5068493150685,1450.0,600.0,350.0,755.0,895.0
2005-04-30,624.4520547945207,1450.0,600.0,350.0,753.75,896.25
2005-05-01,625.3972602739726,1450.0,600.0,350.0,752.5,897.5
2005-05-02,626.3424657534248,1450.0,600.0,350.0,751.25,898.75
2005-05-03,627.2876712328767,1450.0,600.0,350.0,750.0,900.0
2005-05-04,628.2328767123287,1450.0,600.0,350.0,775.0,875.0
2005-05-05,629.1780821917807,1450.0,600.0,350.0,720.0,870.0
2005-05-06,630.1232876712329,1450.0,600.0,350.0,727.8571428571429,870.7142857142858
2005-05-07,631.068493150685,1450.0,600.0,350.0,735.7142857142858,871.4285714285713
2005-05-08,632.013698630137,1450.0,600.0,350.0,743.5714285714287,872.1428571428571
2005-05-09,632.9589041095892,1450.0,600.0,350.0,751.4285714285713,872.8571428571429
2005-05-10,633.9041095890411,1450.0,600.0,350.0,759.2857142857142,873.5714285714287
2005-05-11,634.8493150684933,1450.0,600.0,350.0,767.1428571428571,874.2857142857142
2005-05-12,635.7945205479452,1450.0,600.0,350.0,775.0,875.0
2005-05-13,636.7397260273972,1450.0,600.0,350.0,730.0,855.0
2005-05-14,637.6849315068494,1450.0,600.0,350.0,775.0,850.0
2005-05-15,638.6301369863013,1450.0,600.0,350.0,770.0,835.0
2005-05-16,639.5753424657535,1450.0,600.0,350.0,765.0,820.0
2005-05-17,640.5205479452055,1450.0,600.0,350.0,760.0,805.0
2005-05-18,641.4657534246576,1450.0,600.0,350.0,780.0,890.0
2005-05-19,642.4109589041096,1450.0,600.0,350.0,725.0,925.0
2005-05-20,643.3561643835618,1450.0,600.0,350.0,775.0,875.0
2005-05-21,644.3013698630137,1450.0,600.0,350.0,780.0,850.0
2005-05-22,645.2465753424657,1450.0,600.0,350.0,771.6666666666665,851.6666666666665
2005-05-23,646.1917808219179,1450.0,600.0,350.0,763.3333333333335,853.3333333333335
2005-05-24,647.1369863013698,1450.0,600.0,350.0,755.0,855.0
2005-05-25,648.0821917808219,1450.0,600.0,350.0,740.0,850.0
2005-05-26,649.0273972602739,1450.0,600.0,350.0,775.0,960.0
2005-05-27,649.9726027397261,1450.0,600.0,350.0,780.0,890.0
2005-05-28,650.9178082191781,1450.0,600.0,350.0,725.0,875.0
2005-05-29,651.8630136986302,1450.0,600.0,350.0,741.6666666666665,863.3333333333335
2005-05-30,652.8082191780821,1450.0,600.0,350.0,758.3333333333335,851.6666666666665
2005-05-31,653.7534246575343,1450.0,600.0,350.0,775.0,840.0
2005-06-01,654.6986301369863,1450.0,600.0,350.0,800.0,935.0
2005-06-02,655.6438356164382,1450.0,600.0,350.0,785.0,935.0
2005-06-03,656.5890410958904,1450.0,600.0,350.0,785.0,825.0
2005-06-04,657.5342465753424,1450.0,600.0,350.0,750.0,915.0
2005-06-05,658.4794520547945,1450.0,600.0,350.0,751.6666666666665,893.3333333333335
2005-06-06,659.4246575342465,1450.0,600.0,350.0,753.3333333333335,871.6666666666665
