date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other
2005-01-01,7.9,8.45,2.0,8.25
2005-01-02,7.9,8.45,2.0,8.25
2005-01-03,7.9,8.45,2.0,8.25
2005-01-04,7.9,8.45,2.0,8.25
2005-01-05,7.9,8.15,2.0,8.25
2005-01-06,7.9,8.45,2.0,8.25
2005-01-07,7.8,8.5,2.0,8.25
2005-01-08,7.7,8.4,2.0,8.25
2005-01-09,7.69,8.28,2.0,8.25
2005-01-10,7.68,8.16,2.0,8.25
2005-01-11,7.67,8.04,1.75,8.25
2005-01-12,7.66,7.92,1.75,8.61
2005-01-13,7.65,7.8,2.0,8.61
2005-01-14,7.758333333333334,7.95,1.9375,8.65
2005-01-15,7.866666666666666,8.1,1.875,8.615
2005-01-16,7.975,8.25,1.8125,8.58
2005-01-17,8.083333333333334,8.4,1.75,8.545
2005-01-18,8.191666666666666,8.55,1.7,8.51
2005-01-19,8.3,8.7,1.75,8.5
2005-01-20,8.25,8.5,1.55,8.25
2005-01-21,8.18,8.55,1.57,8.38125
2005-01-22,8.11,8.6,1.59,8.5125
2005-01-23,8.04,8.65,1.61,8.64375
2005-01-24,7.97,8.7,1.63,8.775
2005-01-25,7.9,8.75,1.65,8.90625
2005-01-26,7.9833333333333325,8.683333333333334,1.67,9.0375
2005-01-27,8.066666666666666,8.616666666666667,1.69,9.16875
2005-01-28,8.15,8.55,1.71,9.3
2005-01-29,7.9,8.45,1.73,8.25
2005-01-30,7.966666666666666,8.55,1.75,8.4125
2005-01-31,8.033333333333333,8.65,1.8333333333333333,8.575
2005-02-01,8.1,8.75,1.9166666666666663,8.7375
2005-02-02,7.9,8.3,2.0,8.9
2005-02-03,8.2,8.65,1.75,8.5
2005-02-04,7.4,8.5,1.75,8.583333333333334
2005-02-05,8.0,8.65,1.75,8.666666666666666
2005-02-06,8.0,8.716666666666667,1.75,8.75
2005-02-07,8.0,8.783333333333333,1.75,8.833333333333334
2005-02-08,8.0,8.85,1.75,8.916666666666666
2005-02-09,7.9,8.25,1.8,9.0
2005-02-10,8.0,8.45,1.85,9.083333333333334
2005-02-11,8.25,7.6,1.9,9.166666666666666
2005-02-12,8.25,8.85,1.95,9.25
2005-02-13,8.083333333333334,8.7,2.0,8.9
2005-02-14,7.916666666666666,8.55,2.25,8.55
2005-02-15,7.75,8.4,2.0,8.2
2005-02-16,7.3,8.3,1.75,8.61
2005-02-17,7.35,8.316666666666666,1.75,8.61
2005-02-18,7.4,8.333333333333334,1.8125,8.25
2005-02-19,7.45,8.35,1.875,8.2375
2005-02-20,7.4,8.0375,1.9375,8.225
2005-02-21,7.35,7.725,2.0,8.2125
2005-02-22,7.3,7.4125,1.75,8.2
2005-02-23,7.25,7.1,2.0,8.15
2005-02-24,7.25,8.1,1.75,8.15
2005-02-25,7.4,7.65,1.7916666666666663,8.38
2005-02-26,7.3,6.9,1.8333333333333333,8.2
2005-02-27,7.2666666666666675,7.15,1.875,8.225
2005-02-28,7.2333333333333325,7.4,1.9166666666666663,8.25
2005-03-01,7.2,7.65,1.9583333333333333,8.275
2005-03-02,7.0,7.7,2.0,8.3
2005-03-03,6.95,8.15,2.0,8.11
2005-03-04,6.942857142857143,8.02142857142857,1.9642857142857144,8.15
2005-03-05,6.935714285714287,7.892857142857142,1.9285714285714288,8.3
2005-03-06,6.928571428571429,7.764285714285713,1.8928571428571428,8.31
2005-03-07,6.921428571428571,7.635714285714285,1.8571428571428568,8.32
2005-03-08,6.914285714285715,7.507142857142856,1.8214285714285716,8.33
2005-03-09,6.9071428571428575,7.378571428571429,1.7857142857142856,8.34
2005-03-10,6.9,7.25,1.75,8.35
2005-03-11,7.25,7.7,1.75,8.36
2005-03-12,7.175,7.85,1.75,8.21
2005-03-13,7.1,8.0,1.75,8.156666666666666
2005-03-14,7.025,8.15,1.75,8.103333333333332
2005-03-15,6.95,8.3,1.75,8.05
2005-03-16,7.0,7.6,1.75,8.05
2005-03-17,7.75,8.65,1.875,8.133333333333333
2005-03-18,6.9,8.05,2.0,8.216666666666667
2005-03-19,7.0,7.8,2.125,8.3
2005-03-20,7.2,7.966666666666666,2.25,8.15
2005-03-21,7.4,8.133333333333333,2.375,8.0
2005-03-22,7.6,8.3,2.5,7.85
2005-03-23,7.590909090909091,8.286363636363637,2.5,8.12
2005-03-24,7.581818181818181,8.272727272727273,1.75,7.9
2005-03-25,7.572727272727272,8.259090909090908,1.8125,7.55
2005-03-26,7.5636363636363635,8.245454545454544,1.875,7.575
2005-03-27,7.554545454545455,8.23181818181818,1.9375,7.6
2005-03-28,7.545454545454545,8.218181818181819,2.0,7.625
2005-03-29,7.536363636363636,8.204545454545455,1.9166666666666663,7.65
2005-03-30,7.527272727272727,8.190909090909091,1.8333333333333333,7.758571428571429
2005-03-31,7.518181818181818,8.177272727272728,1.75,7.867142857142856
2005-04-01,7.509090909090909,8.163636363636364,1.8333333333333333,7.975714285714287
2005-04-02,7.5,8.15,1.9166666666666663,8.084285714285715
2005-04-03,7.566666666666666,8.5,2.0,8.192857142857143
2005-04-04,7.633333333333334,8.85,2.0,8.301428571428572
2005-04-05,7.7,9.2,2.0,8.41
2005-04-06,7.6,8.75,2.0,8.381428571428572
2005-04-07,7.6,8.666666666666666,2.0,8.352857142857143
2005-04-08,7.6,8.583333333333334,2.0,8.324285714285715
