date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other
2005-01-01,7.9,8.45,4.0,8.25,3.6
2005-01-02,7.9,8.45,4.0,8.25,3.6
2005-01-03,7.9,8.45,4.0,8.25,3.6
2005-01-04,7.9,8.45,4.0,8.25,3.6
2005-01-05,7.9,8.15,4.0,8.25,3.6
2005-01-06,7.9,8.45,4.0,8.25,3.6
2005-01-07,7.8,8.5,4.0,8.25,3.6
2005-01-08,7.7,8.4,4.0,8.25,3.6
2005-01-09,7.69,8.28,4.0,8.25,3.6
2005-01-10,7.68,8.16,4.0,8.25,3.6
2005-01-11,7.67,8.04,4.0,8.25,3.6
2005-01-12,7.66,7.92,4.0,8.61,3.6
2005-01-13,7.65,7.8,4.0,8.61,3.6
2005-01-14,7.758333333333334,7.95,4.0,8.65,3.6
2005-01-15,7.866666666666666,8.1,4.0,8.615,3.6
2005-01-16,7.975,8.25,4.0,8.58,3.6
2005-01-17,8.083333333333334,8.4,4.0,8.545,3.6
2005-01-18,8.191666666666666,8.55,4.0,8.51,3.6
2005-01-19,8.3,8.7,4.0,8.5,3.6
2005-01-20,8.25,8.5,4.0,8.25,3.6
2005-01-21,8.18,8.55,4.0,8.38125,3.6
2005-01-22,8.11,8.6,4.0,8.5125,3.6
2005-01-23,8.04,8.65,4.0,8.64375,3.6
2005-01-24,7.97,8.7,4.0,8.775,3.6
2005-01-25,7.9,8.75,4.0,8.90625,3.6
2005-01-26,7.9833333333333325,8.683333333333334,4.0,9.0375,3.6
2005-01-27,8.066666666666666,8.616666666666667,4.0,9.16875,3.6
2005-01-28,8.15,8.55,4.0,9.3,3.6
2005-01-29,7.9,8.45,4.0,8.25,3.6
2005-01-30,7.966666666666666,8.55,4.0,8.4125,3.6
2005-01-31,8.033333333333333,8.65,4.0,8.575,3.6
2005-02-01,8.1,8.75,4.0,8.7375,3.6
2005-02-02,7.9,8.3,4.0,8.9,3.6
2005-02-03,8.2,8.65,4.0,8.5,3.6
2005-02-04,7.4,8.5,4.0,8.583333333333334,3.6
2005-02-05,8.0,8.65,4.0,8.666666666666666,3.6
2005-02-06,8.0,8.716666666666667,4.0,8.75,3.6
2005-02-07,8.0,8.783333333333333,4.0,8.833333333333334,3.6
2005-02-08,8.0,8.85,4.0,8.916666666666666,3.6
2005-02-09,7.9,8.25,4.0,9.0,3.6
2005-02-10,8.0,8.45,4.0,9.083333333333334,3.6
2005-02-11,8.25,7.6,4.0,9.166666666666666,3.6
2005-02-12,8.25,8.85,4.0,9.25,3.6
2005-02-13,8.083333333333334,8.7,4.0,8.9,3.6
2005-02-14,7.916666666666666,8.55,4.0,8.55,3.6
2005-02-15,7.75,8.4,4.0,8.2,3.6
2005-02-16,7.3,8.3,4.0,8.61,3.6
2005-02-17,7.35,8.316666666666666,4.0,8.61,3.6
2005-02-18,7.4,8.333333333333334,4.0,8.25,3.6
2005-02-19,7.45,8.35,4.0,8.2375,3.6
2005-02-20,7.4,8.0375,4.0,8.225,3.6
2005-02-21,7.35,7.725,4.0,8.2125,3.6
2005-02-22,7.3,7.4125,4.0,8.2,3.6
2005-02-23,7.25,7.1,4.0,8.15,3.6
2005-02-24,7.25,8.1,4.0,8.15,3.6
2005-02-25,7.4,7.65,4.0,8.38,3.6
2005-02-26,7.3,6.9,4.0,8.2,3.6
2005-02-27,7.2666666666666675,7.15,4.0,8.225,3.6
2005-02-28,7.2333333333333325,7.4,4.0,8.25,3.6
2005-03-01,7.2,7.65,4.0,8.275,3.6
2005-03-02,7.0,7.7,4.0,8.3,3.6
2005-03-03,6.95,8.15,4.0,8.11,3.6
2005-03-04,6.942857142857143,8.02142857142857,4.0,8.15,3.6
2005-03-05,6.935714285714287,7.892857142857142,4.0,8.3,3.6
2005-03-06,6.928571428571429,7.764285714285713,4.0,8.31,3.6
2005-03-07,6.921428571428571,7.635714285714285,4.0,8.32,3.6
2005-03-08,6.914285714285715,7.507142857142856,4.0,8.33,3.6
2005-03-09,6.9071428571428575,7.378571428571429,4.0,8.34,3.6
2005-03-10,6.9,7.25,4.0,8.35,3.6
2005-03-11,7.25,7.7,4.0,8.36,3.6
2005-03-12,7.175,7.85,4.0,8.21,3.6
2005-03-13,7.1,8.0,4.0,8.156666666666666,3.6
2005-03-14,7.025,8.15,4.0,8.103333333333332,3.6
2005-03-15,6.95,8.3,4.0,8.05,3.6
2005-03-16,7.0,7.6,4.0,8.05,3.6
2005-03-17,7.75,8.65,4.0,8.133333333333333,3.6
2005-03-18,6.9,8.05,4.0,8.216666666666667,3.6
2005-03-19,7.0,7.8,4.0,8.3,3.6
2005-03-20,7.2,7.966666666666666,4.0,8.15,3.6
2005-03-21,7.4,8.133333333333333,4.0,8.0,3.6
2005-03-22,7.6,8.3,4.0,7.85,3.6
2005-03-23,7.590909090909091,8.286363636363637,4.0,8.12,3.6
2005-03-24,7.581818181818181,8.272727272727273,4.0,7.9,3.6
2005-03-25,7.572727272727272,8.259090909090908,4.0,7.55,3.6
2005-03-26,7.5636363636363635,8.245454545454544,4.0,7.575,3.6
2005-03-27,7.554545454545455,8.23181818181818,4.0,7.6,3.6
2005-03-28,7.545454545454545,8.218181818181819,4.0,7.625,3.6
2005-03-29,7.536363636363636,8.204545454545455,4.0,7.65,3.6
2005-03-30,7.527272727272727,8.190909090909091,4.0,7.758571428571429,3.6
2005-03-31,7.518181818181818,8.177272727272728,4.0,7.867142857142856,3.6
2005-04-01,7.509090909090909,8.163636363636364,4.0,7.975714285714287,3.6
2005-04-02,7.5,8.15,4.0,8.084285714285715,3.6
2005-04-03,7.566666666666666,8.5,4.0,8.192857142857143,3.6
2005-04-04,7.633333333333334,8.85,4.0,8.301428571428572,3.6
2005-04-05,7.7,9.2,4.0,8.41,3.6
2005-04-06,7.6,8.75,4.0,8.381428571428572,3.6
2005-04-07,7.6,8.666666666666666,4.0,8.352857142857143,3.6
2005-04-08,7.6,8.583333333333334,4.0,8.324285714285715,3.6
2005-04-09,7.6,8.5,4.0,8.295714285714286,3.6
2005-04-10,7.583333333333334,8.566666666666666,4.0,8.267142857142856,3.6
2005-04-11,7.566666666666666,8.633333333333333,4.0,8.23857142857143,3.6
2005-04-12,7.55,8.7,4.0,8.21,3.6
2005-04-13,7.4,8.75,3.5,7.85,3.6
2005-04-14,8.0,8.75,3.5,7.908333333333334,3.6
2005-04-15,7.6,8.95,3.5,7.966666666666666,3.6
2005-04-16,7.6,8.7,3.5,8.025,3.6
2005-04-17,7.7,8.7125,3.5,8.083333333333334,3.6
2005-04-18,7.8,8.725,3.5,8.141666666666666,3.6
2005-04-19,7.9,8.7375,3.5,8.2,3.6
2005-04-20,8.0,8.75,3.5,7.85,3.6
2005-04-21,7.75,8.75,3.5,8.3,3.6
2005-04-22,7.74,8.76,3.5,8.27,3.6
2005-04-23,7.73,8.77,3.5,8.24,3.6
2005-04-24,7.72,8.78,3.5,8.21,3.6
2005-04-25,7.71,8.79,3.5,8.18,3.6
2005-04-26,7.7,8.8,3.5,8.15,3.6
2005-04-27,7.8,9.5,3.5,8.22,3.6
2005-04-28,7.75,9.0,3.5,8.15,3.6
2005-04-29,7.55,8.95,3.5,8.18,3.6
2005-04-30,7.5375,8.9625,3.5,8.21,3.6
2005-05-01,7.525,8.975,3.5,8.24,3.6
2005-05-02,7.5125,8.9875,3.5,8.27,3.6
2005-05-03,7.5,9.0,3.5,8.3,3.6
2005-05-04,7.75,8.75,3.5,8.1,3.6
2005-05-05,7.2,8.7,3.5,8.3,3.6
2005-05-06,7.278571428571428,8.707142857142857,3.5,7.85,3.6
2005-05-07,7.357142857142858,8.714285714285715,3.5,7.85,3.6
2005-05-08,7.435714285714287,8.721428571428572,3.5,7.803333333333334,3.6
2005-05-09,7.514285714285713,8.72857142857143,3.5,7.756666666666666,3.6
2005-05-10,7.5928571428571425,8.735714285714286,3.5,7.71,3.6
2005-05-11,7.671428571428571,8.742857142857144,3.5,7.75,3.6
2005-05-12,7.75,8.75,3.5,7.75,3.6
2005-05-13,7.3,8.55,2.75,8.05,3.6
2005-05-14,7.75,8.5,2.8125,7.81,3.6
2005-05-15,7.7,8.35,2.875,7.91,3.6
2005-05-16,7.65,8.2,2.9375,8.01,3.6
2005-05-17,7.6,8.05,3.0,8.11,3.6
2005-05-18,7.8,8.9,3.0625,8.2,3.6
2005-05-19,7.25,9.25,3.125,8.214285714285715,3.6
2005-05-20,7.75,8.75,3.1875,8.22857142857143,3.6
2005-05-21,7.8,8.5,3.25,8.242857142857144,3.6
2005-05-22,7.716666666666666,8.516666666666666,3.25,8.257142857142856,3.6
2005-05-23,7.633333333333334,8.533333333333333,3.25,8.27142857142857,3.6
2005-05-24,7.55,8.55,3.25,8.285714285714285,3.6
2005-05-25,7.4,8.5,2.8,8.3,3.6
2005-05-26,7.75,9.6,3.0,8.11,3.6
2005-05-27,7.8,8.9,3.25,8.3,3.6
2005-05-28,7.25,8.75,2.75,8.11,3.75
2005-05-29,7.416666666666666,8.633333333333333,2.833333333333333,8.123333333333333,3.766666666666667
2005-05-30,7.583333333333334,8.516666666666666,2.916666666666667,8.136666666666667,3.783333333333333
2005-05-31,7.75,8.4,3.0,8.15,3.8
2005-06-01,8.0,9.35,2.9714285714285715,8.35,3.871428571428572
2005-06-02,7.85,9.35,2.9428571428571426,8.25,3.942857142857143
2005-06-03,7.85,8.25,2.9142857142857146,8.262,4.014285714285714
2005-06-04,7.5,9.15,2.8857142857142857,8.274,4.085714285714285
2005-06-05,7.5166666666666675,8.933333333333334,2.8571428571428568,8.286,4.1571428571428575
2005-06-06,7.533333333333334,8.716666666666667,2.8285714285714283,8.298,4.228571428571429
2005-06-07,7.55,8.5,2.8,8.31,4.3
2005-06-08,7.6,8.5,2.75,7.65,5.0
2005-06-09,7.65,8.15,2.75,7.75,4.0
2005-06-10,7.75,8.35,2.8,8.32,4.0
2005-06-11,7.5,8.2,2.75,8.25,4.5
2005-06-12,7.466666666666666,8.183333333333334,2.833333333333333,8.283333333333333,4.583333333333333
2005-06-13,7.433333333333334,8.166666666666666,2.916666666666667,8.316666666666666,4.666666666666667
2005-06-14,7.4,8.15,3.0,8.35,4.75
2005-06-15,7.9,7.8,3.0,8.25,4.5
2005-06-16,8.05,7.7,3.0,8.36,4.533333333333333
2005-06-17,7.7,8.3,3.0,8.3,4.566666666666666
2005-06-18,7.75,8.35,3.0,8.21,4.6
2005-06-19,7.8,8.4,3.0,8.243333333333334,4.633333333333333
2005-06-20,7.85,8.45,3.0,8.276666666666666,4.666666666666667
2005-06-21,7.9,8.5,3.0,8.31,4.7
2005-06-22,7.7,8.2,3.0,8.32,4.733333333333333
2005-06-23,7.75,8.45,3.0,8.35,4.766666666666667
2005-06-24,8.15,8.25,3.0,8.36,4.8
2005-06-25,7.85,9.1,3.0,8.26,4.6
2005-06-26,7.7333333333333325,8.6,3.0,8.21,4.4
2005-06-27,7.616666666666666,8.1,3.0,8.16,4.2
2005-06-28,7.5,7.6,3.0,8.11,4.0
2005-06-29,7.53125,7.65625,3.5,8.21,4.5
2005-06-30,7.5625,7.7125,3.5,8.27,4.5
2005-07-01,7.59375,7.76875,3.515625,8.15,4.5625
2005-07-02,7.625,7.825,3.53125,8.26,4.625
2005-07-03,7.65625,7.88125,3.546875,8.306666666666667,4.6875
2005-07-04,7.6875,7.9375,3.5625,8.353333333333332,4.75
2005-07-05,7.71875,7.99375,3.578125,8.4,4.8125
2005-07-06,7.75,8.05,3.59375,8.21,4.875
2005-07-07,7.85,8.3,3.609375,8.12,4.9375
2005-07-08,7.85,8.42,3.625,8.3,5.0
2005-07-09,7.85,8.54,3.640625,8.45,5.0625
2005-07-10,7.85,8.66,3.65625,8.4,5.125
2005-07-11,7.85,8.78,3.671875,8.35,5.1875
2005-07-12,7.85,8.9,3.6875,8.3,5.25
2005-07-13,7.8,8.05,3.703125,8.3,5.3125
2005-07-14,7.75,8.9,3.71875,8.3,5.375
2005-07-15,7.8,9.25,3.734375,8.3,5.4375
2005-07-16,7.9,7.7,3.75,8.0,5.5
2005-07-17,7.95,7.666666666666666,3.75,8.0625,5.5
2005-07-18,8.0,7.633333333333334,3.75,8.125,5.5
2005-07-19,8.05,7.6,3.75,8.1875,5.5
2005-07-20,8.1,7.8,3.75,8.25,5.5
2005-07-21,8.1,8.0,3.75,8.4,5.541666666666666
2005-07-22,8.1,8.2,3.75,8.36,5.583333333333334
2005-07-23,8.1,8.4,3.75,8.35,5.625
2005-07-24,7.966666666666666,8.6,3.75,8.383333333333333,5.666666666666666
2005-07-25,7.833333333333334,8.8,3.75,8.416666666666666,5.708333333333334
2005-07-26,7.7,9.0,3.75,8.45,5.75
2005-07-27,8.1,8.935714285714285,3.75,8.35,5.8
2005-07-28,8.05,8.871428571428572,3.75,8.35,5.75
2005-07-29,7.75,8.807142857142857,3.75,8.25,5.8
2005-07-30,7.4,8.742857142857144,3.75,8.258461538461539,5.0
2005-07-31,7.5166666666666675,8.678571428571429,3.75,8.266923076923078,4.875
2005-08-01,7.633333333333334,8.614285714285714,3.75,8.275384615384615,4.75
2005-08-02,7.75,8.55,3.75,8.283846153846152,4.625
2005-08-03,8.0,8.95,3.75,8.292307692307693,4.5
2005-08-04,7.65,7.75,3.8,8.30076923076923,4.5
2005-08-05,8.05,7.5,3.8,8.30923076923077,4.7
2005-08-06,8.25,7.6,3.8,8.317692307692306,4.9
2005-08-07,7.9833333333333325,7.7,3.8,8.326153846153849,5.1
2005-08-08,7.716666666666666,7.8,3.8,8.334615384615384,5.3
2005-08-09,7.45,7.9,3.8,8.343076923076923,5.5
2005-08-10,7.9,8.6,3.75,8.351538461538462,5.75
2005-08-11,7.65,7.85,3.75,8.36,5.0
2005-08-12,7.75,7.95,3.8,8.36,5.5
2005-08-13,7.75,8.6,3.8,8.5,5.0
2005-08-14,7.8125,8.575,3.79,8.464,5.0
2005-08-15,7.875,8.55,3.78,8.427999999999999,5.0
2005-08-16,7.9375,8.525,3.77,8.392000000000001,5.0
2005-08-17,8.0,8.5,3.76,8.356,5.0
2005-08-18,7.85,7.95,3.75,8.32,4.5
2005-08-19,7.86,8.07,3.75,8.336,4.5
2005-08-20,7.87,8.19,3.8,8.352,4.5
2005-08-21,7.88,8.31,3.7,8.368,5.0
2005-08-22,7.89,8.43,3.6,8.384,5.5
2005-08-23,7.9,8.55,3.5,8.4,6.0
2005-08-24,7.65,8.8,3.5,8.28,6.5
2005-08-25,7.642857142857142,8.721428571428572,6.5,8.25,7.0
2005-08-26,7.635714285714285,8.642857142857144,7.0,8.2,6.5
2005-08-27,7.628571428571429,8.564285714285715,7.0,8.35,6.5
2005-08-28,7.621428571428571,8.485714285714286,7.0,8.25,6.333333333333334
2005-08-29,7.614285714285715,8.407142857142857,7.0,8.15,6.166666666666666
2005-08-30,7.607142857142858,8.32857142857143,7.0,8.05,6.0
2005-08-31,7.6,8.25,7.0,8.33,6.0
2005-09-01,7.65,7.95,6.928571428571429,8.25,5.833333333333334
2005-09-02,7.95,8.9,6.857142857142858,8.5,5.666666666666666
2005-09-03,7.3,8.9,6.7857142857142865,8.464285714285715,5.5
2005-09-04,7.416666666666666,8.9,6.7142857142857135,8.428571428571429,5.333333333333334
2005-09-05,7.533333333333334,8.9,6.642857142857142,8.392857142857144,5.166666666666666
2005-09-06,7.65,8.9,6.571428571428571,8.357142857142856,5.0
2005-09-07,7.5,8.1,6.5,8.321428571428571,5.0
2005-09-08,7.6,8.085714285714285,7.0,8.285714285714285,5.0
2005-09-09,7.7,8.071428571428571,7.5,8.25,5.0
