date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other,Banana_Other
2005-01-01,7.9,8.45,4.3,8.25,3.88,10.4
2005-01-02,7.9,8.45,4.3,8.25,3.88,10.4
2005-01-03,7.9,8.45,4.3,8.25,3.88,10.4
2005-01-04,7.9,8.45,4.3,8.25,3.88,10.4
2005-01-05,7.9,8.15,4.3,8.25,3.88,10.4
2005-01-06,7.9,8.45,4.3,8.25,3.88,10.4
2005-01-07,7.8,8.5,4.3,8.25,3.88,10.4
2005-01-08,7.7,8.4,4.3,8.25,3.88,10.4
2005-01-09,7.69,8.28,4.3,8.25,3.88,10.4
2005-01-10,7.68,8.16,4.3,8.25,3.88,10.4
2005-01-11,7.67,8.04,4.3,8.25,3.88,10.4
2005-01-12,7.66,7.92,4.3,8.61,3.88,10.4
2005-01-13,7.65,7.8,4.3,8.61,3.88,10.4
2005-01-14,7.758333333333334,7.95,4.3,8.65,3.88,10.4
2005-01-15,7.866666666666666,8.1,4.3,8.615,3.88,10.4
2005-01-16,7.975,8.25,4.3,8.58,3.88,10.4
2005-01-17,8.083333333333334,8.4,4.3,8.545,3.88,10.4
2005-01-18,8.191666666666666,8.55,4.3,8.51,3.88,10.4
2005-01-19,8.3,8.7,4.3,8.5,3.88,10.4
2005-01-20,8.25,8.5,4.3,8.25,3.88,10.4
2005-01-21,8.18,8.55,4.3,8.38125,3.88,10.4
2005-01-22,8.11,8.6,4.3,8.5125,3.88,10.4
2005-01-23,8.04,8.65,4.3,8.64375,3.88,10.4
2005-01-24,7.97,8.7,4.3,8.775,3.88,10.4
2005-01-25,7.9,8.75,4.3,8.90625,3.88,10.4
2005-01-26,7.9833333333333325,8.683333333333334,4.3,9.0375,3.88,10.4
2005-01-27,8.066666666666666,8.616666666666667,4.3,9.16875,3.88,10.4
2005-01-28,8.15,8.55,4.3,9.3,3.88,10.4
2005-01-29,7.9,8.45,4.292857142857144,8.25,3.88,10.383035714285713
2005-01-30,7.966666666666666,8.55,4.285714285714286,8.4125,3.88,10.366071428571429
2005-01-31,8.033333333333333,8.65,4.2785714285714285,8.575,3.88,10.349107142857145
2005-02-01,8.1,8.75,4.271428571428571,8.7375,3.88,10.332142857142856
2005-02-02,7.9,8.3,4.264285714285714,8.9,3.88,10.315178571428572
2005-02-03,8.2,8.65,4.257142857142857,8.5,3.88,10.298214285714286
2005-02-04,7.4,8.5,4.25,8.583333333333334,3.88,10.28125
2005-02-05,8.0,8.65,4.242857142857143,8.666666666666666,3.88,10.264285714285714
2005-02-06,8.0,8.716666666666667,4.235714285714286,8.75,3.88,10.247321428571428
2005-02-07,8.0,8.783333333333333,4.228571428571429,8.833333333333334,3.88,10.230357142857144
2005-02-08,8.0,8.85,4.221428571428572,8.916666666666666,3.88,10.213392857142855
2005-02-09,7.9,8.25,4.214285714285714,9.0,3.88,10.196428571428571
2005-02-10,8.0,8.45,4.207142857142856,9.083333333333334,3.88,10.179464285714284
2005-02-11,8.25,7.6,4.2,9.166666666666666,3.88,10.1625
2005-02-12,8.25,8.85,4.192857142857143,9.25,3.88,10.145535714285714
2005-02-13,8.083333333333334,8.7,4.185714285714286,8.9,3.88,10.128571428571428
2005-02-14,7.916666666666666,8.55,4.178571428571428,8.55,3.88,10.111607142857146
2005-02-15,7.75,8.4,4.171428571428572,8.2,3.88,10.094642857142855
2005-02-16,7.3,8.3,4.164285714285715,8.61,3.88,10.07767857142857
2005-02-17,7.35,8.316666666666666,4.1571428571428575,8.61,3.88,10.060714285714283
2005-02-18,7.4,8.333333333333334,4.15,8.25,3.88,10.04375
2005-02-19,7.45,8.35,4.142857142857142,8.2375,3.88,10.026785714285717
2005-02-20,7.4,8.0375,4.135714285714285,8.225,3.88,10.00982142857143
2005-02-21,7.35,7.725,4.128571428571428,8.2125,3.88,9.992857142857146
2005-02-22,7.3,7.4125,4.121428571428572,8.2,3.88,9.975892857142854
2005-02-23,7.25,7.1,4.114285714285715,8.15,3.88,9.95892857142857
2005-02-24,7.25,8.1,4.107142857142858,8.15,3.88,9.941964285714283
2005-02-25,7.4,7.65,4.1,8.38,3.88,9.925
2005-02-26,7.3,6.9,4.092857142857143,8.2,3.88,9.908035714285717
2005-02-27,7.2666666666666675,7.15,4.085714285714285,8.225,3.88,9.89107142857143
2005-02-28,7.2333333333333325,7.4,4.078571428571428,8.25,3.88,9.874107142857145
2005-03-01,7.2,7.65,4.071428571428572,8.275,3.88,9.857142857142854
2005-03-02,7.0,7.7,4.064285714285714,8.3,3.88,9.840178571428572
2005-03-03,6.95,8.15,4.057142857142857,8.11,3.88,9.823214285714286
2005-03-04,6.942857142857143,8.02142857142857,4.05,8.15,3.88,9.80625
2005-03-05,6.935714285714287,7.892857142857142,4.042857142857144,8.3,3.88,9.789285714285716
2005-03-06,6.928571428571429,7.764285714285713,4.035714285714286,8.31,3.88,9.772321428571429
2005-03-07,6.921428571428571,7.635714285714285,4.0285714285714285,8.32,3.88,9.755357142857145
2005-03-08,6.914285714285715,7.507142857142856,4.021428571428571,8.33,3.88,9.738392857142856
2005-03-09,6.9071428571428575,7.378571428571429,4.014285714285714,8.34,3.88,9.721428571428572
2005-03-10,6.9,7.25,4.007142857142857,8.35,3.88,9.704464285714286
2005-03-11,7.25,7.7,4.0,8.36,3.88,9.6875
2005-03-12,7.175,7.85,3.9928571428571433,8.21,3.88,9.670535714285714
2005-03-13,7.1,8.0,3.9857142857142858,8.156666666666666,3.88,9.653571428571428
2005-03-14,7.025,8.15,3.978571428571428,8.103333333333332,3.88,9.636607142857144
2005-03-15,6.95,8.3,3.9714285714285715,8.05,3.88,9.619642857142855
2005-03-16,7.0,7.6,3.9642857142857135,8.05,3.88,9.602678571428571
2005-03-17,7.75,8.65,3.957142857142857,8.133333333333333,3.88,9.585714285714284
2005-03-18,6.9,8.05,3.95,8.216666666666667,3.88,9.56875
2005-03-19,7.0,7.8,3.942857142857143,8.3,3.88,9.551785714285714
2005-03-20,7.2,7.966666666666666,3.9357142857142855,8.15,3.88,9.534821428571428
2005-03-21,7.4,8.133333333333333,3.928571428571429,8.0,3.88,9.517857142857146
2005-03-22,7.6,8.3,3.9214285714285713,7.85,3.88,9.500892857142857
2005-03-23,7.590909090909091,8.286363636363637,3.9142857142857146,8.12,3.88,9.48392857142857
2005-03-24,7.581818181818181,8.272727272727273,3.9071428571428566,7.9,3.88,9.466964285714283
2005-03-25,7.572727272727272,8.259090909090908,3.9,7.55,3.88,9.45
2005-03-26,7.5636363636363635,8.245454545454544,3.8928571428571432,7.575,3.88,9.433035714285717
2005-03-27,7.554545454545455,8.23181818181818,3.8857142857142857,7.6,3.88,9.41607142857143
2005-03-28,7.545454545454545,8.218181818181819,3.878571428571428,7.625,3.88,9.399107142857146
2005-03-29,7.536363636363636,8.204545454545455,3.8714285714285714,7.65,3.88,9.382142857142858
2005-03-30,7.527272727272727,8.190909090909091,3.8642857142857134,7.758571428571429,3.88,9.36517857142857
2005-03-31,7.518181818181818,8.177272727272728,3.8571428571428568,7.867142857142856,3.88,9.348214285714283
2005-04-01,7.509090909090909,8.163636363636364,3.85,7.975714285714287,3.88,9.33125
2005-04-02,7.5,8.15,3.8428571428571434,8.084285714285715,3.88,9.314285714285717
2005-04-03,7.566666666666666,8.5,3.835714285714285,8.192857142857143,3.88,9.29732142857143
2005-04-04,7.633333333333334,8.85,3.828571428571428,8.301428571428572,3.88,9.280357142857145
2005-04-05,7.7,9.2,3.821428571428571,8.41,3.88,9.263392857142858
2005-04-06,7.6,8.75,3.8142857142857145,8.381428571428572,3.88,9.246428571428572
2005-04-07,7.6,8.666666666666666,3.8071428571428574,8.352857142857143,3.88,9.229464285714286
2005-04-08,7.6,8.583333333333334,3.8,8.324285714285715,3.88,9.2125
2005-04-09,7.6,8.5,3.792857142857143,8.295714285714286,3.88,9.195535714285716
2005-04-10,7.583333333333334,8.566666666666666,3.7857142857142856,8.267142857142856,3.88,9.178571428571429
2005-04-11,7.566666666666666,8.633333333333333,3.778571428571429,8.23857142857143,3.88,9.161607142857145
2005-04-12,7.55,8.7,3.7714285714285714,8.21,3.88,9.144642857142856
2005-04-13,7.4,8.75,3.764285714285714,7.85,3.88,9.127678571428572
2005-04-14,8.0,8.75,3.7571428571428567,7.908333333333334,3.88,9.110714285714286
2005-04-15,7.6,8.95,3.75,7.966666666666666,3.88,9.09375
2005-04-16,7.6,8.7,3.7428571428571433,8.025,3.88,9.076785714285714
2005-04-17,7.7,8.7125,3.7357142857142858,8.083333333333334,3.88,9.059821428571428
2005-04-18,7.8,8.725,3.728571428571428,8.141666666666666,3.88,9.042857142857144
2005-04-19,7.9,8.7375,3.7214285714285715,8.2,3.88,9.025892857142855
2005-04-20,8.0,8.75,3.7142857142857135,7.85,3.88,9.008928571428571
2005-04-21,7.75,8.75,3.707142857142857,8.3,3.88,8.991964285714285
2005-04-22,7.74,8.76,3.7,8.27,3.88,8.975
2005-04-23,7.73,8.77,3.692857142857143,8.24,3.88,8.958035714285714
2005-04-24,7.72,8.78,3.6857142857142855,8.21,3.88,8.941071428571428
2005-04-25,7.71,8.79,3.678571428571429,8.18,3.88,8.924107142857142
2005-04-26,7.7,8.8,3.6714285714285713,8.15,3.88,8.907142857142857
2005-04-27,7.8,9.5,3.6642857142857146,8.22,3.88,8.89017857142857
2005-04-28,7.75,9.0,3.6571428571428566,8.15,3.88,8.873214285714285
2005-04-29,7.55,8.95,3.65,8.18,3.88,8.85625
2005-04-30,7.5375,8.9625,3.6428571428571432,8.21,3.88,8.839285714285715
2005-05-01,7.525,8.975,3.6357142857142857,8.24,3.88,8.82232142857143
2005-05-02,7.5125,8.9875,3.6285714285714286,8.27,3.88,8.805357142857142
2005-05-03,7.5,9.0,3.6214285714285714,8.3,3.88,8.788392857142858
2005-05-04,7.75,8.75,3.6142857142857134,8.1,3.88,8.77142857142857
2005-05-05,7.2,8.7,3.6071428571428568,8.3,3.88,8.754464285714285
2005-05-06,7.278571428571428,8.707142857142857,3.6,7.85,3.88,8.7375
2005-05-07,7.357142857142858,8.714285714285715,3.5928571428571434,7.85,3.88,8.720535714285715
2005-05-08,7.435714285714287,8.721428571428572,3.5857142857142854,7.803333333333334,3.88,8.70357142857143
2005-05-09,7.514285714285713,8.72857142857143,3.5785714285714287,7.756666666666666,3.88,8.686607142857143
2005-05-10,7.5928571428571425,8.735714285714286,3.571428571428571,7.71,3.88,8.669642857142858
2005-05-11,7.671428571428571,8.742857142857144,3.5642857142857145,7.75,3.88,8.652678571428572
2005-05-12,7.75,8.75,3.5571428571428574,7.75,3.88,8.635714285714286
2005-05-13,7.3,8.55,3.55,8.05,3.88,8.61875
2005-05-14,7.75,8.5,3.5428571428571427,7.81,3.88,8.601785714285715
2005-05-15,7.7,8.35,3.5357142857142856,7.91,3.88,8.584821428571429
2005-05-16,7.65,8.2,3.5285714285714285,8.01,3.88,8.567857142857143
2005-05-17,7.6,8.05,3.5214285714285714,8.11,3.88,8.550892857142857
2005-05-18,7.8,8.9,3.5142857142857142,8.2,3.88,8.533928571428572
2005-05-19,7.25,9.25,3.5071428571428567,8.214285714285715,3.88,8.516964285714286
2005-05-20,7.75,8.75,3.5,8.22857142857143,3.88,8.5
2005-05-21,7.8,8.5,3.5380000000000003,8.242857142857144,3.88,8.9
2005-05-22,7.716666666666666,8.516666666666666,3.576,8.257142857142856,3.88,9.3
2005-05-23,7.633333333333334,8.533333333333333,3.614,8.27142857142857,3.88,9.7
2005-05-24,7.55,8.55,3.652,8.285714285714285,3.88,10.1
2005-05-25,7.4,8.5,3.69,8.3,3.88,10.5
2005-05-26,7.75,9.6,3.5,8.11,3.88,8.53
2005-05-27,7.8,8.9,3.56,8.3,3.889230769230769,8.1
2005-05-28,7.25,8.75,3.44,8.11,3.898461538461538,8.075
2005-05-29,7.416666666666666,8.633333333333333,3.32,8.123333333333333,3.907692307692308,8.05
2005-05-30,7.583333333333334,8.516666666666666,3.2,8.136666666666667,3.9169230769230765,8.025
2005-05-31,7.75,8.4,3.08,8.15,3.9261538461538463,8.0
2005-06-01,8.0,9.35,3.2,8.35,3.9353846153846153,10.87
2005-06-02,7.85,9.35,3.5,8.25,3.9446153846153846,12.2
2005-06-03,7.85,8.25,3.67,8.262,3.9538461538461536,13.15
2005-06-04,7.5,9.15,3.6275,8.274,3.9630769230769234,12.025
2005-06-05,7.5166666666666675,8.933333333333334,3.585,8.286,3.972307692307692,10.9
2005-06-06,7.533333333333334,8.716666666666667,3.5425,8.298,3.981538461538461,9.775
2005-06-07,7.55,8.5,3.5,8.31,3.9907692307692315,8.65
2005-06-08,7.6,8.5,3.28,7.65,4.0,8.2
2005-06-09,7.65,8.15,3.2,7.75,4.001538461538462,8.5
2005-06-10,7.75,8.35,3.26,8.32,4.003076923076923,8.686
2005-06-11,7.5,8.2,3.32,8.25,4.004615384615383,8.872
2005-06-12,7.466666666666666,8.183333333333334,3.38,8.283333333333333,4.006153846153846,9.058
2005-06-13,7.433333333333334,8.166666666666666,3.44,8.316666666666666,4.007692307692308,9.244
2005-06-14,7.4,8.15,3.5,8.35,4.0092307692307685,9.43
2005-06-15,7.9,7.8,3.5,8.25,4.010769230769231,9.59
2005-06-16,8.05,7.7,3.516666666666667,8.36,4.012307692307692,9.15
2005-06-17,7.7,8.3,3.533333333333333,8.3,4.013846153846154,8.71
2005-06-18,7.75,8.35,3.55,8.21,4.015384615384615,8.27
2005-06-19,7.8,8.4,3.566666666666667,8.243333333333334,4.016923076923076,7.83
2005-06-20,7.85,8.45,3.583333333333333,8.276666666666666,4.018461538461539,7.39
2005-06-21,7.9,8.5,3.6,8.31,4.02,6.95
2005-06-22,7.7,8.2,3.75,8.32,3.58,8.75
2005-06-23,7.75,8.45,3.75,8.35,3.612307692307693,6.5
2005-06-24,8.15,8.25,3.62,8.36,3.644615384615384,8.0
2005-06-25,7.85,9.1,3.64,8.26,3.6769230769230767,8.17
2005-06-26,7.7333333333333325,8.6,3.66,8.21,3.7092307692307687,8.34
2005-06-27,7.616666666666666,8.1,3.68,8.16,3.7415384615384615,8.51
2005-06-28,7.5,7.6,3.7,8.11,3.7738461538461534,8.68
2005-06-29,7.53125,7.65625,3.72,8.21,3.806153846153846,8.85
2005-06-30,7.5625,7.7125,3.5,8.27,3.8384615384615386,8.74
2005-07-01,7.59375,7.76875,3.65,8.15,3.8707692307692314,8.5
2005-07-02,7.625,7.825,3.635,8.26,3.9030769230769233,8.655
2005-07-03,7.65625,7.88125,3.62,8.306666666666667,3.9353846153846153,8.81
2005-07-04,7.6875,7.9375,3.605,8.353333333333332,3.967692307692308,8.965
2005-07-05,7.71875,7.99375,3.59,8.4,4.0,9.12
2005-07-06,7.75,8.05,4.13,8.21,4.0,10.0
2005-07-07,7.85,8.3,4.0,8.12,4.2,11.3
2005-07-08,7.85,8.42,4.085714285714285,8.3,4.187142857142857,11.259420289855072
2005-07-09,7.85,8.54,4.171428571428572,8.45,4.174285714285714,11.218840579710145
