date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Potato_Chandermukhi,Banana_Other,Onion_Other,Wheat_Other,Banana_Khandesh,Potato_Potato,Rice_Dappa
2005-01-01,680.0,1450.0,600.0,388.0,790.0,845.0,150.0,1040.0,430.0,825.0,720.0,625.0,1300.0
2005-01-02,680.0,1450.0,600.0,388.0,790.0,845.0,150.0,1040.0,430.0,825.0,720.0,625.0,1300.0
2005-01-03,680.0,1450.0,600.0,388.0,790.0,845.0,150.0,1040.0,430.0,825.0,720.0,625.0,1300.0
2005-01-04,680.0,1450.0,600.0,388.0,790.0,845.0,150.0,1040.0,430.0,825.0,720.0,625.0,1300.0
2005-01-05,680.0,1450.0,600.0,388.0,790.0,815.0,158.33333333333334,1040.0,430.0,825.0,720.0,625.0,1266.6666666666667
2005-01-06,680.0,1450.0,600.0,388.0,790.0,845.0,166.66666666666666,1040.0,430.0,825.0,720.0,625.0,1233.3333333333333
2005-01-07,680.0,1450.0,600.0,388.0,780.0,850.0,175.0,1040.0,430.0,825.0,720.0,625.0,1200.0
2005-01-08,680.0,1450.0,600.0,388.0,770.0,840.0,175.0,1040.0,430.0,825.0,720.0,625.0,1162.5
2005-01-09,680.0,1450.0,600.0,388.0,769.0,828.0,175.0,1040.0,430.0,825.0,720.0,625.0,1125.0
2005-01-10,680.0,1450.0,600.0,388.0,768.0,816.0,175.0,1040.0,430.0,825.0,720.0,625.0,1087.5
2005-01-11,680.0,1450.0,600.0,388.0,767.0,804.0,175.0,1040.0,430.0,825.0,720.0,625.0,1050.0
2005-01-12,705.0,1450.0,600.0,388.0,766.0,792.0,150.0,1040.0,430.0,861.0,720.0,625.0,1050.0
2005-01-13,693.5,1450.0,600.0,388.0,765.0,780.0,175.0,1040.0,430.0,861.0,720.0,625.0,1050.0
2005-01-14,682.0,1450.0,600.0,388.0,775.8333333333335,795.0,175.0,1040.0,430.0,865.0,720.0,625.0,1060.0
2005-01-15,670.5,1450.0,600.0,388.0,786.6666666666665,810.0,175.0,1040.0,430.0,861.5,720.0,625.0,1070.0
2005-01-16,659.0,1450.0,600.0,388.0,797.5,825.0,175.0,1040.0,430.0,858.0,720.0,625.0,1080.0
2005-01-17,647.5,1450.0,600.0,388.0,808.3333333333335,840.0,175.0,1040.0,430.0,854.5,720.0,625.0,1090.0
2005-01-18,636.0,1450.0,600.0,388.0,819.1666666666665,855.0,175.0,1040.0,430.0,851.0,720.0,625.0,1100.0
2005-01-19,649.4285714285714,1450.0,600.0,388.0,830.0,870.0,200.0,1040.0,430.0,850.0,720.0,625.0,1250.0
2005-01-20,662.8571428571429,1450.0,600.0,388.0,825.0,850.0,200.0,1040.0,430.0,825.0,720.0,625.0,1250.0
2005-01-21,676.2857142857142,1450.0,600.0,388.0,818.0,855.0,200.0,1040.0,430.0,838.125,720.0,625.0,1240.0
2005-01-22,689.7142857142858,1450.0,600.0,388.0,811.0,860.0,200.0,1040.0,430.0,851.25,720.0,625.0,1230.0
2005-01-23,703.1428571428571,1450.0,600.0,388.0,804.0,865.0,200.0,1040.0,430.0,864.375,720.0,625.0,1220.0
2005-01-24,716.5714285714287,1450.0,600.0,388.0,797.0,870.0,200.0,1040.0,430.0,877.5,720.0,625.0,1210.0
2005-01-25,730.0,1450.0,600.0,388.0,790.0,875.0,200.0,1040.0,430.0,890.625,720.0,625.0,1200.0
2005-01-26,742.0,1450.0,600.0,388.0,798.3333333333335,868.3333333333335,200.0,1040.0,430.0,903.75,720.0,625.0,1216.6666666666667
2005-01-27,754.0,1450.0,600.0,388.0,806.6666666666665,861.6666666666665,200.0,1040.0,430.0,916.875,720.0,625.0,1233.3333333333333
2005-01-28,766.0,1450.0,600.0,388.0,815.0,855.0,200.0,1040.0,430.0,930.0,720.0,625.0,1250.0
2005-01-29,778.0,1450.0,600.0,388.0,790.0,845.0,225.0,1038.3035714285713,429.28571428571433,825.0,720.0,625.0,1250.0
2005-01-30,783.6666666666665,1450.0,600.0,388.0,796.6666666666665,855.0,216.66666666666663,1036.607142857143,428.57142857142856,841.25,720.0,625.0,1266.6666666666667
2005-01-31,789.3333333333335,1450.0,600.0,388.0,803.3333333333335,865.0,208.33333333333331,1034.9107142857142,427.8571428571428,857.5,720.0,625.0,1283.3333333333333
2005-02-01,795.0,1450.0,600.0,388.0,810.0,875.0,200.0,1033.2142857142858,427.1428571428572,873.75,720.0,625.0,1300.0
2005-02-02,560.0,1450.0,600.0,388.0,790.0,830.0,200.0,1031.517857142857,426.4285714285714,890.0,720.0,625.0,1100.0
2005-02-03,819.0,1450.0,600.0,388.0,820.0,865.0,225.0,1029.8214285714287,425.71428571428567,850.0,720.0,625.0,1600.0
