date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Potato_Chandermukhi,Banana_Other,Onion_Other,Wheat_Other,Banana_Khandesh,Potato_Potato,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Banana_Banana - Ripe,Onion_Red,Rice_Coarse,Wheat_Dara
2005-01-01,680.0,1450.0,600.0,500.0,790.0,845.0,150.0,1040.0,750.0,740.0,720.0,625.0,1300.0,160.0,2045.0,1000.0,345.0,915.0,680.0
2005-01-02,680.0,1450.0,600.0,500.0,790.0,845.0,150.0,1040.0,750.0,740.0,720.0,625.0,1300.0,160.0,2045.0,1000.0,345.0,915.0,680.0
2005-01-03,680.0,1450.0,600.0,500.0,790.0,845.0,150.0,1040.0,750.0,740.0,720.0,625.0,1300.0,160.0,2045.0,1000.0,345.0,915.0,680.0
2005-01-04,680.0,1450.0,600.0,500.0,790.0,845.0,150.0,1040.0,750.0,740.0,720.0,625.0,1300.0,160.0,2045.0,1000.0,345.0,915.0,680.0
2005-01-05,680.0,1450.0,600.0,500.0,790.0,815.0,158.33333333333334,1040.0,750.0,743.3333333333335,720.0,625.0,1266.6666666666667,166.66666666666666,2050.0,1000.0,350.0,913.3333333333335,685.0
2005-01-06,680.0,1450.0,600.0,500.0,790.0,845.0,166.66666666666666,1040.0,750.0,746.6666666666665,720.0,625.0,1233.3333333333333,173.33333333333337,2055.0,1000.0,355.0,911.6666666666665,690.0
2005-01-07,680.0,1450.0,600.0,500.0,780.0,850.0,175.0,1040.0,750.0,750.0,720.0,625.0,1200.0,180.0,2060.0,1000.0,360.0,910.0,695.0
2005-01-08,680.0,1450.0,600.0,500.0,770.0,840.0,175.0,1040.0,750.0,750.0,720.0,625.0,1162.5,190.0,2060.0,1000.0,365.0,910.0,695.0
2005-01-09,680.0,1450.0,600.0,500.0,769.0,828.0,175.0,1040.0,750.0,750.0,720.0,625.0,1125.0,200.0,2056.6666666666665,1000.0,368.33333333333326,908.3333333333335,695.0
2005-01-10,680.0,1450.0,600.0,500.0,768.0,816.0,175.0,1040.0,750.0,750.0,720.0,625.0,1087.5,210.0,2053.333333333333,1000.0,371.66666666666674,906.6666666666665,695.0
2005-01-11,680.0,1450.0,600.0,500.0,767.0,804.0,175.0,1040.0,750.0,750.0,720.0,625.0,1050.0,220.0,2050.0,1000.0,375.0,905.0,695.0
2005-01-12,705.0,1450.0,600.0,500.0,766.0,792.0,150.0,1040.0,750.0,750.0,720.0,625.0,1050.0,220.0,2040.0,1000.0,375.0,900.0,695.0
2005-01-13,693.5,1450.0,600.0,500.0,765.0,780.0,175.0,1040.0,750.0,750.0,720.0,625.0,1050.0,220.0,2050.0,1000.0,370.0,910.0,700.0
2005-01-14,682.0,1450.0,600.0,500.0,775.8333333333335,795.0,175.0,1040.0,750.0,750.0,720.0,625.0,1060.0,220.0,2050.0,1000.0,365.0,910.0,690.0
2005-01-15,670.5,1450.0,600.0,500.0,786.6666666666665,810.0,175.0,1040.0,750.0,750.0,720.0,625.0,1070.0,215.0,2060.0,1000.0,360.0,900.0,705.0
2005-01-16,659.0,1450.0,600.0,500.0,797.5,825.0,175.0,1040.0,750.0,750.0,720.0,625.0,1080.0,210.0,2106.6666666666665,1000.0,356.66666666666674,905.0,701.6666666666665
2005-01-17,647.5,1450.0,600.0,500.0,808.3333333333335,840.0,175.0,1040.0,750.0,750.0,720.0,625.0,1090.0,205.0,2153.333333333333,1000.0,353.33333333333326,910.0,698.3333333333335
2005-01-18,636.0,1450.0,600.0,500.0,819.1666666666665,855.0,175.0,1040.0,750.0,750.0,720.0,625.0,1100.0,200.0,2200.0,1000.0,350.0,915.0,695.0
2005-01-19,649.4285714285714,1450.0,600.0,500.0,830.0,870.0,200.0,1040.0,750.0,750.0,720.0,625.0,1250.0,200.0,2180.0,1000.0,340.0,910.0,690.0
2005-01-20,662.8571428571429,1450.0,600.0,500.0,825.0,850.0,200.0,1040.0,750.0,750.0,720.0,625.0,1250.0,200.0,2250.0,1000.0,345.0,910.0,700.0
2005-01-21,676.2857142857142,1450.0,600.0,500.0,818.0,855.0,200.0,1040.0,750.0,752.0,720.0,625.0,1240.0,194.0,2275.0,1000.0,330.0,915.0,705.0
2005-01-22,689.7142857142858,1450.0,600.0,500.0,811.0,860.0,200.0,1040.0,750.0,754.0,720.0,625.0,1230.0,188.0,2280.0,1000.0,335.0,910.0,700.0
2005-01-23,703.1428571428571,1450.0,600.0,500.0,804.0,865.0,200.0,1040.0,750.0,756.0,720.0,625.0,1220.0,182.0,2306.6666666666665,1000.0,335.0,910.0,705.0
2005-01-24,716.5714285714287,1450.0,600.0,500.0,797.0,870.0,200.0,1040.0,750.0,758.0,720.0,625.0,1210.0,176.0,2333.333333333333,1000.0,335.0,910.0,710.0
2005-01-25,730.0,1450.0,600.0,500.0,790.0,875.0,200.0,1040.0,750.0,760.0,720.0,625.0,1200.0,170.0,2360.0,1000.0,335.0,910.0,715.0
2005-01-26,742.0,1450.0,600.0,500.0,798.3333333333335,868.3333333333335,200.0,1040.0,750.0,760.0,720.0,625.0,1216.6666666666667,170.0,2382.5,1000.0,338.75,911.25,713.75
2005-01-27,754.0,1450.0,600.0,500.0,806.6666666666665,861.6666666666665,200.0,1040.0,750.0,760.0,720.0,625.0,1233.3333333333333,170.0,2405.0,1000.0,342.5,912.5,712.5
