date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other,Banana_Other,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Onion_Red,Rice_Coarse,Banana_Medium,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Other
2005-01-01,7.9,8.45,22.0,7.52,45.0,6.5,13.0,1.6,20.45,3.45,9.15,4.75,13.5,24.0,4.5,11.0
2005-01-02,7.9,8.45,22.0,7.52,45.0,6.5,13.0,1.6,20.45,3.45,9.15,4.75,13.5,24.0,4.5,11.0
2005-01-03,7.9,8.45,22.0,7.52,45.0,6.5,13.0,1.6,20.45,3.45,9.15,4.75,13.5,24.0,4.5,11.0
2005-01-04,7.9,8.45,22.0,7.52,45.0,6.5,13.0,1.6,20.45,3.45,9.15,4.75,13.5,24.0,4.5,11.0
2005-01-05,7.9,8.15,22.0,7.4,45.0,6.333333333333334,12.666666666666668,1.6666666666666663,20.5,3.5,9.133333333333333,5.25,13.5,24.0,5.0,11.0
2005-01-06,7.9,8.45,22.0,7.42,45.0,6.166666666666666,12.333333333333332,1.7333333333333334,20.55,3.55,9.116666666666667,4.7,13.5,24.0,5.0,11.0
2005-01-07,7.8,8.5,22.0,7.5,45.0,6.0,12.0,1.8,20.6,3.6,9.1,4.76,13.5,24.0,5.0,11.0
2005-01-08,7.7,8.4,22.0,7.44,45.0,6.0,11.625,1.9,20.6,3.65,9.1,4.82,13.5,24.25,5.0,11.0
2005-01-09,7.69,8.28,22.0,7.38,45.0,6.0,11.25,2.0,20.566666666666666,3.683333333333333,9.083333333333334,4.88,13.5,24.5,5.0,11.0
2005-01-10,7.68,8.16,22.0,7.32,45.0,6.0,10.875,2.1,20.53333333333333,3.716666666666667,9.066666666666666,4.94,13.5,24.75,5.0,11.0
2005-01-11,7.67,8.04,22.0,7.26,45.0,6.0,10.5,2.2,20.5,3.75,9.05,5.0,13.5,25.0,5.0,11.0
2005-01-12,7.66,7.92,22.0,7.2,45.0,8.0,10.5,2.2,20.4,3.75,9.0,4.75,13.5,24.0,6.0,11.0
2005-01-13,7.65,7.8,22.0,7.6,45.0,8.0,10.5,2.2,20.5,3.7,9.1,4.8,13.5,26.0,6.5,11.0
2005-01-14,7.758333333333334,7.95,22.0,7.56,45.0,8.0,10.6,2.2,20.5,3.65,9.1,4.84,13.5,26.0,6.2,11.0
2005-01-15,7.866666666666666,8.1,22.0,7.52,45.0,8.0,10.7,2.15,20.6,3.6,9.0,4.88,13.5,26.0,5.9,11.0
2005-01-16,7.975,8.25,22.0,7.48,45.0,8.0,10.8,2.1,21.066666666666666,3.566666666666667,9.05,4.92,13.5,26.0,5.6,11.0
2005-01-17,8.083333333333334,8.4,22.0,7.44,45.0,8.0,10.9,2.05,21.53333333333333,3.533333333333333,9.1,4.96,13.5,26.0,5.3,11.0
2005-01-18,8.191666666666666,8.55,22.0,7.4,45.0,8.0,11.0,2.0,22.0,3.5,9.15,5.0,13.5,26.0,5.0,11.0
2005-01-19,8.3,8.7,22.0,7.4,45.0,8.0,12.5,2.0,21.8,3.4,9.1,5.0,13.5,27.0,5.5,11.0
2005-01-20,8.25,8.5,22.0,7.38,45.0,8.0,12.5,2.0,22.5,3.45,9.1,5.25,13.5,25.0,5.5,11.0
2005-01-21,8.18,8.55,22.0,7.416,45.0,7.9375,12.4,1.94,22.75,3.3,9.15,5.2,13.5,25.4,5.4,11.0
2005-01-22,8.11,8.6,22.0,7.452000000000001,45.0,7.875,12.3,1.88,22.8,3.35,9.1,5.15,13.5,25.8,5.3,11.0
2005-01-23,8.04,8.65,22.0,7.487999999999999,45.0,7.8125,12.2,1.82,23.066666666666666,3.35,9.1,5.1,13.5,26.2,5.2,11.0
2005-01-24,7.97,8.7,22.0,7.524,45.0,7.75,12.1,1.76,23.333333333333336,3.35,9.1,5.05,13.5,26.6,5.1,11.0
2005-01-25,7.9,8.75,22.0,7.56,45.0,7.6875,12.0,1.7,23.6,3.35,9.1,5.0,13.5,27.0,5.0,11.0
