date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Potato_Chandermukhi,Banana_Other,Onion_Other,Wheat_Other,Banana_Khandesh,Potato_Potato,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Banana_Banana - Ripe,Onion_Red,Rice_Coarse,Wheat_Dara,Apple_Other,Rice_Other,Banana_Medium,Potato_Desi,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Ratnachudi 718 5-749,Wheat_147 Average
2005-01-01,680.0,1340.0,450.0,230.0,775.0,845.0,150.0,430.0,450.0,705.0,720.0,625.0,1300.0,360.0,2045.0,1000.0,345.0,915.0,680.0,2250.0,1120.0,475.0,480.0,1350.0,2400.0,450.0,1200.0,800.0
2005-01-02,680.0,1340.0,450.0,230.0,775.0,845.0,150.0,430.0,450.0,705.0,720.0,625.0,1300.0,360.0,2045.0,1000.0,345.0,915.0,680.0,2250.0,1120.0,475.0,480.0,1350.0,2400.0,450.0,1200.0,800.0
2005-01-03,680.0,1340.0,450.0,235.0,775.0,845.0,150.0,430.0,450.0,725.0,720.0,625.0,1300.0,360.0,2045.0,1000.0,345.0,915.0,680.0,2250.0,1120.0,475.0,480.0,1350.0,2400.0,450.0,1200.0,800.0
2005-01-04,680.0,1340.0,450.0,235.0,775.0,845.0,150.0,430.0,450.0,720.0,720.0,625.0,1300.0,360.0,2045.0,1000.0,345.0,915.0,680.0,2250.0,1120.0,475.0,480.0,1350.0,2400.0,450.0,1200.0,800.0
2005-01-05,680.0,1340.0,450.0,235.0,790.0,815.0,158.33333333333334,430.0,450.0,720.0,720.0,625.0,1266.6666666666667,360.0,2050.0,1000.0,350.0,913.3333333333335,685.0,2250.0,1120.0,525.0,480.0,1350.0,2400.0,500.0,1200.0,800.0
2005-01-06,680.0,1340.0,450.0,235.0,780.0,845.0,166.66666666666666,430.0,450.0,720.0,720.0,625.0,1233.3333333333333,360.0,2055.0,1000.0,355.0,911.6666666666665,690.0,2250.0,1120.0,470.0,480.0,1350.0,2400.0,500.0,1200.0,800.0
2005-01-07,680.0,1340.0,450.0,250.0,780.0,850.0,175.0,430.0,500.0,720.0,720.0,625.0,1200.0,360.0,2060.0,1000.0,360.0,910.0,695.0,2250.0,1120.0,476.0,480.0,1350.0,2400.0,500.0,1200.0,800.0
2005-01-08,680.0,1340.0,450.0,265.0,787.5,840.0,175.0,430.0,500.0,720.0,720.0,625.0,1162.5,360.0,2060.0,1000.0,365.0,910.0,695.0,2250.0,1120.0,482.0,480.0,1350.0,2425.0,500.0,1200.0,806.25
2005-01-09,680.0,1325.0,450.0,265.0,795.0,828.0,175.0,431.66666666666674,500.0,720.0,720.0,625.0,1125.0,360.0,2056.6666666666665,1000.0,368.33333333333326,908.3333333333335,695.0,2250.0,1120.0,488.0,480.0,1350.0,2450.0,500.0,1200.0,812.5
2005-01-10,680.0,1340.0,450.0,265.0,802.5,816.0,175.0,433.33333333333326,525.0,720.0,720.0,625.0,1087.5,360.0,2053.333333333333,1000.0,371.66666666666674,906.6666666666665,695.0,2250.0,1120.0,494.0,480.0,1350.0,2475.0,500.0,1200.0,818.75
2005-01-11,680.0,1340.0,450.0,260.0,810.0,804.0,175.0,435.0,525.0,720.0,720.0,625.0,1050.0,360.0,2050.0,1000.0,375.0,905.0,695.0,2250.0,1120.0,500.0,480.0,1350.0,2500.0,500.0,1200.0,825.0
2005-01-12,705.0,1340.0,450.0,260.0,800.0,792.0,150.0,435.0,520.0,715.0,720.0,625.0,1050.0,360.0,2040.0,1000.0,375.0,900.0,695.0,2250.0,1120.0,475.0,480.0,1350.0,2400.0,600.0,1200.0,810.0
2005-01-13,693.5,1340.0,450.0,260.0,800.0,780.0,175.0,440.0,520.0,715.0,720.0,625.0,1050.0,360.0,2050.0,1000.0,370.0,910.0,700.0,2260.0,1120.0,480.0,480.0,1350.0,2600.0,650.0,1200.0,810.0
2005-01-14,682.0,1340.0,450.0,265.0,803.0,795.0,175.0,440.0,525.0,715.0,720.0,625.0,1060.0,360.0,2050.0,1000.0,365.0,910.0,690.0,2260.0,1120.0,484.0,480.0,1350.0,2600.0,620.0,1200.0,810.0
2005-01-15,670.5,1340.0,450.0,265.0,806.0,810.0,175.0,450.0,525.0,715.0,720.0,625.0,1070.0,360.0,2060.0,1000.0,360.0,900.0,705.0,2260.0,1120.0,488.0,480.0,1350.0,2600.0,590.0,1200.0,810.0
2005-01-16,659.0,1340.0,450.0,260.0,809.0,825.0,175.0,450.0,525.0,715.0,720.0,625.0,1080.0,360.0,2106.6666666666665,1000.0,356.66666666666674,905.0,701.6666666666665,2260.0,1120.0,492.0,480.0,1350.0,2600.0,560.0,1200.0,810.0
2005-01-17,647.5,1340.0,450.0,250.0,812.0,840.0,175.0,450.0,525.0,720.0,720.0,625.0,1090.0,360.0,2153.333333333333,1000.0,353.33333333333326,910.0,698.3333333333335,2260.0,1120.0,496.0,480.0,1350.0,2600.0,530.0,1200.0,810.0
2005-01-18,636.0,1340.0,450.0,250.0,815.0,855.0,175.0,450.0,525.0,720.0,720.0,625.0,1100.0,360.0,2200.0,1000.0,350.0,915.0,695.0,2260.0,1120.0,500.0,480.0,1350.0,2600.0,500.0,1200.0,810.0
2005-01-19,649.4285714285714,1340.0,450.0,255.0,820.0,870.0,200.0,450.0,525.0,720.0,720.0,625.0,1250.0,360.0,2180.0,1000.0,340.0,910.0,690.0,2260.0,1120.0,500.0,480.0,1350.0,2700.0,550.0,1200.0,830.0
2005-01-20,662.8571428571429,1340.0,450.0,250.0,820.0,850.0,200.0,450.0,520.0,720.0,720.0,625.0,1250.0,360.0,2250.0,1000.0,345.0,910.0,700.0,2260.0,1120.0,525.0,480.0,1350.0,2500.0,550.0,1200.0,840.0
2005-01-21,676.2857142857142,1340.0,450.0,250.0,820.0,855.0,200.0,460.0,520.0,720.0,720.0,625.0,1240.0,360.0,2275.0,1000.0,330.0,915.0,705.0,2265.0,1120.0,520.0,480.0,1350.0,2540.0,540.0,1200.0,848.0
2005-01-22,689.7142857142858,1340.0,450.0,250.0,820.0,860.0,200.0,460.0,520.0,720.0,720.0,625.0,1230.0,360.0,2280.0,1000.0,335.0,910.0,700.0,2265.0,1120.0,515.0,480.0,1350.0,2580.0,530.0,1200.0,856.0
2005-01-23,703.1428571428571,1340.0,450.0,250.0,820.0,865.0,200.0,465.0,520.0,720.0,720.0,625.0,1220.0,360.0,2306.6666666666665,1000.0,335.0,910.0,705.0,2265.0,1120.0,510.0,480.0,1350.0,2620.0,520.0,1200.0,864.0
2005-01-24,716.5714285714287,1340.0,450.0,245.0,820.0,870.0,200.0,465.0,500.0,720.0,720.0,625.0,1210.0,360.0,2333.333333333333,1000.0,335.0,910.0,710.0,2266.0,1120.0,505.0,480.0,1350.0,2660.0,510.0,1200.0,872.0
2005-01-25,730.0,1340.0,450.0,243.75,820.0,875.0,200.0,465.0,497.5,721.0,720.0,625.0,1200.0,360.0,2360.0,1000.0,335.0,910.0,715.0,2267.0,1120.0,500.0,480.0,1350.0,2700.0,500.0,1200.0,880.0
2005-01-26,742.0,1340.0,450.0,242.5,818.3333333333335,868.3333333333335,200.0,465.0,495.0,722.0,720.0,625.0,1216.6666666666667,360.0,2382.5,1000.0,338.75,911.25,713.75,2268.0,1120.0,492.8571428571428,480.0,1342.857142857143,2733.333333333333,533.3333333333334,1200.0,863.3333333333335
2005-01-27,754.0,1340.0,450.0,241.25,816.6666666666665,861.6666666666665,200.0,465.0,492.5,723.0,720.0,625.0,1233.3333333333333,360.0,2405.0,1000.0,342.5,912.5,712.5,2269.0,1120.0,485.71428571428567,480.0,1335.7142857142858,2766.666666666666,566.6666666666666,1200.0,846.6666666666665
2005-01-28,766.0,1340.0,450.0,240.0,815.0,855.0,200.0,465.0,490.0,724.0,720.0,625.0,1250.0,360.0,2427.5,1000.0,346.25,913.75,711.25,2270.0,1120.0,478.57142857142856,480.0,1328.5714285714287,2800.0,600.0,1200.0,830.0
2005-01-29,778.0,1340.0,450.0,240.0,820.0,845.0,225.0,465.0,480.0,725.0,720.0,625.0,1250.0,360.0,2450.0,1000.0,350.0,915.0,710.0,2270.0,1120.0,471.4285714285714,480.0,1321.4285714285713,2800.0,550.0,1200.0,830.0
2005-01-30,783.6666666666665,1340.0,450.0,240.0,813.3333333333335,855.0,216.66666666666663,465.0,480.0,720.0,720.0,625.0,1266.6666666666667,360.0,2451.6666666666665,1000.0,353.33333333333326,915.0,711.6666666666665,2300.0,1120.0,464.28571428571433,480.0,1314.2857142857142,2833.333333333333,533.3333333333334,1200.0,830.0
2005-01-31,789.3333333333335,1340.0,450.0,240.0,806.6666666666665,865.0,208.33333333333331,465.0,480.0,725.0,720.0,625.0,1283.3333333333333,360.0,2453.333333333333,1000.0,356.66666666666674,915.0,713.3333333333335,2300.0,1120.0,457.1428571428571,480.0,1307.142857142857,2866.666666666666,516.6666666666666,1200.0,830.0
2005-02-01,795.0,1340.0,450.0,240.0,800.0,875.0,200.0,465.0,480.0,725.0,720.0,625.0,1300.0,360.0,2455.0,1000.0,360.0,915.0,715.0,2300.0,1120.0,450.0,480.0,1300.0,2900.0,500.0,1200.0,830.0
2005-02-02,560.0,1340.0,450.0,240.0,810.0,830.0,200.0,465.0,460.0,725.0,720.0,625.0,1100.0,360.0,2456.6666666666665,1000.0,355.0,915.0,716.6666666666665,2300.0,1120.0,475.0,480.0,1300.0,2700.0,550.0,1200.0,835.0
2005-02-03,819.0,1340.0,450.0,240.0,807.0,865.0,225.0,465.0,460.0,723.3333333333335,720.0,625.0,1600.0,360.0,2458.333333333333,1000.0,345.0,915.0,718.3333333333335,2300.0,1120.0,475.0,480.0,1300.0,2700.0,550.0,1200.0,815.0
2005-02-04,814.9166666666665,1340.0,450.0,235.0,810.0,850.0,225.0,465.0,450.0,721.6666666666665,720.0,625.0,1150.0,360.0,2460.0,1000.0,350.0,915.0,720.0,2300.0,1120.0,465.0,480.0,1300.0,2800.0,600.0,1200.0,820.0
2005-02-05,810.8333333333335,1340.0,450.0,230.0,810.0,865.0,200.0,467.0,450.0,720.0,720.0,625.0,1150.0,360.0,2980.0,1000.0,375.0,950.0,718.0,2300.0,1120.0,455.0,480.0,1300.0,2800.0,550.0,1200.0,820.0
2005-02-06,806.75,1340.0,450.0,230.0,798.3333333333335,871.6666666666665,200.0,469.0,451.25,720.0,720.0,625.0,1150.0,360.0,2873.0,1000.0,369.0,943.0,718.4,2300.0,1120.0,445.0,480.0,1300.0,2805.0,533.3333333333334,1200.0,805.0
2005-02-07,802.6666666666665,1340.0,450.0,230.0,786.6666666666665,878.3333333333335,200.0,471.0,452.5,720.0,720.0,625.0,1150.0,360.0,2766.0,1000.0,363.0,936.0,718.8,2300.0,1120.0,435.0,480.0,1300.0,2810.0,516.6666666666666,1200.0,790.0
2005-02-08,798.5833333333335,1340.0,450.0,230.0,775.0,885.0,200.0,473.0,453.75,720.0,720.0,625.0,1150.0,360.0,2659.0,1000.0,357.0,929.0,719.2,2300.0,1120.0,425.0,480.0,1300.0,2815.0,500.0,1200.0,775.0
2005-02-09,794.5,1340.0,450.0,230.0,787.0,825.0,200.0,475.0,455.0,720.0,720.0,625.0,1150.0,360.0,2552.0,1000.0,351.0,922.0,719.6,2300.0,1130.0,450.0,480.0,1300.0,2820.0,550.0,1200.0,790.0
2005-02-10,790.4166666666665,1340.0,450.0,230.0,785.0,845.0,200.0,475.0,455.0,721.6666666666665,720.0,625.0,1150.0,360.0,2445.0,1000.0,345.0,915.0,720.0,2325.0,1130.0,475.0,480.0,1300.0,2825.0,550.0,1200.0,790.0
2005-02-11,786.3333333333335,1340.0,450.0,230.0,770.0,760.0,200.0,475.0,455.0,723.3333333333335,720.0,625.0,1150.0,360.0,2450.0,1000.0,350.0,925.0,722.0,2330.0,1130.0,460.0,480.0,1300.0,2830.0,550.0,1200.0,780.0
2005-02-12,782.25,1340.0,450.0,235.0,769.6,885.0,200.0,500.0,455.0,725.0,720.0,625.0,1162.5,360.0,2600.0,1000.0,350.0,930.0,720.0,2330.0,1130.0,445.0,480.0,1300.0,2835.0,562.5,1200.0,778.4
2005-02-13,778.1666666666665,1340.0,450.0,240.0,769.2,870.0,200.0,500.0,455.0,725.0,720.0,625.0,1175.0,360.0,2653.333333333333,1000.0,350.0,926.6666666666665,718.3333333333335,2330.0,1130.0,430.0,480.0,1300.0,2840.0,575.0,1200.0,776.8
2005-02-14,774.0833333333335,1340.0,450.0,240.0,768.8,855.0,200.0,500.0,455.0,725.0,720.0,625.0,1187.5,360.0,2706.6666666666665,1000.0,350.0,923.3333333333335,716.6666666666665,2334.0,1130.0,415.0,480.0,1300.0,2845.0,587.5,1200.0,775.2
2005-02-15,770.0,1340.0,450.0,245.0,768.4,840.0,200.0,500.0,455.0,725.0,720.0,625.0,1200.0,360.0,2760.0,1000.0,350.0,920.0,715.0,2338.0,1130.0,400.0,480.0,1300.0,2850.0,600.0,1200.0,773.6
2005-02-16,765.0,1340.0,450.0,245.0,768.0,830.0,200.0,500.0,455.0,725.0,720.0,625.0,1200.0,360.0,2750.0,1000.0,355.0,935.0,715.0,2342.0,1130.0,450.0,480.0,1300.0,3400.0,550.0,1200.0,772.0
2005-02-17,760.0,1340.0,450.0,245.0,760.0,831.6666666666665,200.0,500.0,450.0,725.0,720.0,625.0,1166.6666666666667,360.0,2740.0,1000.0,360.0,935.0,720.0,2346.0,1120.0,400.0,480.0,1300.0,3400.0,550.0,1200.0,780.0
2005-02-18,755.0,1340.0,450.0,265.0,755.3333333333335,833.3333333333335,200.0,550.0,450.0,725.0,720.0,625.0,1133.3333333333333,360.0,2750.0,1000.0,360.0,940.0,725.0,2350.0,1120.0,408.33333333333326,480.0,1300.0,3400.0,600.0,1200.0,778.3333333333335
2005-02-19,705.0,1340.0,450.0,260.0,750.6666666666665,835.0,200.0,550.0,450.0,725.0,720.0,625.0,1100.0,360.0,2860.0,1000.0,365.0,940.0,725.0,2400.0,1120.0,416.66666666666674,480.0,1300.0,2900.0,500.0,1200.0,776.6666666666665
2005-02-20,708.75,1340.0,450.0,260.0,746.0,803.75,200.0,550.0,450.0,730.0,720.0,625.0,1100.0,360.0,2856.666666666666,1000.0,365.0,941.25,724.25,2400.0,1120.0,425.0,480.0,1300.0,2900.0,533.3333333333334,1200.0,775.0
2005-02-21,712.5,1340.0,450.0,260.0,741.3333333333335,772.5,200.0,550.0,450.0,730.0,720.0,625.0,1100.0,360.0,2853.333333333333,1000.0,365.0,942.5,723.5,2400.0,1120.0,433.33333333333326,480.0,1300.0,2900.0,566.6666666666666,1200.0,773.3333333333335
2005-02-22,716.25,1340.0,450.0,260.0,736.6666666666665,741.25,200.0,600.0,450.0,730.0,720.0,625.0,1100.0,360.0,2850.0,1000.0,365.0,943.75,722.75,2400.0,1120.0,441.66666666666674,480.0,1300.0,2900.0,600.0,1200.0,771.6666666666665
2005-02-23,720.0,1340.0,450.0,260.0,732.0,710.0,225.0,600.0,450.0,730.0,720.0,625.0,1100.0,360.0,2840.0,1000.0,370.0,945.0,722.0,2400.0,1120.0,450.0,480.0,1300.0,2950.0,550.0,1200.0,770.0
2005-02-24,700.0,1340.0,450.0,260.0,725.0,810.0,210.0,600.0,450.0,728.3333333333335,720.0,625.0,1100.0,360.0,2860.0,1000.0,365.0,950.0,725.0,2400.0,1120.0,475.0,480.0,1300.0,2800.0,500.0,1200.0,750.0
