date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other,Banana_Other,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Onion_Red,Rice_Coarse,Banana_Medium,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Other,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Rice_B P T,Apple_Other
2005-01-01,7.75,8.45,4.7,7.75,2.5,4.3,13.0,3.6,20.45,3.45,9.15,4.75,13.5,24.0,4.5,8.8,12.0,8.0,13.4,22.5
2005-01-02,7.75,8.45,4.7,7.75,2.5,4.3,13.0,3.6,20.45,3.45,9.15,4.75,13.5,24.0,4.5,8.8,12.0,8.0,13.4,22.5
2005-01-03,7.75,8.45,4.7,7.75,2.5,4.3,13.0,3.6,20.45,3.45,9.15,4.75,13.5,24.0,4.5,8.8,12.0,8.0,13.4,22.5
2005-01-04,7.75,8.45,4.7,7.75,2.5,4.3,13.0,3.6,20.45,3.45,9.15,4.75,13.5,24.0,4.5,8.8,12.0,8.0,13.4,22.5
2005-01-05,7.9,8.15,4.716666666666667,7.7666666666666675,2.466666666666667,4.3,12.666666666666668,3.6,20.5,3.5,9.133333333333333,5.25,13.5,24.0,5.0,8.816666666666666,12.0,8.0,13.4,22.583333333333336
2005-01-06,7.8,8.45,4.733333333333333,7.783333333333334,2.4333333333333336,4.3,12.333333333333332,3.6,20.55,3.55,9.116666666666667,4.7,13.5,24.0,5.0,8.833333333333334,12.0,8.0,13.4,22.666666666666664
2005-01-07,7.8,8.5,4.75,7.8,2.4,4.3,12.0,3.6,20.6,3.6,9.1,4.76,13.5,24.0,5.0,8.85,12.0,8.0,13.4,22.75
2005-01-08,7.875,8.4,4.75,7.8,2.375,4.3,11.625,3.6,20.6,3.65,9.1,4.82,13.5,24.25,5.0,8.85,12.0,8.0625,13.4,22.75
2005-01-09,7.95,8.28,4.75,7.8,2.35,4.316666666666666,11.25,3.6,20.566666666666666,3.683333333333333,9.083333333333334,4.88,13.5,24.5,5.0,8.85,12.0,8.125,13.25,22.75
2005-01-10,8.025,8.16,4.75,7.8,2.325,4.333333333333333,10.875,3.6,20.53333333333333,3.716666666666667,9.066666666666666,4.94,13.5,24.75,5.0,8.85,12.0,8.1875,13.4,22.75
