date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other,Banana_Other,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Onion_Red,Rice_Coarse,Banana_Medium,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Other,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Rice_B P T,Apple_Other,Potato_Red,Wheat_Dara
2005-01-01,7.75,8.45,4.5,7.75,3.0,4.4,13.0,3.6,20.45,6.5,9.15,4.75,13.5,24.0,4.5,8.8,12.0,8.0,13.4,22.5,2.7,6.85
2005-01-02,7.75,8.45,4.5,7.75,3.0,4.4,13.0,3.6,20.45,6.5,9.15,4.75,13.5,24.0,4.5,8.8,12.0,8.0,13.4,22.5,2.7,6.85
2005-01-03,7.75,8.45,4.5,7.75,3.0,4.4,13.0,3.6,20.45,6.5,9.15,4.75,13.5,24.0,4.5,8.8,12.0,8.0,13.4,22.5,2.7,6.85
2005-01-04,7.75,8.45,4.5,7.75,3.0,4.4,13.0,3.6,20.45,6.5,9.15,4.75,13.5,24.0,4.5,8.8,12.0,8.0,13.4,22.5,2.7,6.85
2005-01-05,7.9,8.15,4.5,7.7666666666666675,3.0,4.4,12.666666666666668,3.6,20.5,6.5,9.133333333333333,5.25,13.5,24.0,5.0,8.816666666666666,12.0,8.0,13.4,22.583333333333336,2.68,6.85
2005-01-06,7.8,8.45,4.5,7.783333333333334,3.0,4.4,12.333333333333332,3.6,20.55,6.55,9.116666666666667,4.7,13.5,24.0,5.0,8.833333333333334,12.0,8.0,13.4,22.666666666666664,2.68,6.85
2005-01-07,7.8,8.5,4.5,7.8,3.0,4.4,12.0,3.6,20.6,6.55,9.1,4.76,13.5,24.0,5.0,8.85,12.0,8.0,13.4,22.75,2.68,6.85
2005-01-08,7.875,8.4,4.5,7.8,3.0,4.4,11.625,3.6,20.6,6.55,9.1,4.82,13.5,24.25,5.0,8.85,12.0,8.0625,13.4,22.75,2.68,6.85
2005-01-09,7.95,8.28,4.5,7.8,3.0,4.4,11.25,3.6,20.566666666666666,6.533333333333334,9.083333333333334,4.88,13.5,24.5,5.0,8.85,12.0,8.125,13.25,22.75,2.67,6.85
2005-01-10,8.025,8.16,4.5,7.8,3.0,4.4,10.875,3.6,20.53333333333333,6.5166666666666675,9.066666666666666,4.94,13.5,24.75,5.0,8.85,12.0,8.1875,13.4,22.75,2.66,6.85
2005-01-11,8.1,8.04,4.5,7.8,3.0,4.4,10.5,3.6,20.5,6.5,9.05,5.0,13.5,25.0,5.0,8.85,12.0,8.25,13.4,22.75,2.65,6.85
2005-01-12,8.0,7.92,4.5,7.8,3.0,4.4,10.5,3.6,20.4,5.5,9.0,4.75,13.5,24.0,6.0,8.85,12.0,8.1,13.4,22.75,2.65,6.85
2005-01-13,8.0,7.8,4.5,7.8,3.0,4.4,10.5,3.6,20.5,5.5,9.1,4.8,13.5,26.0,6.5,8.85,12.0,8.1,13.4,22.75,2.65,6.85
2005-01-14,8.03,7.95,4.5,7.79,3.0,4.4,10.6,3.6,20.5,5.5,9.1,4.84,13.5,26.0,6.2,8.84,12.0,8.1,13.4,22.75,2.65,6.85
2005-01-15,8.06,8.1,4.5,7.78,3.0,4.4,10.7,3.6,20.6,5.58,9.0,4.88,13.5,26.0,5.9,8.83,12.0,8.1,13.4,22.75,2.7,6.85
2005-01-16,8.09,8.25,4.5,7.77,3.0,4.4,10.8,3.6,21.066666666666666,5.52,9.05,4.92,13.5,26.0,5.6,8.82,12.0,8.1,13.4,22.75,2.683333333333333,6.85
2005-01-17,8.12,8.4,4.5,7.76,2.0,5.0,10.9,3.6,21.53333333333333,5.46,9.1,4.96,13.5,26.0,5.3,8.81,12.0,8.1,13.4,22.75,2.666666666666667,6.85
2005-01-18,8.15,8.55,4.0,7.75,2.4,5.0,11.0,3.6,22.0,5.4,9.15,5.0,13.5,26.0,5.0,8.8,12.0,8.1,13.4,22.75,2.65,6.85
2005-01-19,8.2,8.7,3.875,7.75,2.475,5.0625,12.5,3.6,21.8,5.45,9.1,5.0,13.5,27.0,5.5,8.8,12.0,8.3,13.4,22.75,2.65,6.85
2005-01-20,8.2,8.5,3.75,7.75,2.55,5.125,12.5,3.6,22.5,5.45,9.1,5.25,13.5,25.0,5.5,8.8,12.0,8.4,13.4,22.75,2.65,6.85
2005-01-21,8.2,8.55,3.625,7.74,2.625,5.1875,12.4,3.6,22.75,5.466666666666666,9.15,5.2,13.5,25.4,5.4,8.81,12.0,8.48,13.4,22.7,2.666666666666667,6.85
2005-01-22,8.2,8.6,3.5,7.73,2.7,5.25,12.3,3.6,22.8,5.4833333333333325,9.1,5.15,13.5,25.8,5.3,8.82,12.0,8.56,13.4,22.65,2.683333333333333,6.85
2005-01-23,8.2,8.65,3.375,7.72,2.775,5.3125,12.2,3.6,23.066666666666666,5.5,9.1,5.1,13.5,26.2,5.2,8.83,12.0,8.64,13.4,22.6,2.7,6.85
2005-01-24,8.2,8.7,3.25,7.71,2.85,5.375,12.1,3.6,23.333333333333336,5.5,9.1,5.05,13.5,26.6,5.1,8.84,12.0,8.72,13.4,22.55,2.7,6.85
2005-01-25,8.2,8.75,3.125,7.7,2.925,5.4375,12.0,3.6,23.6,5.5,9.1,5.0,13.5,27.0,5.0,8.85,12.0,8.8,13.4,22.5,2.7,6.85
2005-01-26,8.183333333333334,8.683333333333334,3.0,7.716666666666666,3.0,5.5,12.166666666666668,3.6,23.825,5.5,9.1125,4.928571428571427,13.428571428571427,27.333333333333336,5.333333333333334,8.833333333333334,12.0,8.633333333333333,13.4,22.5,2.7,6.85
2005-01-27,8.166666666666666,8.616666666666667,2.8,7.7333333333333325,3.0,4.5,12.333333333333332,3.6,24.05,5.5,9.125,4.8571428571428585,13.357142857142858,27.666666666666664,5.666666666666666,8.816666666666666,12.0,8.466666666666667,13.4,22.5,2.7,6.85
2005-01-28,8.15,8.55,2.916666666666667,7.75,2.966666666666667,4.75,12.5,3.6,24.275,5.5,9.1375,4.785714285714286,13.285714285714285,28.0,6.0,8.8,12.0,8.3,13.4,22.5,2.7,6.85
2005-01-29,8.2,8.45,3.033333333333333,7.75,2.933333333333333,5.0,12.5,3.6,24.5,5.5,9.15,4.714285714285714,13.214285714285715,28.0,5.5,8.8,12.0,8.3,13.4,22.5,2.68,6.85
