date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other,Banana_Other,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Onion_Red,Rice_Coarse,Banana_Medium,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Other,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Rice_B P T,Apple_Other,Potato_Red,Wheat_Dara,Coriander_Other,Rice_Super Fine
2005-01-01,7.75,8.45,4.5,11.98,2.88,2.75,13.0,3.3,20.45,6.5,9.15,4.75,11.25,24.0,4.5,8.8,12.0,8.0,13.4,22.5,3.1,6.85,6.0,17.3
2005-01-02,7.75,8.45,4.5,11.98,2.88,2.75,13.0,3.3,20.45,6.5,9.15,4.75,11.25,24.0,4.5,8.8,12.0,8.0,13.4,22.5,3.1,6.85,6.0,17.3
2005-01-03,7.75,8.45,4.5,11.98,2.88,2.75,13.0,3.3,20.45,6.5,9.15,4.75,11.25,24.0,4.5,8.8,12.0,8.0,13.4,22.5,3.1,6.85,6.0,17.3
2005-01-04,7.75,8.45,4.5,11.98,2.88,2.75,13.0,3.3,20.45,6.5,9.15,4.75,11.25,24.0,4.5,8.8,12.0,8.0,13.4,22.5,3.1,6.85,6.0,17.3
2005-01-05,7.9,8.15,4.5,7.34,2.25,2.75,12.666666666666668,3.3,20.5,6.5,9.133333333333333,5.25,11.333333333333332,24.0,5.0,8.816666666666666,12.0,8.0,13.4,22.583333333333336,3.1,6.85,6.0,17.3
2005-01-06,7.8,8.45,4.5,7.29,1.85,3.0,12.333333333333332,3.2,20.55,6.55,9.116666666666667,4.7,11.416666666666668,24.0,5.0,8.833333333333334,12.0,8.0,13.4,22.666666666666664,3.0,6.85,6.0,17.3
2005-01-07,7.8,8.5,4.5,7.31,1.77,3.0,12.0,3.2,20.6,6.55,9.1,4.76,11.5,24.0,5.0,8.85,12.0,8.0,13.4,22.75,3.0,6.85,6.0,17.3
2005-01-08,7.875,8.4,4.5,7.29962962962963,1.93,3.0,11.625,3.175,20.6,6.55,9.1,4.82,11.5,24.25,5.0,8.85,12.0,8.0625,13.4,22.75,2.975,6.85,6.0,17.275
2005-01-09,7.95,8.28,4.5,7.28925925925926,2.07,3.0,11.25,3.15,20.566666666666666,6.533333333333334,9.083333333333334,4.88,11.5,24.5,5.0,8.85,12.0,8.125,13.25,22.75,2.95,6.85,6.0,17.25
2005-01-10,8.025,8.16,4.5,7.278888888888888,2.21,3.0,10.875,3.125,20.53333333333333,6.5166666666666675,9.066666666666666,4.94,11.5,24.75,5.0,8.85,12.0,8.1875,13.4,22.75,2.925,6.85,6.0,17.225
2005-01-11,8.1,8.04,4.5,7.268518518518517,2.35,3.0,10.5,3.1,20.5,6.5,9.05,5.0,11.5,25.0,5.0,8.85,12.0,8.25,13.4,22.75,2.9,6.85,6.0,17.2
2005-01-12,8.0,7.92,4.5,7.2581481481481465,2.2,3.1,10.5,3.1,20.4,5.5,9.0,4.75,11.5,24.0,6.0,8.85,12.0,8.1,13.4,22.75,2.9,6.85,5.0,17.2
2005-01-13,8.0,7.8,4.5,7.247777777777778,2.1,3.1,10.5,3.1,20.5,5.5,9.1,4.8,11.5,26.0,6.5,8.85,12.0,8.1,13.4,22.75,2.9,6.85,6.0,17.2
2005-01-14,8.03,7.95,4.5,7.237407407407407,1.87,3.25,10.6,3.1,20.5,5.5,9.1,4.84,11.5,26.0,6.2,8.84,12.0,8.1,13.4,22.75,2.9,6.85,6.0,17.2
2005-01-15,8.06,8.1,4.5,7.227037037037038,2.35,3.0,10.7,3.075,20.6,5.58,9.0,4.88,11.5,26.0,5.9,8.83,12.0,8.1,13.4,22.75,2.875,6.85,6.0,17.175
2005-01-16,8.09,8.25,4.5,7.216666666666666,2.2333333333333334,3.05,10.8,3.05,21.066666666666666,5.52,9.05,4.92,11.5,26.0,5.6,8.82,12.0,8.1,13.4,22.75,2.85,6.85,6.666666666666666,17.15
2005-01-17,8.12,8.4,4.5,7.206296296296298,2.1166666666666667,3.1,10.9,3.025,21.53333333333333,5.46,9.1,4.96,11.5,26.0,5.3,8.81,12.0,8.1,13.4,22.75,2.825,6.85,7.333333333333334,17.125
2005-01-18,8.15,8.55,4.0,7.195925925925926,2.0,3.15,11.0,3.0,22.0,5.4,9.15,5.0,11.5,26.0,5.0,8.8,12.0,8.1,13.4,22.75,2.8,6.85,8.0,17.1
2005-01-19,8.2,8.7,3.875,7.185555555555554,2.38,3.2,12.5,3.0,21.8,5.45,9.1,5.0,11.5,27.0,5.5,8.8,12.0,8.3,13.4,22.75,2.8,6.85,7.666666666666666,17.1
2005-01-20,8.2,8.5,3.75,7.175185185185184,2.38,3.25,12.5,3.0,22.5,5.45,9.1,5.25,11.5,25.0,5.5,8.8,12.0,8.4,13.4,22.75,2.8,6.85,7.333333333333334,17.1
