date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Potato_Chandermukhi,Banana_Other,Onion_Other,Wheat_Other,Banana_Khandesh,Potato_Potato,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Banana_Banana - Ripe,Onion_Red,Rice_Coarse,Wheat_Dara,Apple_Other,Rice_Other,Banana_Medium,Potato_Desi,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Potato_Red,Coriander_Local,Rice_Super Fine,Onion_Beelary-Red,Potato_Local
2005-01-01,680.0,1340.0,900.0,350.0,775.0,845.0,150.0,900.0,250.0,690.0,720.0,625.0,1300.0,455.0,2170.0,1000.0,650.0,945.0,685.0,4000.0,880.0,475.0,480.0,1170.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,400.0,500.0
2005-01-02,680.0,1340.0,900.0,350.0,775.0,845.0,150.0,900.0,250.0,690.0,720.0,625.0,1300.0,455.0,2170.0,1000.0,650.0,945.0,685.0,4000.0,880.0,475.0,480.0,1170.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,400.0,500.0
2005-01-03,680.0,1340.0,900.0,350.0,775.0,845.0,150.0,900.0,250.0,690.0,720.0,625.0,1300.0,455.0,2170.0,1000.0,650.0,945.0,685.0,4000.0,880.0,475.0,480.0,1170.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,700.0,400.0
2005-01-04,680.0,1340.0,866.6666666666665,350.0,775.0,845.0,150.0,900.0,250.0,690.0,720.0,625.0,1300.0,455.0,2170.0,1000.0,650.0,945.0,685.0,3875.0,880.0,475.0,480.0,1170.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,550.0,450.0
2005-01-05,680.0,1340.0,833.3333333333335,350.0,790.0,815.0,158.33333333333334,900.0,250.0,690.0,720.0,625.0,1266.6666666666667,455.0,2170.0,1000.0,650.0,945.0,685.0,3750.0,881.6666666666665,525.0,480.0,1170.0,2400.0,500.0,1200.0,800.0,310.0,1850.0,1730.0,550.0,450.0
2005-01-06,680.0,1340.0,800.0,350.0,780.0,845.0,166.66666666666666,900.0,250.0,690.0,720.0,625.0,1233.3333333333333,455.0,2175.0,1000.0,655.0,945.0,685.0,3625.0,883.3333333333335,470.0,480.0,1170.0,2400.0,500.0,1200.0,800.0,300.0,1850.0,1730.0,550.0,400.0
2005-01-07,680.0,1340.0,833.3333333333335,400.0,780.0,850.0,175.0,900.0,250.0,690.0,720.0,625.0,1200.0,455.0,2176.0,1000.0,655.0,945.0,685.0,3625.0,885.0,476.0,480.0,1170.0,2400.0,500.0,1200.0,800.0,300.0,1850.0,1730.0,550.0,500.0
2005-01-08,680.0,1340.0,866.6666666666665,400.0,787.5,840.0,175.0,900.0,250.0,690.0,720.0,625.0,1162.5,455.0,2177.0,1000.0,655.0,945.0,685.0,3625.0,885.0,482.0,480.0,1170.0,2425.0,500.0,1200.0,806.25,297.5,1850.0,1727.5,450.0,500.0
2005-01-09,680.0,1325.0,900.0,400.0,795.0,828.0,175.0,900.0,250.0,690.0,720.0,625.0,1125.0,455.0,2178.0,1000.0,653.3333333333334,945.0,685.0,3625.0,885.0,488.0,480.0,1170.0,2450.0,500.0,1200.0,812.5,295.0,1850.0,1725.0,550.0,400.0
2005-01-10,680.0,1340.0,1000.0,400.0,802.5,816.0,175.0,900.0,250.0,690.0,720.0,625.0,1087.5,455.0,2179.0,1000.0,651.6666666666666,945.0,685.0,3812.0,885.0,494.0,480.0,1170.0,2475.0,500.0,1200.0,818.75,292.5,1850.0,1722.5,450.0,400.0
2005-01-11,680.0,1340.0,560.0,400.0,810.0,804.0,175.0,900.0,250.0,690.0,720.0,625.0,1050.0,455.0,2180.0,1000.0,650.0,945.0,685.0,4000.0,885.0,500.0,480.0,1170.0,2500.0,500.0,1200.0,825.0,290.0,1850.0,1720.0,500.0,500.0
2005-01-12,705.0,1340.0,900.0,300.0,800.0,792.0,150.0,900.0,250.0,690.0,720.0,625.0,1050.0,455.0,2180.0,1000.0,550.0,945.0,685.0,3875.0,885.0,475.0,480.0,1170.0,2400.0,600.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0
2005-01-13,693.5,1340.0,936.6666666666665,316.6666666666667,800.0,780.0,175.0,900.0,250.0,690.0,720.0,625.0,1050.0,455.0,2193.076923076923,1000.0,550.0,945.0,685.0,3854.166666666666,885.0,480.0,480.0,1170.0,2600.0,650.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0
2005-01-14,682.0,1340.0,973.3333333333335,333.3333333333333,803.0,795.0,175.0,900.0,250.0,690.0,720.0,625.0,1060.0,455.0,2206.153846153846,1000.0,550.0,945.0,685.0,3833.333333333334,884.0,484.0,480.0,1170.0,2600.0,620.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0
