date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other,Banana_Other,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Onion_Red,Rice_Coarse,Banana_Medium,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Other,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Rice_B P T,Apple_Other,Potato_Red,Wheat_Dara,Coriander_Other,Rice_Super Fine
2005-01-01,7.75,8.45,5.0,7.92,3.25,2.1,13.0,3.3,20.45,4.12,9.15,4.75,10.5,24.0,4.5,8.8,12.0,8.0,15.5,3.0,3.1,7.485,6.0,17.3
2005-01-02,7.75,8.45,5.0,7.92,3.25,2.1,13.0,3.3,20.45,4.12,9.15,4.75,10.5,24.0,4.5,8.8,12.0,8.0,15.5,3.0,3.1,7.485,6.0,17.3
2005-01-03,7.75,8.45,5.0,7.92,3.25,2.1,13.0,3.3,20.45,4.12,9.15,4.75,10.5,24.0,4.5,8.8,12.0,8.0,15.5,3.0,3.1,7.485,6.0,17.3
2005-01-04,7.75,8.45,5.0,7.92,3.25,2.1,13.0,3.3,20.45,4.12,9.15,4.75,10.5,24.0,4.5,8.8,12.0,8.0,15.5,3.0,3.1,7.515,6.0,17.3
2005-01-05,7.9,8.15,3.87,7.92,3.25,2.1,12.666666666666668,3.3,20.5,3.87,9.133333333333333,5.25,10.8,24.0,5.0,8.816666666666666,12.0,8.0,15.5,3.0,3.1,7.51,6.0,17.3
2005-01-06,7.8,8.45,4.25,7.92,3.25,2.1,12.333333333333332,3.2,20.55,3.87,9.116666666666667,4.7,10.8,24.0,5.0,8.833333333333334,12.0,8.0,15.5,3.0,3.0,7.505,6.0,17.3
2005-01-07,7.8,8.5,4.124,8.25,3.4,2.1,12.0,3.2,20.6,3.82,9.1,4.76,10.8,24.0,5.0,8.85,12.0,8.0,15.5,3.0,3.0,7.5,6.0,17.3
2005-01-08,7.875,8.4,3.998,8.25,3.55,2.1,11.625,3.175,20.6,3.77,9.1,4.82,10.775,24.25,5.0,8.85,12.0,8.0625,15.5,3.0,2.975,7.505,6.0,17.275
2005-01-09,7.95,8.28,3.872,8.223333333333334,3.7,2.1,11.25,3.15,20.566666666666666,3.72,9.083333333333334,4.88,10.75,24.5,5.0,8.85,12.0,8.125,15.5,3.0,2.95,7.515,6.0,17.25
2005-01-10,8.025,8.16,3.746,8.196666666666665,3.85,2.1,10.875,3.125,20.53333333333333,3.67,9.066666666666666,4.94,10.725,24.75,5.0,8.85,12.0,8.1875,15.5,3.0,2.925,7.49,6.0,17.225
2005-01-11,8.1,8.04,3.62,8.17,4.0,2.1,10.5,3.1,20.5,3.62,9.05,5.0,10.7,25.0,5.0,8.85,12.0,8.25,15.5,3.0,2.9,7.3,6.0,17.2
2005-01-12,8.0,7.92,4.12,8.25,3.85,2.1,10.5,3.1,20.4,3.37,9.0,4.75,10.8,24.0,6.0,8.85,12.0,8.1,15.5,3.0,2.9,7.336666666666666,5.0,17.2
2005-01-13,8.0,7.8,3.87,7.97,3.25,2.1,10.5,3.1,20.5,3.25,9.1,4.8,10.8,26.0,6.5,8.85,12.0,8.1,15.5,3.0,2.9,7.373333333333334,6.0,17.2
2005-01-14,8.03,7.95,3.87,7.9833333333333325,3.25,2.1,10.6,3.1,20.5,3.324,9.1,4.84,10.78,26.0,6.2,8.84,12.0,8.1,15.5,3.0,2.9,7.41,6.0,17.2
2005-01-15,8.06,8.1,3.87,7.996666666666666,3.25,2.1,10.7,3.075,20.6,3.398,9.0,4.88,10.76,26.0,5.9,8.83,12.0,8.1,15.5,3.0,2.875,7.423333333333334,6.0,17.175
2005-01-16,8.09,8.25,3.87,8.01,3.25,2.1,10.8,3.05,21.066666666666666,3.472,9.05,4.92,10.74,26.0,5.6,8.82,12.0,8.1,15.5,3.0,2.85,7.436666666666666,6.666666666666666,17.15
2005-01-17,8.12,8.4,3.87,8.023333333333332,3.25,2.1,10.9,3.025,21.53333333333333,3.5460000000000003,9.1,4.96,10.72,26.0,5.3,8.81,12.0,8.1,15.5,3.0,2.825,7.45,7.333333333333334,17.125
2005-01-18,8.15,8.55,3.87,8.036666666666667,3.25,2.1,11.0,3.0,22.0,3.62,9.15,5.0,10.7,26.0,5.0,8.8,12.0,8.1,15.5,3.0,2.8,7.525,8.0,17.1
2005-01-19,8.2,8.7,3.87,8.05,3.25,2.1,12.5,3.0,21.8,3.62,9.1,5.0,11.3,27.0,5.5,8.8,12.0,8.3,15.5,3.0,2.8,7.508333333333334,7.666666666666666,17.1
