date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Potato_Chandermukhi,Banana_Other,Onion_Other,Wheat_Other,Banana_Khandesh,Potato_Potato,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Banana_Banana - Ripe,Onion_Red,Rice_Coarse,Wheat_Dara,Apple_Other,Rice_Other,Banana_Medium,Potato_Desi,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Potato_Red,Coriander_Local,Rice_Super Fine,Onion_Beelary-Red,Potato_Local,Wheat_Mexican,Wheat_1482
2005-01-01,680.0,1550.0,900.0,450.0,775.0,845.0,150.0,550.0,400.0,700.0,720.0,400.0,1300.0,260.0,2170.0,1000.0,412.0,945.0,748.5,3000.0,775.0,475.0,480.0,1050.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,400.0,500.0,618.0,689.0
2005-01-02,680.0,1550.0,900.0,450.0,775.0,845.0,150.0,550.0,400.0,700.0,720.0,400.0,1300.0,260.0,2170.0,1000.0,412.0,945.0,748.5,3000.0,775.0,475.0,480.0,1050.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,400.0,500.0,618.0,689.0
2005-01-03,680.0,1550.0,900.0,450.0,775.0,845.0,150.0,550.0,400.0,700.0,720.0,400.0,1300.0,260.0,2170.0,1000.0,412.0,945.0,748.5,3000.0,780.0,475.0,480.0,1050.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,700.0,400.0,618.0,689.0
2005-01-04,680.0,1550.0,866.6666666666665,450.0,775.0,845.0,150.0,550.0,400.0,700.0,720.0,400.0,1300.0,260.0,2170.0,1000.0,412.0,945.0,751.5,3000.0,786.6666666666665,475.0,480.0,1050.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,550.0,450.0,618.0,689.0
2005-01-05,680.0,1550.0,833.3333333333335,450.0,790.0,815.0,158.33333333333334,550.0,400.0,700.0,720.0,365.0,1266.6666666666667,260.0,2170.0,1000.0,387.0,945.0,751.0,3000.0,793.3333333333335,525.0,480.0,1080.0,2400.0,500.0,1200.0,800.0,310.0,1850.0,1730.0,550.0,450.0,618.0,689.0
2005-01-06,680.0,1550.0,800.0,450.0,780.0,845.0,166.66666666666666,550.0,400.0,700.0,720.0,360.0,1233.3333333333333,260.0,2175.0,1000.0,387.0,945.0,750.5,3000.0,800.0,470.0,480.0,1080.0,2400.0,500.0,1200.0,800.0,300.0,1850.0,1730.0,550.0,400.0,618.0,702.0
2005-01-07,680.0,1550.0,833.3333333333335,450.0,780.0,850.0,175.0,550.0,400.0,700.0,720.0,315.0,1200.0,260.0,2176.0,1000.0,382.0,945.0,750.0,3000.0,780.0,476.0,480.0,1080.0,2400.0,500.0,1200.0,800.0,300.0,1850.0,1730.0,550.0,500.0,618.0,666.0
2005-01-08,680.0,1550.0,866.6666666666665,450.0,787.5,840.0,175.0,550.0,400.0,700.0,720.0,300.0,1162.5,260.0,2177.0,1000.0,377.0,945.0,750.5,3000.0,780.8080808080807,482.0,480.0,1077.5,2425.0,500.0,1200.0,806.25,297.5,1850.0,1727.5,450.0,500.0,618.0,704.0
2005-01-09,680.0,1550.0,900.0,450.0,795.0,828.0,175.0,550.0,400.0,700.0,720.0,328.3333333333333,1125.0,260.0,2178.0,1000.0,372.0,945.0,751.5,3000.0,781.6161616161618,488.0,480.0,1075.0,2450.0,500.0,1200.0,812.5,295.0,1850.0,1725.0,550.0,400.0,618.0,705.5
2005-01-10,680.0,1550.0,1000.0,450.0,802.5,816.0,175.0,550.0,400.0,700.0,720.0,356.66666666666674,1087.5,260.0,2179.0,1000.0,367.0,945.0,749.0,3000.0,782.4242424242424,494.0,480.0,1072.5,2475.0,500.0,1200.0,818.75,292.5,1850.0,1722.5,450.0,400.0,618.0,707.0
2005-01-11,680.0,1550.0,560.0,450.0,810.0,804.0,175.0,550.0,400.0,700.0,720.0,385.0,1050.0,260.0,2180.0,1000.0,362.0,945.0,730.0,3000.0,783.2323232323233,500.0,480.0,1070.0,2500.0,500.0,1200.0,825.0,290.0,1850.0,1720.0,500.0,500.0,618.0,708.5
2005-01-12,705.0,1550.0,900.0,450.0,800.0,792.0,150.0,550.0,400.0,700.0,720.0,400.0,1050.0,260.0,2180.0,1000.0,337.0,945.0,733.6666666666665,3000.0,784.040404040404,475.0,480.0,1080.0,2400.0,600.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0,618.0,710.0
2005-01-13,693.5,1550.0,936.6666666666665,450.0,800.0,780.0,175.0,550.0,400.0,700.0,720.0,400.0,1050.0,260.0,2193.076923076923,1000.0,325.0,945.0,737.3333333333335,3000.0,784.8484848484848,480.0,480.0,1080.0,2600.0,650.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0,618.0,710.0
2005-01-14,682.0,1550.0,973.3333333333335,450.0,803.0,795.0,175.0,550.0,400.0,700.0,720.0,405.83333333333326,1060.0,260.0,2206.153846153846,1000.0,332.4,945.0,741.0,3000.0,785.6565656565657,484.0,480.0,1078.0,2600.0,620.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0,618.0,710.0
2005-01-15,670.5,1550.0,1010.0,450.0,806.0,810.0,175.0,550.0,400.0,700.0,720.0,411.66666666666674,1070.0,260.0,2219.230769230769,1000.0,339.8,945.0,742.3333333333335,3000.0,786.4646464646463,488.0,480.0,1076.0,2600.0,590.0,1200.0,810.0,287.5,1850.0,1717.5,500.0,500.0,618.0,710.0
2005-01-16,659.0,1550.0,1046.6666666666667,450.0,809.0,825.0,175.0,550.0,400.0,700.0,720.0,417.5,1080.0,260.0,2232.3076923076924,1000.0,347.2,945.0,743.6666666666665,3000.0,787.2727272727273,492.0,480.0,1074.0,2600.0,560.0,1200.0,810.0,285.0,1850.0,1715.0,450.0,400.0,618.0,710.0
2005-01-17,647.5,1550.0,1083.3333333333333,450.0,812.0,840.0,175.0,550.0,400.0,700.0,720.0,423.33333333333326,1090.0,260.0,2245.3846153846152,1000.0,354.6,945.0,745.0,3000.0,788.0808080808081,496.0,480.0,1072.0,2600.0,530.0,1200.0,810.0,282.5,1850.0,1712.5,600.0,400.0,618.0,710.0
2005-01-18,636.0,1550.0,1120.0,450.0,815.0,855.0,175.0,550.0,400.0,700.0,720.0,429.16666666666674,1100.0,260.0,2258.4615384615386,1000.0,362.0,945.0,752.5,3000.0,788.8888888888888,500.0,480.0,1070.0,2600.0,500.0,1200.0,810.0,280.0,1850.0,1710.0,500.0,500.0,618.0,710.0
2005-01-19,649.4285714285714,1550.0,1100.0,450.0,820.0,870.0,200.0,550.0,400.0,700.0,720.0,435.0,1250.0,260.0,2271.538461538461,1000.0,362.0,945.0,750.8333333333335,3000.0,789.6969696969697,500.0,480.0,1130.0,2700.0,550.0,1200.0,830.0,280.0,1850.0,1710.0,450.0,300.0,618.0,708.0
2005-01-20,662.8571428571429,1550.0,1080.0,450.0,820.0,850.0,200.0,550.0,400.0,700.0,720.0,415.0,1250.0,260.0,2284.615384615385,1000.0,337.0,945.0,749.1666666666665,3000.0,790.5050505050505,525.0,480.0,1130.0,2500.0,550.0,1200.0,840.0,280.0,1850.0,1710.0,450.0,500.0,618.0,705.5
