date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other,Banana_Other,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Onion_Red,Rice_Coarse,Banana_Medium,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Other,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Rice_B P T,Apple_Other,Potato_Red,Wheat_Dara,Coriander_Other,Rice_Super Fine,Wheat_1482,Potato_Potato,Rice_Medium
2005-01-01,7.75,8.45,3.85,7.26,2.7,4.6,13.0,3.3,20.45,4.12,9.25,4.75,11.6,24.0,4.5,8.95,12.0,8.0,15.5,3.0,3.1,7.485,6.0,17.3,6.89,4.0,10.8
2005-01-02,7.75,8.45,3.85,7.26,2.7,4.6,13.0,3.3,20.45,4.12,9.25,4.75,11.6,24.0,4.5,8.95,12.0,8.0,15.5,3.0,3.1,7.485,6.0,17.3,6.89,4.0,10.8
2005-01-03,7.75,8.45,3.8,7.26,2.7,4.55,13.0,3.3,20.45,4.12,9.25,4.75,11.6,24.0,4.5,8.9,12.0,8.0,15.5,3.0,3.1,7.485,6.0,17.3,6.89,4.0,10.8
2005-01-04,7.75,8.45,3.85,7.26,2.7,4.5,13.0,3.3,20.45,4.12,9.25,4.75,11.6,24.0,4.5,8.95,12.0,8.0,15.5,3.0,3.1,7.515,6.0,17.3,6.89,4.0,10.8
2005-01-05,7.9,8.15,3.85,7.26,2.7,4.516666666666667,12.666666666666668,3.3,20.5,3.87,9.25,5.25,11.6,24.0,5.0,8.983333333333334,12.0,8.0,15.5,3.0,3.1,7.51,6.0,17.3,6.89,3.65,10.8
2005-01-06,7.8,8.45,3.85,7.26,2.7,4.533333333333333,12.333333333333332,3.2,20.55,3.87,9.25,4.7,11.6,24.0,5.0,9.016666666666666,12.0,8.0,15.5,3.0,3.0,7.505,6.0,17.3,7.02,3.6,10.8
2005-01-07,7.8,8.5,3.85,7.266,2.7,4.55,12.0,3.2,20.6,3.82,9.25,4.76,11.6,24.0,5.0,9.05,12.0,8.0,15.5,3.0,3.0,7.5,6.0,17.3,6.66,3.15,10.8
2005-01-08,7.875,8.4,3.8,7.272,2.7,4.5,11.625,3.175,20.6,3.77,9.25,4.82,11.6,24.25,5.0,9.1,12.0,8.0625,15.5,3.0,2.975,7.505,6.0,17.275,7.04,3.0,10.8
2005-01-09,7.95,8.28,3.85,7.278,2.7,4.45,11.25,3.15,20.566666666666666,3.72,9.25,4.88,11.6,24.5,5.0,9.15,12.0,8.125,15.5,3.0,2.95,7.515,6.0,17.25,7.055,3.283333333333333,10.8
2005-01-10,8.025,8.16,3.8,7.284,2.7,4.4,10.875,3.125,20.53333333333333,3.67,9.25,4.94,11.6,24.75,5.0,9.1,12.0,8.1875,15.5,3.0,2.925,7.49,6.0,17.225,7.07,3.566666666666667,10.8
2005-01-11,8.1,8.04,3.85,7.29,2.7,4.45,10.5,3.1,20.5,3.62,9.25,5.0,11.6,25.0,5.0,9.0,12.0,8.25,15.5,3.0,2.9,7.3,6.0,17.2,7.085,3.85,10.8
2005-01-12,8.0,7.92,3.833333333333333,7.2875,2.7,4.45,10.5,3.1,20.4,3.37,9.25,4.75,11.6,24.0,6.0,9.066666666666666,12.0,8.1,15.5,3.0,2.9,7.336666666666666,5.0,17.2,7.1,4.0,10.8
2005-01-13,8.0,7.8,3.816666666666667,7.285,2.7,4.45,10.5,3.1,20.5,3.25,9.25,4.8,11.583333333333332,26.0,6.5,9.133333333333333,12.0,8.1,15.5,3.0,2.9,7.373333333333334,6.0,17.2,7.1,4.0,10.766666666666667
2005-01-14,8.03,7.95,3.8,7.2825,2.7,4.45,10.6,3.1,20.5,3.324,9.25,4.84,11.566666666666668,26.0,6.2,9.2,12.0,8.1,15.5,3.0,2.9,7.41,6.0,17.2,7.1,4.058333333333334,10.733333333333333
2005-01-15,8.06,8.1,3.75,7.28,2.7,4.5,10.7,3.075,20.6,3.398,9.25,4.88,11.55,26.0,5.9,9.15,12.0,8.1,15.5,3.0,2.875,7.423333333333334,6.0,17.175,7.1,4.116666666666667,10.7
2005-01-16,8.09,8.25,3.6,7.2775,2.7,4.45,10.8,3.05,21.066666666666666,3.472,9.25,4.92,11.533333333333333,26.0,5.6,9.1,12.0,8.1,15.5,3.0,2.85,7.436666666666666,6.666666666666666,17.15,7.1,4.175,10.666666666666668
