date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Potato_Chandermukhi,Banana_Other,Onion_Other,Wheat_Other,Banana_Khandesh,Potato_Potato,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Banana_Banana - Ripe,Onion_Red,Rice_Coarse,Wheat_Dara,Apple_Other,Rice_Other,Banana_Medium,Potato_Desi,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Potato_Red,Coriander_Local,Rice_Super Fine,Onion_Beelary-Red,Potato_Local,Wheat_Mexican,Wheat_1482,Rice_Medium,Wheat_Sharbati
2005-01-01,680.0,1550.0,900.0,320.0,775.0,845.0,150.0,280.0,380.0,675.0,720.0,400.0,1300.0,260.0,2170.0,1000.0,412.0,820.0,748.5,2050.0,1225.0,475.0,480.0,1150.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,400.0,500.0,618.0,689.0,950.0,1065.0
2005-01-02,680.0,1550.0,900.0,320.0,775.0,845.0,150.0,280.0,380.0,675.0,720.0,400.0,1300.0,260.0,2170.0,1000.0,412.0,820.0,748.5,2050.0,1225.0,475.0,480.0,1150.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,400.0,500.0,618.0,689.0,950.0,1065.0
2005-01-03,680.0,1550.0,900.0,320.0,775.0,845.0,150.0,280.0,380.0,675.0,720.0,400.0,1300.0,260.0,2170.0,1000.0,412.0,820.0,748.5,2050.0,1225.0,475.0,480.0,1150.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,700.0,400.0,618.0,689.0,950.0,1065.0
2005-01-04,680.0,1550.0,866.6666666666665,320.0,775.0,845.0,150.0,280.0,380.0,675.0,720.0,400.0,1300.0,260.0,2170.0,1000.0,412.0,820.0,751.5,2050.0,1225.0,475.0,480.0,1150.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,550.0,450.0,618.0,689.0,950.0,1065.0
2005-01-05,680.0,1550.0,833.3333333333335,320.0,790.0,815.0,158.33333333333334,285.0,385.0,685.0,720.0,365.0,1266.6666666666667,260.0,2170.0,1000.0,387.0,820.0,751.0,2050.0,1225.0,525.0,480.0,1150.0,2400.0,500.0,1200.0,800.0,310.0,1850.0,1730.0,550.0,450.0,618.0,689.0,950.0,1065.0
2005-01-06,680.0,1550.0,800.0,320.0,780.0,845.0,166.66666666666666,275.0,390.0,690.0,720.0,360.0,1233.3333333333333,260.0,2175.0,1000.0,387.0,820.0,750.5,2050.0,1225.0,470.0,480.0,1150.0,2400.0,500.0,1200.0,800.0,300.0,1850.0,1730.0,550.0,400.0,618.0,702.0,950.0,1062.857142857143
2005-01-07,680.0,1550.0,833.3333333333335,320.0,780.0,850.0,175.0,275.0,385.0,675.0,720.0,315.0,1200.0,260.0,2176.0,1000.0,382.0,820.0,750.0,2050.0,1200.0,476.0,480.0,1150.0,2400.0,500.0,1200.0,800.0,300.0,1850.0,1730.0,550.0,500.0,618.0,666.0,950.0,1060.7142857142858
2005-01-08,680.0,1550.0,866.6666666666665,300.0,787.5,840.0,175.0,280.0,390.0,680.0,720.0,300.0,1162.5,260.0,2177.0,1000.0,377.0,820.0,750.5,2050.0,1200.0,482.0,480.0,1150.0,2425.0,500.0,1200.0,806.25,297.5,1850.0,1727.5,450.0,500.0,618.0,704.0,950.0,1058.5714285714287
2005-01-09,680.0,1550.0,900.0,300.0,795.0,828.0,175.0,278.3333333333333,381.66666666666674,678.3333333333334,720.0,328.3333333333333,1125.0,260.0,2178.0,1000.0,372.0,820.0,751.5,2050.0,1200.0,488.0,480.0,1150.0,2450.0,500.0,1200.0,812.5,295.0,1850.0,1725.0,550.0,400.0,618.0,705.5,950.0,1056.4285714285713
2005-01-10,680.0,1550.0,1000.0,300.0,802.5,816.0,175.0,276.6666666666667,373.33333333333326,676.6666666666666,720.0,356.66666666666674,1087.5,260.0,2179.0,1000.0,367.0,820.0,749.0,2050.0,1200.0,494.0,480.0,1150.0,2475.0,500.0,1200.0,818.75,292.5,1850.0,1722.5,450.0,400.0,618.0,707.0,950.0,1054.2857142857142
