date,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Onion_Other,Wheat_Other,Potato_Other,Banana_Other,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Onion_Red,Rice_Coarse,Banana_Medium,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Other,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Rice_B P T,Apple_Other,Potato_Red,Wheat_Dara,Coriander_Other,Rice_Super Fine,Wheat_1482,Potato_Potato,Rice_Medium,Wheat_Sharbati,Potato_Desi,Rice_III
2005-01-01,9.15,8.45,3.8,8.0,2.3,8.0,13.0,3.3,20.45,4.85,9.25,4.75,11.6,24.0,4.5,12.25,12.0,8.0,15.5,20.5,3.1,7.0,6.0,17.3,6.89,2.75,10.8,10.65,2.1,8.5
2005-01-02,9.15,8.45,3.8,8.0,2.3,8.0,13.0,3.3,20.45,4.85,9.25,4.75,11.6,24.0,4.5,12.25,12.0,8.0,15.5,20.5,3.1,7.0,6.0,17.3,6.89,2.75,10.8,10.65,2.1,8.5
2005-01-03,9.15,8.45,3.8,8.0,2.3,8.0,13.0,3.3,20.45,4.816666666666666,9.25,4.75,11.6,24.0,4.5,12.25,12.0,8.0,15.5,20.5,3.1,6.95,6.0,17.3,6.89,2.75,10.8,10.65,2.0666666666666664,8.5
2005-01-04,9.15,8.45,3.8,8.0,2.3,8.0,13.0,3.3,20.45,4.783333333333333,9.25,4.75,11.6,24.0,4.5,12.25,12.0,8.0,15.5,20.5,3.1,6.9,6.0,17.3,6.89,2.75,10.8,10.65,2.033333333333333,8.5
2005-01-05,9.15,8.15,3.85,8.0125,2.3,8.0,12.666666666666668,3.3,20.5,4.75,9.25,5.25,11.6,24.0,5.0,12.25,12.0,8.0,15.5,20.5,3.1,6.85,6.0,17.3,6.89,2.75,10.8,10.65,2.0,8.5
2005-01-06,9.15,8.45,3.9,8.025,2.3,8.0,12.333333333333332,3.2,20.55,4.7,9.25,4.7,11.6,24.0,5.0,12.25,12.0,8.0,15.5,20.5,3.0,6.8,6.0,17.3,7.02,2.75,10.8,10.628571428571428,2.0,8.5
2005-01-07,9.15,8.5,3.85,8.0375,2.3,8.0,12.0,3.2,20.6,4.75,9.25,4.76,11.6,24.0,5.0,12.0,12.0,8.0,15.5,20.5,3.0,6.9,6.0,17.3,6.66,2.75,10.8,10.607142857142858,1.9,8.5
2005-01-08,9.15,8.4,3.9,8.05,2.2666666666666666,8.0,11.625,3.175,20.6,4.9,9.25,4.82,11.6,24.25,5.0,12.0,12.0,8.0625,15.5,20.5,2.975,6.85,6.0,17.275,7.04,2.75,10.8,10.585714285714287,2.05,8.6
2005-01-09,9.15,8.28,3.816666666666667,8.05,2.2333333333333334,8.0,11.25,3.15,20.566666666666666,5.0,9.25,4.88,11.6,24.5,5.0,12.0,12.0,8.125,15.5,20.5,2.95,6.8,6.0,17.25,7.055,2.75,10.8,10.564285714285713,2.2,8.6
2005-01-10,9.15,8.16,3.733333333333333,8.05,2.2,8.0,10.875,3.125,20.53333333333333,5.0,9.25,4.94,11.6,24.75,5.0,12.0,12.0,8.1875,15.5,20.5,2.925,6.8,6.0,17.225,7.07,2.75,10.8,10.542857142857144,2.216666666666667,8.6
