date,Wheat_Local,Rice_B P T,Coriander_Other,Potato_Other,Wheat_Lokwan,Wheat_Rajasthan Tukdi,Potato_Chandermukhi,Banana_Other,Onion_Other,Wheat_Other,Banana_Khandesh,Potato_Potato,Rice_Dappa,Potato_Jyoti,Apple_Delicious,Banana_Banana - Ripe,Onion_Red,Rice_Coarse,Wheat_Dara,Apple_Other,Rice_Other,Banana_Medium,Potato_Desi,Rice_Fine,Apple_Apple,Banana_Pachha Bale,Rice_Ratnachudi 718 5-749,Wheat_147 Average,Potato_Red,Coriander_Local,Rice_Super Fine,Onion_Beelary-Red,Potato_Local,Wheat_Mexican,Wheat_1482,Rice_Medium,Wheat_Sharbati,Rice_III,Rice_Masuri,Rice_Parmal,Wheat_Deshi,Wheat_Lok-1
2005-01-01,680.0,1650.0,900.0,230.0,915.0,845.0,150.0,800.0,650.0,775.0,720.0,275.0,1300.0,260.0,2170.0,1000.0,485.0,820.0,700.0,2050.0,1750.0,475.0,210.0,1150.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,400.0,500.0,618.0,689.0,950.0,1065.0,850.0,1000.0,900.0,950.0,1125.0
2005-01-02,680.0,1650.0,900.0,230.0,915.0,845.0,150.0,800.0,650.0,775.0,720.0,275.0,1300.0,260.0,2170.0,1000.0,485.0,820.0,700.0,2050.0,1750.0,475.0,210.0,1150.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,400.0,500.0,618.0,689.0,950.0,1065.0,850.0,1000.0,900.0,950.0,1125.0
2005-01-03,680.0,1650.0,900.0,230.0,915.0,845.0,150.0,800.0,650.0,775.0,720.0,275.0,1300.0,260.0,2170.0,1000.0,481.66666666666674,820.0,695.0,2050.0,1750.0,475.0,206.66666666666663,1150.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,700.0,400.0,618.0,689.0,950.0,1065.0,850.0,1000.0,900.0,950.0,1125.0
2005-01-04,680.0,1650.0,866.6666666666665,230.0,915.0,845.0,150.0,800.0,650.0,775.0,720.0,275.0,1300.0,260.0,2170.0,1000.0,478.33333333333326,820.0,690.0,2050.0,1750.0,475.0,203.33333333333331,1150.0,2400.0,450.0,1200.0,800.0,310.0,1850.0,1730.0,550.0,450.0,618.0,689.0,950.0,1065.0,850.0,1000.0,900.0,950.0,1125.0
2005-01-05,680.0,1650.0,833.3333333333335,230.0,915.0,815.0,158.33333333333334,800.0,650.0,800.0,720.0,275.0,1266.6666666666667,260.0,2170.0,1000.0,475.0,820.0,685.0,2050.0,1750.0,525.0,200.0,1150.0,2400.0,500.0,1200.0,800.0,310.0,1850.0,1730.0,550.0,450.0,618.0,689.0,950.0,1065.0,850.0,1000.0,900.0,950.0,1125.0
2005-01-06,680.0,1650.0,800.0,230.0,915.0,845.0,166.66666666666666,800.0,650.0,800.0,720.0,275.0,1233.3333333333333,260.0,2175.0,1000.0,470.0,820.0,680.0,2050.0,1750.0,470.0,200.0,1150.0,2400.0,500.0,1200.0,800.0,300.0,1850.0,1730.0,550.0,400.0,618.0,702.0,950.0,1062.857142857143,850.0,1000.0,900.0,950.0,1125.0
2005-01-07,680.0,1650.0,833.3333333333335,230.0,915.0,850.0,175.0,800.0,650.0,804.0625,720.0,275.0,1200.0,260.0,2176.0,1000.0,475.0,820.0,690.0,2050.0,1750.0,476.0,190.0,1150.0,2400.0,500.0,1200.0,800.0,300.0,1850.0,1730.0,550.0,500.0,618.0,666.0,950.0,1060.7142857142858,850.0,1000.0,900.0,950.0,1125.0
2005-01-08,680.0,1650.0,866.6666666666665,226.66666666666663,915.0,840.0,175.0,800.0,650.0,808.125,720.0,275.0,1162.5,260.0,2177.0,1000.0,490.0,820.0,685.0,2050.0,1750.0,482.0,205.0,1150.0,2425.0,500.0,1200.0,806.25,297.5,1850.0,1727.5,450.0,500.0,618.0,704.0,950.0,1058.5714285714287,860.0,1000.0,900.0,950.0,1125.0
2005-01-09,680.0,1650.0,900.0,223.33333333333331,915.0,828.0,175.0,800.0,650.0,812.1875,720.0,275.0,1125.0,260.0,2178.0,1000.0,500.0,820.0,680.0,2050.0,1750.0,488.0,220.0,1150.0,2450.0,500.0,1200.0,812.5,295.0,1850.0,1725.0,550.0,400.0,618.0,705.5,950.0,1056.4285714285713,860.0,1000.0,900.0,950.0,1125.0
2005-01-10,680.0,1650.0,1000.0,220.0,915.0,816.0,175.0,800.0,650.0,816.25,720.0,275.0,1087.5,260.0,2179.0,1000.0,500.0,820.0,680.0,2050.0,1750.0,494.0,221.66666666666663,1150.0,2475.0,500.0,1200.0,818.75,292.5,1850.0,1722.5,450.0,400.0,618.0,707.0,950.0,1054.2857142857142,860.0,1000.0,900.0,950.0,1125.0
2005-01-11,680.0,1650.0,560.0,216.66666666666663,915.0,804.0,175.0,800.0,650.0,820.3125,720.0,275.0,1050.0,260.0,2180.0,1000.0,500.0,820.0,680.0,2050.0,1750.0,500.0,223.33333333333331,1150.0,2500.0,500.0,1200.0,825.0,290.0,1850.0,1720.0,500.0,500.0,618.0,708.5,950.0,1052.142857142857,860.0,1000.0,900.0,950.0,1125.0
2005-01-12,705.0,1650.0,900.0,213.33333333333331,915.0,792.0,150.0,800.0,650.0,824.375,720.0,275.0,1050.0,260.0,2180.0,1000.0,500.0,820.0,680.0,2050.0,1750.0,475.0,225.0,1150.0,2400.0,600.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0,618.0,710.0,950.0,1050.0,860.0,1000.0,900.0,950.0,1125.0
2005-01-13,693.5,1650.0,936.6666666666665,210.0,915.0,780.0,175.0,800.0,650.0,828.4375,720.0,275.0,1050.0,260.0,2193.076923076923,1000.0,500.0,820.0,690.0,2051.6666666666665,1750.0,480.0,225.0,1150.0,2600.0,650.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0,618.0,710.0,950.0,1050.0,850.0,1000.0,900.0,950.0,1125.0
2005-01-14,682.0,1650.0,973.3333333333335,208.57142857142856,915.0,795.0,175.0,824.2857142857142,650.0,832.5,720.0,275.0,1060.0,260.0,2206.153846153846,1000.0,500.0,820.0,690.0,2053.333333333333,1750.0,484.0,225.0,1150.0,2600.0,620.0,1200.0,810.0,290.0,1850.0,1720.0,500.0,500.0,618.0,710.0,950.0,1050.0,850.0,1000.0,900.0,950.0,1125.0
