date,Apple,Banana,Rice
2005-01-01,24.0,4.5,11.75
2005-01-02,24.0,4.5,11.75
2005-01-03,24.0,4.5,11.75
2005-01-04,24.0,4.5,11.75
2005-01-05,24.0,5.0,11.733333333333334
2005-01-06,24.0,5.0,11.566666666666666
2005-01-07,24.0,5.0,11.4
2005-01-08,24.25,5.0,11.2
2005-01-09,24.5,5.0,11.0
2005-01-10,24.75,5.0,10.8
2005-01-11,25.0,5.0,10.6
2005-01-12,24.0,6.0,10.65
2005-01-13,26.0,6.5,10.65
2005-01-14,26.0,6.2,10.69
2005-01-15,26.0,5.9,10.73
2005-01-16,26.0,5.6,10.77
2005-01-17,26.0,5.3,10.81
2005-01-18,26.0,5.0,10.85
2005-01-19,27.0,5.5,11.9
2005-01-20,25.0,5.5,11.9
2005-01-21,25.4,5.4,11.850000000000001
2005-01-22,25.8,5.3,11.8
2005-01-23,26.2,5.2,11.75
2005-01-24,26.6,5.1,11.7
2005-01-25,27.0,5.0,11.65
2005-01-26,27.333333333333336,5.333333333333334,11.616666666666667
2005-01-27,27.666666666666664,5.666666666666666,11.583333333333332
2005-01-28,28.0,6.0,11.55
2005-01-29,28.0,5.5,11.55
2005-01-30,28.333333333333336,5.333333333333334,11.65
2005-01-31,28.666666666666664,5.166666666666666,11.75
2005-02-01,29.0,5.0,11.85
2005-02-02,27.0,5.5,11.15
2005-02-03,27.0,5.5,13.65
2005-02-04,28.0,6.0,11.4
2005-02-05,28.0,5.5,11.4
2005-02-06,28.05,5.333333333333334,11.4
2005-02-07,28.1,5.166666666666666,11.4
2005-02-08,28.15,5.0,11.4
2005-02-09,28.2,5.5,10.95
2005-02-10,28.25,5.5,10.95
2005-02-11,28.3,5.5,11.0
2005-02-12,28.35,5.625,11.1625
2005-02-13,28.4,5.75,11.325
2005-02-14,28.45,5.875,11.4875
2005-02-15,28.5,6.0,11.65
2005-02-16,34.0,5.5,11.55
2005-02-17,34.0,5.5,11.283333333333335
2005-02-18,34.0,6.0,11.016666666666666
2005-02-19,29.0,5.0,10.75
2005-02-20,29.0,5.333333333333334,10.883333333333333
2005-02-21,29.0,5.666666666666666,11.016666666666666
2005-02-22,29.0,6.0,11.15
2005-02-23,29.5,5.5,11.033333333333335
2005-02-24,28.0,5.0,10.916666666666666
2005-02-25,28.0,5.5,10.55
2005-02-26,28.0,5.5,10.8
2005-02-27,26.666666666666664,5.5,11.041666666666666
2005-02-28,25.333333333333336,5.5,11.283333333333335
2005-03-01,24.0,5.5,11.525
2005-03-02,25.0,5.5,11.65
2005-03-03,25.0,6.0,11.65
2005-03-04,25.0,6.0,11.320833333333333
2005-03-05,26.0,6.5,11.891666666666666
2005-03-06,26.5,5.8,11.907499999999999
2005-03-07,27.0,5.1,11.923333333333334
2005-03-08,27.5,4.4,11.939166666666665
2005-03-09,28.0,3.7,11.955
2005-03-10,28.5,3.0,11.970833333333335
2005-03-11,29.0,5.0,11.986666666666666
2005-03-12,29.0,5.0,12.002500000000001
2005-03-13,29.0,5.0,12.018333333333334
2005-03-14,29.0,5.0,12.034166666666666
2005-03-15,29.0,5.0,12.05
2005-03-16,30.0,5.5,12.05
2005-03-17,32.0,5.5,11.3
2005-03-18,32.0,5.5,11.3
2005-03-19,32.0,5.5,11.3
2005-03-20,32.166666666666664,5.333333333333334,11.466666666666665
2005-03-21,32.333333333333336,5.166666666666666,11.633333333333333
2005-03-22,32.5,5.0,11.8
2005-03-23,30.0,5.0,11.3
2005-03-24,31.0,5.0,11.3
2005-03-25,30.1,5.06,11.399999999999999
2005-03-26,29.2,5.12,11.5
2005-03-27,28.3,5.18,11.6
2005-03-28,27.4,5.24,11.7
2005-03-29,26.5,5.3,11.8
2005-03-30,27.0,5.0,11.8
2005-03-31,28.0,5.0,11.75
2005-04-01,28.0,5.0,11.75
2005-04-02,27.5,5.5,11.75
2005-04-03,27.3,5.333333333333334,11.983333333333333
2005-04-04,27.1,5.166666666666666,12.216666666666669
2005-04-05,26.9,5.0,12.45
2005-04-06,26.7,5.0,12.45
2005-04-07,26.5,5.0,11.95
2005-04-08,26.0,5.0,11.95
2005-04-09,26.5,5.0,12.075
2005-04-10,27.0,5.0,12.2
2005-04-11,27.5,5.0,12.325
2005-04-12,28.0,5.0,12.45
2005-04-13,28.5,5.0,12.95
2005-04-14,28.666666666666664,4.833333333333333,12.733333333333334
2005-04-15,28.833333333333336,4.666666666666667,12.516666666666666
2005-04-16,29.0,4.5,12.3
2005-04-17,29.75,4.666666666666667,11.966666666666665
2005-04-18,30.5,4.833333333333333,11.633333333333333
2005-04-19,31.25,5.0,11.3
2005-04-20,32.0,5.0,11.35
2005-04-21,32.0,5.0,11.35
2005-04-22,31.2,4.9,11.469999999999999
2005-04-23,30.4,4.8,11.59
2005-04-24,29.6,4.7,11.71
2005-04-25,28.8,4.6,11.83
2005-04-26,28.0,4.5,11.95
2005-04-27,38.0,4.9,11.3
2005-04-28,30.0,5.5,11.3
2005-04-29,30.0,5.0,11.3
2005-04-30,30.0,5.0,11.3
2005-05-01,30.333333333333336,4.866666666666667,11.4
2005-05-02,30.666666666666664,4.733333333333333,11.5
2005-05-03,31.0,4.6,11.6
2005-05-04,32.0,4.5,11.6
2005-05-05,32.0,4.5,11.6
2005-05-06,33.0,6.0,11.6
2005-05-07,32.0,5.0,11.6
2005-05-08,32.666666666666664,5.333333333333334,11.616666666666667
2005-05-09,33.333333333333336,5.666666666666666,11.633333333333333
2005-05-10,34.0,6.0,11.65
2005-05-11,35.333333333333336,6.0,11.65
2005-05-12,36.66666666666666,6.0,11.65
2005-05-13,38.0,6.0,11.65
2005-05-14,38.0,5.5,11.73125
2005-05-15,38.0,5.0,11.8125
2005-05-16,38.0,4.5,11.89375
2005-05-17,38.0,4.0,11.975
2005-05-18,32.5,6.0,11.3
2005-05-19,32.0,5.0,11.3
2005-05-20,32.5,6.0,11.95
2005-05-21,32.0,5.0,11.95
2005-05-22,33.5,5.166666666666666,11.783333333333335
2005-05-23,35.0,5.333333333333334,11.616666666666667
2005-05-24,36.5,5.5,11.45
2005-05-25,33.0,7.0,11.95
2005-05-26,32.0,5.5,11.95
2005-05-27,32.0,3.0,11.4
2005-05-28,32.75,4.0,11.4
2005-05-29,33.5,5.0,11.5375
2005-05-30,34.25,6.0,11.675
2005-05-31,35.0,7.0,11.8125
2005-06-01,36.0,6.0,11.95
2005-06-02,35.0,5.5,11.95
2005-06-03,35.0,7.5,11.95
2005-06-04,32.0,5.5,11.95
2005-06-05,33.0,5.833333333333334,11.95
2005-06-06,34.0,6.166666666666666,11.95
2005-06-07,35.0,6.5,11.95
2005-06-08,35.0,5.5,11.95
2005-06-09,35.0,6.0,11.95
2005-06-10,35.0,5.5,11.95
2005-06-11,35.0,5.25,11.95
2005-06-12,35.0,5.0,11.95
2005-06-13,35.0,4.75,11.95
2005-06-14,35.0,4.5,11.95
2005-06-15,36.0,4.5,11.95
2005-06-16,35.0,4.6,11.95
2005-06-17,36.0,4.4,11.95
2005-06-18,35.0,5.0,11.95
2005-06-19,34.666666666666664,6.583333333333334,11.95
2005-06-20,34.333333333333336,8.166666666666668,11.95
2005-06-21,34.0,9.75,11.95
2005-06-22,35.0,4.5,11.4
2005-06-23,35.0,4.8,11.4
2005-06-24,47.0,4.4,11.45
2005-06-25,47.0,4.5,11.45
2005-06-26,46.33333333333333,4.5,11.433333333333334
2005-06-27,45.66666666666667,4.5,11.416666666666666
2005-06-28,45.0,4.5,11.4
2005-06-29,40.0,4.5,11.4
2005-06-30,47.5,4.6,11.4
2005-07-01,41.0,4.3,11.4
2005-07-02,41.0,4.4,11.4
2005-07-03,39.333333333333336,4.433333333333334,11.583333333333334
