date,Onion,Potato,Wheat
2005-01-01,22.0,45.0,6.89
2005-01-02,22.0,45.0,6.89
2005-01-03,22.0,45.0,6.89
2005-01-04,22.0,45.0,6.89
2005-01-05,22.0,45.0,6.89
2005-01-06,22.0,45.0,7.02
2005-01-07,22.0,45.0,6.66
2005-01-08,22.0,45.0,7.04
2005-01-09,22.0,45.0,7.055
2005-01-10,22.0,45.0,7.07
2005-01-11,22.0,45.0,7.085
2005-01-12,22.0,45.0,7.1
2005-01-13,22.0,45.0,7.1
2005-01-14,22.0,45.0,7.1
2005-01-15,22.0,45.0,7.1
2005-01-16,22.0,45.0,7.1
2005-01-17,22.0,45.0,7.1
2005-01-18,22.0,45.0,7.1
2005-01-19,22.0,45.0,7.08
2005-01-20,22.0,45.0,7.055
2005-01-21,22.0,45.0,7.03
2005-01-22,22.0,45.0,7.005
2005-01-23,22.0,45.0,6.98
2005-01-24,22.0,45.0,6.955
2005-01-25,22.0,45.0,6.93
2005-01-26,22.0,45.0,6.95695652173913
2005-01-27,22.0,45.0,6.983913043478261
2005-01-28,22.0,45.0,7.0108695652173925
2005-01-29,22.0,45.0,7.037826086956521
2005-01-30,22.0,45.0,7.064782608695652
2005-01-31,22.0,45.0,7.091739130434783
2005-02-01,22.0,45.0,7.118695652173913
2005-02-02,22.0,45.0,7.145652173913044
2005-02-03,22.0,45.0,7.1726086956521735
2005-02-04,22.0,45.0,7.199565217391304
2005-02-05,22.0,45.0,7.226521739130435
2005-02-06,22.0,45.0,7.253478260869565
2005-02-07,22.0,45.0,7.280434782608695
2005-02-08,22.0,45.0,7.307391304347826
2005-02-09,22.0,45.0,7.334347826086956
2005-02-10,22.0,45.0,7.361304347826088
2005-02-11,22.0,45.0,7.388260869565218
2005-02-12,22.0,45.0,7.415217391304347
2005-02-13,22.0,45.0,7.4421739130434785
2005-02-14,22.0,45.0,7.469130434782609
2005-02-15,22.0,45.0,7.496086956521739
2005-02-16,22.0,45.0,7.52304347826087
2005-02-17,22.0,45.0,7.55
2005-02-18,22.0,45.0,7.55
2005-02-19,22.0,45.0,7.55
2005-02-20,22.0,45.0,7.55
2005-02-21,22.0,45.0,7.55
2005-02-22,22.0,45.0,7.55
2005-02-23,22.0,45.0,7.55
2005-02-24,22.0,45.0,7.53125
2005-02-25,22.0,45.0,7.5125
2005-02-26,22.0,45.0,7.49375
2005-02-27,22.0,45.0,7.475
2005-02-28,22.0,45.0,7.45625
2005-03-01,22.0,45.0,7.4375
2005-03-02,22.0,45.0,7.41875
2005-03-03,22.0,45.0,7.4
2005-03-04,22.0,45.0,7.34
2005-03-05,22.0,45.0,7.27
2005-03-06,22.0,45.0,7.2675
2005-03-07,22.0,45.0,7.265
2005-03-08,22.0,45.0,7.2625
2005-03-09,22.0,45.0,7.26
2005-03-10,22.0,45.0,7.23
2005-03-11,22.0,45.0,7.164
2005-03-12,22.0,45.0,7.098
2005-03-13,22.0,45.0,7.032
2005-03-14,22.0,45.0,6.966
2005-03-15,22.0,45.0,6.9
2005-03-16,22.0,45.0,6.985
2005-03-17,22.0,45.0,7.07
2005-03-18,22.0,45.0,7.155
2005-03-19,22.0,45.0,7.24
2005-03-20,22.0,45.0,7.206
2005-03-21,22.0,45.0,7.1720000000000015
2005-03-22,22.0,45.0,7.138
2005-03-23,22.0,45.0,7.104
2005-03-24,22.0,45.0,7.07
2005-03-25,22.0,45.0,7.072222222222222
2005-03-26,22.0,45.0,7.0744444444444445
2005-03-27,22.0,45.0,7.076666666666666
2005-03-28,22.0,45.0,7.078888888888889
2005-03-29,22.0,45.0,7.081111111111111
2005-03-30,11.0,45.0,7.083333333333334
2005-03-31,19.5,45.0,7.085555555555557
2005-04-01,20.0,32.0,7.087777777777778
2005-04-02,27.5,64.0,7.09
2005-04-03,35.0,96.0,7.055454545454545
2005-04-04,32.5,135.0,7.020909090909091
2005-04-05,32.0,62.0,6.986363636363636
2005-04-06,38.833333333333336,61.1865671641791,6.951818181818181
2005-04-07,45.66666666666667,60.37313432835821,6.917272727272728
2005-04-08,52.5,59.55970149253731,6.882727272727273
2005-04-09,51.820754716981135,58.746268656716424,6.848181818181819
2005-04-10,51.14150943396226,57.93283582089553,6.813636363636364
2005-04-11,50.46226415094339,57.119402985074636,6.7790909090909075
2005-04-12,49.783018867924525,56.30597014925374,6.744545454545455
2005-04-13,49.10377358490565,55.49253731343285,6.71
2005-04-14,48.424528301886795,54.67910447761193,6.73
2005-04-15,47.74528301886792,53.86567164179104,6.75
2005-04-16,47.066037735849065,53.05223880597014,6.77
2005-04-17,46.38679245283018,52.23880597014925,6.763
2005-04-18,45.70754716981133,51.42537313432835,6.756
2005-04-19,45.02830188679245,50.61194029850746,6.749
2005-04-20,44.3490566037736,49.798507462686565,6.742000000000001
2005-04-21,43.66981132075472,48.985074626865675,6.735
2005-04-22,42.99056603773585,48.17164179104478,6.728
